uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
8097	|	Allophryne	|	Allophryne relicta	|	species	|		|	
7786	|	Allophryne	|	Allophryne resplendens	|	species	|		|	
2059	|	Allophryne	|	Allophryne ruthveni	|	species	|		|	
5715	|	Alsodes	|	Alsodes australis	|	species	|		|	
2552	|	Alsodes	|	Alsodes barrioi	|	species	|		|	
8311	|	Alsodes	|	Alsodes cantillanensis	|	species	|		|	
7307	|	Alsodes	|	Alsodes coppingeri	|	species	|		|	
2553	|	Alsodes	|	Alsodes gargola	|	species	|		|	
5836	|	Alsodes	|	Alsodes hugoi	|	species	|		|	
6427	|	Alsodes	|	Alsodes igneus	|	species	|		|	
5716	|	Alsodes	|	Alsodes kaweshkari	|	species	|		|	
2555	|	Alsodes	|	Alsodes montanus	|	species	|		|	
2556	|	Alsodes	|	Alsodes monticola	|	species	|		|	
7893	|	Alsodes	|	Alsodes neuquensis	|	species	|		|	
2557	|	Alsodes	|	Alsodes nodosus	|	species	|		|	
7115	|	Alsodes	|	Alsodes norae	|	species	|		|	
2558	|	Alsodes	|	Alsodes pehuenche	|	species	|		|	
2559	|	Alsodes	|	Alsodes tumultuosus	|	species	|		|	
6428	|	Alsodes	|	Alsodes valdiviensis	|	species	|		|	
2560	|	Alsodes	|	Alsodes vanzolinii	|	species	|		|	
2561	|	Alsodes	|	Alsodes verrucosus	|	species	|		|	
2562	|	Alsodes	|	Alsodes vittatus	|	species	|		|	
7825	|	Eupsophus	|	Eupsophus altor	|	species	|		|	
2625	|	Eupsophus	|	Eupsophus calcaratus	|	species	|		|	
2626	|	Eupsophus	|	Eupsophus contulmoensis	|	species	|		|	
2627	|	Eupsophus	|	Eupsophus emiliopugini	|	species	|		|	
2628	|	Eupsophus	|	Eupsophus insularis	|	species	|		|	
2629	|	Eupsophus	|	Eupsophus migueli	|	species	|		|	
2630	|	Eupsophus	|	Eupsophus nahuelbutensis	|	species	|		|	
2631	|	Eupsophus	|	Eupsophus roseus	|	species	|		|	
6786	|	Eupsophus	|	Eupsophus septentrionalis	|	species	|		|	
2632	|	Eupsophus	|	Eupsophus vertebralis	|	species	|		|	
2649	|	Limnomedusa	|	Limnomedusa macroglossa	|	species	|		|	
1526	|	Latonia	|	Latonia nigriventer	|	species	|		|	
1519	|	Alytes (Ammoryctis)	|	Alytes cisternasii	|	species	|		|	
1520	|	Alytes (Baleaphryne)	|	Alytes dickhilleni	|	species	|		|	
6244	|	Alytes (Baleaphryne)	|	Alytes maurus	|	species	|		|	
1521	|	Alytes (Baleaphryne)	|	Alytes muletensis	|	species	|		|	
1522	|	Alytes (Alytes)	|	Alytes obstetricans	|	species	|		|	
5581	|	Discoglossus	|	Discoglossus galganoi	|	species	|		|	
1525	|	Discoglossus	|	Discoglossus montalentii	|	species	|		|	
1527	|	Discoglossus	|	Discoglossus pictus	|	species	|		|	
1528	|	Discoglossus	|	Discoglossus sardus	|	species	|		|	
6554	|	Discoglossus	|	Discoglossus scovazzi	|	species	|		|	
1425	|	Arthroleptis	|	Arthroleptis adelphus	|	species	|		|	
1426	|	Arthroleptis	|	Arthroleptis adolfifriederici	|	species	|		|	
1427	|	Arthroleptis	|	Arthroleptis affinis	|	species	|		|	
7881	|	Arthroleptis	|	Arthroleptis anotis	|	species	|		|	
1438	|	Arthroleptis	|	Arthroleptis aureoli	|	species	|		|	
7529	|	Arthroleptis	|	Arthroleptis bioko	|	species	|		|	
1428	|	Arthroleptis	|	Arthroleptis bivittatus	|	species	|		|	
