choices.tsv|version1
source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Heterocheilidae	WOR:593484	=>	Heterocheilidae	trunk:75acc2e8-5e02-4860-967a-161d4ad5f537	-646554	same/parent+parent	Sciomyzoidea|Sciomyzoidea
Heterocheilidae	WOR:593484	-	Heterocheilidae	trunk:7202fa6a-75e7-4f62-adb3-a9c0cca08e73	-107354	noinfo/lineage	Sciomyzoidea|Spirurida

Appendicularia	WOR:103357	-	Appendicularia	TPL:T1862	-392157	noinfo	null
Appendicularia	WOR:103357	not=>	Appendicularia	trunk:9d7c12a6-cb6e-403b-9788-a7fbeb964528	-31265	not-same/ranks	genus|class

Proboscidea	WOR:325990	-	Proboscidea	TPL:T13542	-414024	noinfo	null
Proboscidea	WOR:325990	not=>	Proboscidea	trunk:1057d03c-267c-4e0b-a4fb-55ec14a4620a	-675677	not-same/ranks	genus|order

Proboscidea	WOR:595705	-	Proboscidea	TPL:T13542	-414024	noinfo	null
Proboscidea	WOR:595705	not=>	Proboscidea	trunk:1057d03c-267c-4e0b-a4fb-55ec14a4620a	-675677	not-same/ranks	genus|order

Bdelloidea	WOR:17968	=>	Bdelloidea	trunk:df98f01e-4de5-497b-9306-349555e441aa	-123860	same/parent+parent	Rotifera|Rotifera
Bdelloidea	WOR:17968	-	Bdelloidea	trunk:5a05401e-9044-41ef-b0ba-cee8a1b4c191	-421925	noinfo/lineage	Rotifera|Prostigmata

Anisoptera	WOR:890522	-	Anisoptera	trunk:0559c4eb-c019-432c-ab9a-2dc07ce8dd35	-329367	noinfo	null
Anisoptera	WOR:890522	not=>	Anisoptera	TPL:T1654	-393596	not-same/ranks	suborder|genus

Bdelloidea	WOR:762069	=>	Bdelloidea	trunk:5a05401e-9044-41ef-b0ba-cee8a1b4c191	-421925	same/parent+parent	Prostigmata|Prostigmata
Bdelloidea	WOR:762069	-	Bdelloidea	trunk:df98f01e-4de5-497b-9306-349555e441aa	-123860	noinfo/lineage	Prostigmata|Rotifera

Acanthocephala	WOR:18814	-	Acanthocephala	trunk:3787eccf-6b14-4018-ae1d-0510678cb063	-41912	noinfo	null
Acanthocephala	WOR:18814	not=>	Acanthocephala	COR:1190351	-685184	not-same/ranks	phylum|genus

Anura	WOR:448306	-	Anura	trunk:6527b635-082d-4a45-bf06-7610708705c9	-329005	noinfo	null
Anura	WOR:448306	not=>	Anura	TPL:T1772	-782028	not-same/ranks	order|genus

