id	description	type
1170994	Tg.Tz.	ecology
1159014	Terrestrial.	habitat
1159015	Terrestrial.	habitat
1159016	Terrestrial.	habitat
1159017	Terrestrial.	habitat
1159018	Terrestrial.	habitat
1159019	Terrestrial.	habitat
1159020	Terrestrial.	habitat
1159021	Terrestrial.	habitat
1159022	Terrestrial.	habitat
1159023	Terrestrial.	habitat
1159024	Terrestrial.	habitat
1159025	Terrestrial.	habitat
1159026	Terrestrial.	habitat
1159027	Terrestrial.	habitat
1159028	Terrestrial.	habitat
1159029	Terrestrial.	habitat
1159030	Terrestrial.	habitat
1159031	Terrestrial.	habitat
1159032	Terrestrial.	habitat
1159033	Terrestrial.	habitat
1159034	Terrestrial.	habitat
1159035	Terrestrial.	habitat
1159036	Terrestrial.	habitat
1159037	Terrestrial.	habitat
1159038	Terrestrial.	habitat
1159039	Terrestrial.	habitat
1159040	Terrestrial.	habitat
1159041	Terrestrial.	habitat
1159042	Terrestrial.	habitat
1159043	Terrestrial.	habitat
1159044	Terrestrial.	habitat
1159045	Terrestrial.	habitat
1159046	Terrestrial.	habitat
1159047	Terrestrial.	habitat
1159048	Terrestrial.	habitat
1159049	Terrestrial.	habitat
1159050	Terrestrial.	habitat
1159051	Terrestrial.	habitat
1159052	Terrestrial.	habitat
1159053	Terrestrial.	habitat
1159054	Terrestrial.	habitat
1159055	Terrestrial.	habitat
1159056	Terrestrial.	habitat
1159057	Terrestrial.	habitat
1159058	Terrestrial.	habitat
1159059	Terrestrial.	habitat
1159060	Terrestrial.	habitat
1159061	Terrestrial.	habitat
1159062	Terrestrial.	habitat
1159063	Terrestrial.	habitat
1159064	Terrestrial.	habitat
1159065	Terrestrial.	habitat
1159066	Terrestrial.	habitat
1159067	Terrestrial.	habitat
1159068	Terrestrial.	habitat
1159069	Terrestrial.	habitat
1159070	Terrestrial.	habitat
1159071	Terrestrial.	habitat
1159072	Terrestrial.	habitat
1159073	Terrestrial.	habitat
1159074	Terrestrial.	habitat
1159075	Terrestrial.	habitat
1159076	Terrestrial.	habitat
1159077	Terrestrial.	habitat
1159078	Terrestrial.	habitat
1159079	Terrestrial.	habitat
1159080	Terrestrial.	habitat
1159081	Terrestrial.	habitat
1159082	Terrestrial.	habitat
1159083	Terrestrial.	habitat
1159084	Terrestrial.	habitat
1159085	Terrestrial.	habitat
1159086	Terrestrial.	habitat
1159087	Terrestrial.	habitat
1159088	Terrestrial.	habitat
1159089	Terrestrial.	habitat
1159090	Terrestrial.	habitat
1159091	Terrestrial.	habitat
1159092	Terrestrial.	habitat
1159093	Terrestrial.	habitat
1159094	Terrestrial.	habitat
1159095	Terrestrial.	habitat
1159096	Terrestrial.	habitat
1159097	Terrestrial.	habitat
1159098	Terrestrial.	habitat
1159099	Terrestrial.	habitat
1159100	Terrestrial.	habitat
1159101	Terrestrial.	habitat
1159102	Terrestrial.	habitat
1159103	Terrestrial.	habitat
1159104	Terrestrial.	habitat
1159105	Terrestrial.	habitat
1159106	Terrestrial.	habitat
1159107	Terrestrial.	habitat
1159108	Terrestrial.	habitat
1159109	Terrestrial.	habitat
1159110	Terrestrial.	habitat
1159111	Terrestrial.	habitat
1159112	Terrestrial.	habitat
1159113	Terrestrial.	habitat
1159114	Terrestrial.	habitat
1159115	Terrestrial.	habitat
1159116	Terrestrial.	habitat
1159117	Terrestrial.	habitat
1159118	Terrestrial.	habitat
1159119	Terrestrial.	habitat
1159120	Terrestrial.	habitat
1159121	Terrestrial.	habitat
1159122	Terrestrial.	habitat
1159123	Terrestrial.	habitat
1159124	Terrestrial.	habitat
1159125	Terrestrial.	habitat
1159126	Terrestrial.	habitat
1159127	Terrestrial.	habitat
1159128	Terrestrial.	habitat
1159129	Terrestrial.	habitat
1159130	Terrestrial.	habitat
1159131	Terrestrial.	habitat
1159132	Terrestrial.	habitat
1159133	Terrestrial.	habitat
1159134	Terrestrial.	habitat
1159135	Terrestrial.	habitat
1159136	Terrestrial.	habitat
1159137	Terrestrial.	habitat
1159138	Terrestrial.	habitat
1159139	Terrestrial.	habitat
1159140	Terrestrial.	habitat
1159141	Terrestrial.	habitat
1159142	Terrestrial.	habitat
1159143	Terrestrial.	habitat
1159144	Terrestrial.	habitat
1159145	Terrestrial.	habitat
1159146	Terrestrial.	habitat
1159147	Terrestrial.	habitat
1159148	Terrestrial.	habitat
1159149	Terrestrial.	habitat
1159150	Terrestrial.	habitat
1159151	Terrestrial.	habitat
1159152	Terrestrial.	habitat
1159153	Terrestrial.	habitat
1159154	Terrestrial.	habitat
1159155	Terrestrial.	habitat
1159156	Terrestrial.	habitat
1159157	Terrestrial.	habitat
1159158	Terrestrial.	habitat
1159159	Terrestrial.	habitat
1159160	Terrestrial.	habitat
1159161	Terrestrial.	habitat
1159162	Terrestrial.	habitat
1159163	Terrestrial.	habitat
1159164	Terrestrial.	habitat
1159165	Terrestrial.	habitat
1159166	Terrestrial.	habitat
1159167	Terrestrial.	habitat
1159168	Terrestrial.	habitat
