id	isExtinct	livingPeriod
1159014	FALSE	
1159015	TRUE	unspecified
1159016	TRUE	unspecified
1159017	TRUE	unspecified
1159018	TRUE	unspecified
1159019	FALSE	
1159020	TRUE	unspecified
1159021	TRUE	unspecified
1159022	TRUE	unspecified
1159023	TRUE	unspecified
1159024	TRUE	unspecified
1159025	TRUE	unspecified
1159026	TRUE	unspecified
1159027	TRUE	unspecified
1159028	TRUE	unspecified
1159029	TRUE	unspecified
1159030	TRUE	unspecified
1159031	TRUE	unspecified
1159032	TRUE	unspecified
1159033	TRUE	unspecified
1159034	TRUE	unspecified
1159035	TRUE	unspecified
1159036	TRUE	unspecified
1159037	TRUE	unspecified
1159038	TRUE	unspecified
1159039	TRUE	unspecified
1159040	TRUE	unspecified
1159041	TRUE	unspecified
1159042	TRUE	unspecified
1159043	TRUE	unspecified
1159044	TRUE	unspecified
1159045	TRUE	unspecified
1159046	TRUE	unspecified
1159047	TRUE	unspecified
1159048	TRUE	unspecified
1159049	TRUE	unspecified
1159050	TRUE	unspecified
1159051	TRUE	unspecified
1159052	TRUE	unspecified
1159053	TRUE	unspecified
1159054	TRUE	unspecified
1159055	TRUE	unspecified
1159056	TRUE	unspecified
1159057	TRUE	unspecified
1159058	TRUE	unspecified
1159059	TRUE	unspecified
1159060	TRUE	unspecified
1159061	TRUE	unspecified
1159062	TRUE	unspecified
1159063	TRUE	unspecified
1159064	TRUE	unspecified
1159065	TRUE	unspecified
1159066	TRUE	unspecified
1159067	TRUE	unspecified
1159068	TRUE	unspecified
1159069	TRUE	unspecified
1159070	TRUE	unspecified
1159071	TRUE	unspecified
1159072	TRUE	unspecified
1159073	TRUE	unspecified
1159074	TRUE	unspecified
1159075	TRUE	unspecified
1159076	TRUE	unspecified
1159077	TRUE	unspecified
1159078	TRUE	unspecified
1159079	TRUE	unspecified
1159080	TRUE	unspecified
1159081	TRUE	unspecified
1159082	TRUE	unspecified
1159083	TRUE	unspecified
1159084	TRUE	unspecified
1159085	TRUE	unspecified
1159086	TRUE	unspecified
1159087	TRUE	unspecified
1159088	TRUE	unspecified
1159089	TRUE	unspecified
1159090	TRUE	unspecified
1159091	TRUE	unspecified
1159092	TRUE	unspecified
1159093	TRUE	unspecified
1159094	TRUE	unspecified
1159095	TRUE	unspecified
1159096	TRUE	unspecified
1159097	TRUE	unspecified
1159098	TRUE	unspecified
1159099	TRUE	unspecified
1159100	TRUE	unspecified
1159101	TRUE	unspecified
1159102	TRUE	unspecified
1159103	TRUE	unspecified
1159104	TRUE	unspecified
1159105	TRUE	unspecified
1159106	TRUE	unspecified
1159107	TRUE	unspecified
1159108	TRUE	unspecified
1159109	TRUE	unspecified
1159110	TRUE	unspecified
1159111	TRUE	unspecified
1159112	TRUE	unspecified
1159113	TRUE	unspecified
1159114	TRUE	unspecified
1159115	TRUE	unspecified
1159116	TRUE	unspecified
1159117	TRUE	unspecified
1159118	TRUE	unspecified
1159119	TRUE	unspecified
1159120	TRUE	unspecified
1159121	TRUE	unspecified
1159122	TRUE	unspecified
1159123	TRUE	unspecified
1159124	TRUE	unspecified
1159125	TRUE	unspecified
1159126	TRUE	unspecified
1159127	TRUE	unspecified
1159128	TRUE	unspecified
1159129	TRUE	unspecified
1159130	TRUE	unspecified
1159131	TRUE	unspecified
1159132	TRUE	unspecified
1159133	TRUE	unspecified
1159134	TRUE	unspecified
1159135	TRUE	unspecified
1159136	TRUE	unspecified
1159137	TRUE	unspecified
1159138	TRUE	unspecified
1159139	TRUE	unspecified
1159140	TRUE	unspecified
1159141	TRUE	unspecified
1159142	TRUE	unspecified
1159143	TRUE	unspecified
1159144	TRUE	unspecified
1159145	TRUE	unspecified
1159146	TRUE	unspecified
1159147	TRUE	unspecified
1159148	TRUE	unspecified
1159149	TRUE	unspecified
1159150	TRUE	unspecified
1159151	TRUE	unspecified
1159152	TRUE	unspecified
1159153	TRUE	unspecified
1159154	TRUE	unspecified
1159155	TRUE	unspecified
1159156	TRUE	unspecified
1159157	TRUE	unspecified
1159158	TRUE	unspecified
1159159	TRUE	unspecified
1159160	TRUE	unspecified
1159161	TRUE	unspecified
1159162	TRUE	unspecified
1159163	TRUE	unspecified
1159164	TRUE	unspecified
1159165	TRUE	unspecified
1159166	TRUE	unspecified
1159167	TRUE	unspecified
1159168	TRUE	unspecified
1159169	TRUE	unspecified
1159170	TRUE	unspecified
1159171	TRUE	unspecified
1159172	TRUE	unspecified
1159173	TRUE	unspecified
1159174	TRUE	unspecified
1159175	TRUE	unspecified
1159176	TRUE	unspecified
1159177	TRUE	unspecified
1159178	TRUE	unspecified
1159179	TRUE	unspecified
1159180	TRUE	unspecified
1159181	TRUE	unspecified
1159182	TRUE	unspecified
1159183	TRUE	unspecified
1159184	TRUE	unspecified
1159185	TRUE	unspecified
1159186	TRUE	unspecified
1159187	TRUE	unspecified
1159188	TRUE	unspecified
1159189	TRUE	unspecified
1159190	TRUE	unspecified
1159191	TRUE	unspecified
1159192	TRUE	unspecified
1159193	TRUE	unspecified
1159194	TRUE	unspecified
1159195	TRUE	unspecified
1159196	TRUE	unspecified
1159197	TRUE	unspecified
1159198	TRUE	unspecified
1159199	TRUE	unspecified
1159200	TRUE	unspecified
1159201	TRUE	unspecified
1159202	TRUE	unspecified
1159203	TRUE	unspecified
1159204	TRUE	unspecified
1159205	TRUE	unspecified
1159206	TRUE	unspecified
1159207	TRUE	unspecified
1159208	TRUE	unspecified
1159209	TRUE	unspecified
1159210	TRUE	unspecified
1159211	TRUE	unspecified
1159212	TRUE	unspecified
1159213	TRUE	unspecified
1159214	FALSE	
1159215	FALSE	
1159216	FALSE	
1159217	FALSE	
1159218	FALSE	
1159219	FALSE	
1159220	FALSE	
1159221	FALSE	
1159222	FALSE	
1159223	FALSE	
1159224	FALSE	
1159225	FALSE	
1159226	FALSE	
1159227	FALSE	
1159228	FALSE	
1159229	FALSE	
1159230	FALSE	
1159231	FALSE	
1159232	FALSE	
1159233	FALSE	
1159234	FALSE	
1159235	FALSE	
1159236	FALSE	
1159237	FALSE	
1159238	FALSE	
1159239	FALSE	
1159240	FALSE	
1159241	FALSE	
