uid	|	name	|	type	|	rank	|	
1159014	|	Aphidinea	|	synonym	|		|	
1159044	|	Palaeoforda taymyrensis	|	synonym	|		|	
1159054	|	Yueaphis fushumensis	|	synonym	|		|	
1159056	|	Dataiphis	|	synonym	|		|	
1159061	|	Vosegidae	|	synonym	|		|	
1159061	|	Leaphididae	|	synonym	|		|	
1159064	|	Vosegus	|	synonym	|		|	
1159066	|	Vosegus triassicus	|	synonym	|		|	
1159064	|	Vogesus	|	synonym	|		|	
1159072	|	Triassoaphidinae	|	synonym	|		|	
1159079	|	Aphaorus curtipres	|	synonym	|		|	
1159081	|	Gendphis	|	synonym	|		|	
1159077	|	Genaphidae	|	synonym	|		|	
1159101	|	Caudaphis teptoneura	|	synonym	|		|	
1159101	|	Caudaphis leptoncura	|	synonym	|		|	
1159100	|	Candaphis	|	synonym	|		|	
1159095	|	Ellinaphidinae	|	synonym	|		|	
1159141	|	Szelegiewicziinae	|	synonym	|		|	
1159158	|	Longiradius footitti	|	synonym	|		|	
1159156	|	Palaeoaphidinae	|	synonym	|		|	
1159161	|	Amberaphis	|	synonym	|		|	
1159173	|	Shaposhnikoviinae	|	synonym	|		|	
1159178	|	Burmitaphidae	|	synonym	|		|	
1159185	|	Caulinus bursitis	|	synonym	|		|	
1159187	|	Grassyaphidinae	|	synonym	|		|	
1159191	|	Khatangaphidinae	|	synonym	|		|	
1159196	|	Lebanaphidinae	|	synonym	|		|	
1159202	|	Retinaphidinae	|	synonym	|		|	
1159207	|	Tajmyraphidinae	|	synonym	|		|	
1159215	|	Pineinae	|	synonym	|		|	
1159215	|	Chermaphinae	|	synonym	|		|	
1159215	|	Pineinen	|	synonym	|		|	
1159215	|	Pineini	|	synonym	|		|	
1159224	|	Pineus börneri	|	synonym	|		|	
1159236	|	Pineus kôno-washiyai	|	synonym	|		|	
1159236	|	Pineus kono-washiyai	|	synonym	|		|	
1159240	|	Pineus (Pineus) matsumarai	|	synonym	|		|	
1159243	|	Pineus (Pineus) patchiae	|	synonym	|		|	
1159245	|	Eopineus pincoides	|	synonym	|		|	
1159245	|	Pineus strobi pineoïdes	|	synonym	|		|	
1159251	|	Coccus pinicorticis	|	synonym	|		|	
1159251	|	Chermes corticalis	|	synonym	|		|	
1159251	|	Coccus strobi	|	synonym	|		|	
1159251	|	Chermes strobi	|	synonym	|		|	
1159221	|	Chermaphis	|	synonym	|		|	
1159221	|	Kermaphis	|	synonym	|		|	
1159261	|	Chermes sibiricus	|	synonym	|		|	
1159264	|	Anisophleba pini	|	synonym	|		|	
1159264	|	Chermes coniferarum	|	synonym	|		|	
1159221	|	Pityopsylla	|	synonym	|		|	
1159268	|	Pineus (Pineus) sichuananus	|	synonym	|		|	
1159221	|	Pinëus	|	synonym	|		|	
1159221	|	Eopineus	|	synonym	|		|	
1159273	|	Chermes abieticolens	|	synonym	|		|	
1159273	|	Chermes montanus	|	synonym	|		|	
1159273	|	Chermes armiger	|	synonym	|		|	
1159215	|	Adelginae	|	synonym	|		|	
1159215	|	Chermesidae	|	synonym	|		|	
1159215	|	Chermides	|	synonym	|		|	
1159215	|	Chermesinae	|	synonym	|		|	
1159215	|	Chermisina	|	synonym	|		|	
1159215	|	Dreyfusiini	|	synonym	|		|	
1159215	|	Adelgini	|	synonym	|		|	
1159215	|	Chermidae	|	synonym	|		|	
1159215	|	Chermitidae	|	synonym	|		|	
1159215	|	Chermiden	|	synonym	|		|	
1159215	|	Adelgiden	|	synonym	|		|	
1159215	|	Adelginen	|	synonym	|		|	
1159215	|	Chermesini	|	synonym	|		|	
1159215	|	Sacchiphantini	|	synonym	|		|	
1159215	|	Chermesiti	|	synonym	|		|	
1159215	|	Chermesides	|	synonym	|		|	
1159215	|	Chermesina	|	synonym	|		|	
1159215	|	Chermessinae	|	synonym	|		|	
1159221	|	Cnaphalodes	|	synonym	|		|	
1159296	|	Anisophleba	|	synonym	|		|	
1159304	|	Chermes strobilobius	|	synonym	|		|	
1159304	|	Chermes coccineus	|	synonym	|		|	
1159304	|	Anisophleba hamadryas	|	synonym	|		|	
1159304	|	Chermes atratus	|	synonym	|		|	
1159304	|	Chermes consolidatus	|	synonym	|		|	
1159304	|	Chermes lariceti	|	synonym	|		|	
1159304	|	Coccus laricis	|	synonym	|		|	
1159324	|	Chermes lapponicus praecox	|	synonym	|		|	
1159298	|	Cnaphalodes affinis	|	synonym	|		|	
1159322	|	Adelges karamatsui	|	synonym	|		|	
1159327	|	Adelges (Sacchiphantes) rosegallis	|	synonym	|		|	
1159331	|	Chermes occidentalis	|	synonym	|		|	
1159326	|	Elatiptus	|	synonym	|		|	
1159335	|	Aphanus	|	synonym	|		|	
1159338	|	Chermes himalayensis	|	synonym	|		|	
1159338	|	Chermes abietis-piceae	|	synonym	|		|	
1159338	|	Chermes himalaiensis	|	synonym	|		|	
1159326	|	Phloeophthiridium	|	synonym	|		|	
1159326	|	Phloeophthridium	|	synonym	|		|	
1159344	|	Chermes euonymi	|	synonym	|		|	
1159326	|	Phloeophtiridium	|	synonym	|		|	
1159326	|	Sacciphantes	|	synonym	|		|	
1159364	|	Chermes laricifoliae	|	synonym	|		|	
1159364	|	Aphis gallarumabietis	|	synonym	|		|	
1159364	|	Aphis gallarum-abietis	|	synonym	|		|	
1159364	|	Chermes abietislaricis	|	synonym	|		|	
1159364	|	Chermes abietis-laricis	|	synonym	|		|	
1159373	|	Gillettea	|	synonym	|		|	
1222195	|	Chermes piceae bouvieri	|	synonym	|		|	
1159304	|	Chermes obtectus	|	synonym	|		|	
1222195	|	Chermes piecae	|	synonym	|		|	
1159389	|	Dreyfusia nüsslini	|	synonym	|		|	
1159389	|	Dreyfusia nuesslini	|	synonym	|		|	
1159389	|	Adelges (Dreyfusia) nüßlini	|	synonym	|		|	
1159395	|	Cholodkovskaya	|	synonym	|		|	
1159400	|	Aphrastasis	|	synonym	|		|	
1159420	|	Antiquaphis	|	synonym	|		|	
1159420	|	Elektraphis	|	synonym	|		|	
1159429	|	Elektraphis polycripta	|	synonym	|		|	
1159453	|	Gerancon	|	synonym	|		|	
1159461	|	Dorepanochaitophorus	|	synonym	|		|	
1159461	|	Drepanochaitoporus	|	synonym	|		|	
