id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1159014	1159014	urn:lsid:Aphid.speciesfile.org:TaxonName:1	1159014		Aphidomorpha		infraorder		valid		Aphidomorpha Bekker-Migdisova & Aizenberg 1962	2016-08-10T15:43:00
1159015	1159015	urn:lsid:Aphid.speciesfile.org:TaxonName:23115	1159015	1159014	Canaphis	Heie. 2006[2005]. Fossil aphids (Hemiptera: Sternorrhyncha) from Canadian Cretaceous amber and from the Miocene of Nevada. Insect Systematics and Evolution 37:91-104	genus	Heie, 2006	valid			2016-09-02T11:02:00
1159016	1159016	urn:lsid:Aphid.speciesfile.org:TaxonName:23116	1159016	1159015	Canaphis albertensis	Heie. 2006[2005]. Fossil aphids (Hemiptera: Sternorrhyncha) from Canadian Cretaceous amber and from the Miocene of Nevada. Insect Systematics and Evolution 37:91-104	species	Heie, 2006	valid			2013-07-20T16:40:00
1159017	1159017	urn:lsid:Aphid.speciesfile.org:TaxonName:20312	1159017	1159014	Aphidinius	Heie. 2006[2005]. Fossil aphids (Hemiptera: Sternorrhyncha) from Canadian Cretaceous amber and from the Miocene of Nevada. Insect Systematics and Evolution 37:91-104	genus	Heie, 2006	valid			2016-09-02T11:02:00
1159018	1159018	urn:lsid:Aphid.speciesfile.org:TaxonName:20313	1159018	1159017	Aphidinius constrictus	Heie. 2006[2005]. Fossil aphids (Hemiptera: Sternorrhyncha) from Canadian Cretaceous amber and from the Miocene of Nevada. Insect Systematics and Evolution 37:91-104	species	Heie, 2006	valid			2013-07-20T16:40:00
1159019	1159019	urn:lsid:Aphid.speciesfile.org:TaxonName:23301	1159014		Aphidinea		infraorder		junior synonym		Aphidinea Handlirsch 1903 (as Aphidoidea)	2016-11-07T17:05:00
1159020	1159020	urn:lsid:Aphid.speciesfile.org:TaxonName:23089	1159020	1159014	Aphidioides	Motschulsky. 1857[1856]. Lettres de M. Motschulsky à M. Ménétriés. Études Entomologiques, rédigés par Victor de Motschulsky, Société de Littérature Finnoise, Helsingfors 3-38	genus	Motschulsky, 1857	valid			2016-09-02T11:02:00
1159021	1159021	urn:lsid:Aphid.speciesfile.org:TaxonName:23090	1159021	1159020	Aphidioides succifera	Motschulsky. 1857[1856]. Lettres de M. Motschulsky à M. Ménétriés. Études Entomologiques, rédigés par Victor de Motschulsky, Société de Littérature Finnoise, Helsingfors 3-38	species	Motschulsky, 1857	valid			2016-08-09T17:57:00
1159022	1159022	urn:lsid:Aphid.speciesfile.org:TaxonName:23086	1159022	1159459	Plioaphis	Heie. 1968. Pliocene aphids from Willerhausen (Homoptera: Aphidoidea). Beihefte zu den Berichten der Naturhistorischen Gesellschaft zu Hannover 6:25-39	genus	Heie, 1968	valid			2016-09-02T11:02:00
1159023	1159023	urn:lsid:Aphid.speciesfile.org:TaxonName:23087	1159023	1159022	Plioaphis subhercynica	Heie. 1968. Pliocene aphids from Willerhausen (Homoptera: Aphidoidea). Beihefte zu den Berichten der Naturhistorischen Gesellschaft zu Hannover 6:25-39	species	Heie, 1968	valid			2015-02-26T13:04:00
1159024	1159024	urn:lsid:Aphid.speciesfile.org:TaxonName:23282	1159024	1159014	Naibioidea	Shcherbakov. 2007. Extinct four-winged precoccids and the ancestry of scale insects and aphids (Hemiptera). Russian Entomological Journal 16(1):47-62	superfamily	Shcherbakov, 2007	valid			2016-07-13T14:23:00
1159025	1159025	urn:lsid:Aphid.speciesfile.org:TaxonName:23296	1159025	1159024	Sinojuraphididae	Huang, Diying & Nel. 2008. A new Middle Jurassic aphid family (Insecta: Hemiptera: Sternorrhyncha: Sinojuraphididae fam. nov.) from Inner Mongolia, China. Palaeontology 51(3):715-719	family	Huang & Nel, 2008	valid			2016-07-13T14:23:00
1159026	1159026	urn:lsid:Aphid.speciesfile.org:TaxonName:23297	1159026	1159025	Sinojuraphis	Huang, Diying & Nel. 2008. A new Middle Jurassic aphid family (Insecta: Hemiptera: Sternorrhyncha: Sinojuraphididae fam. nov.) from Inner Mongolia, China. Palaeontology 51(3):715-719	genus	Huang & Nel, 2008	valid			2013-10-17T14:12:00
1159027	1159027	urn:lsid:Aphid.speciesfile.org:TaxonName:23298	1159027	1159026	Sinojuraphis ningchengensis	Huang, Diying & Nel. 2008. A new Middle Jurassic aphid family (Insecta: Hemiptera: Sternorrhyncha: Sinojuraphididae fam. nov.) from Inner Mongolia, China. Palaeontology 51(3):715-719	species	Huang & Nel, 2008	valid			2013-10-17T14:12:00
