uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1159014	|		|	Aphidomorpha	|	infraorder	|		|	
1159015	|	1159014	|	Canaphis	|	genus	|		|	
1159016	|	1159015	|	Canaphis albertensis	|	species	|		|	
1159017	|	1159014	|	Aphidinius	|	genus	|		|	
1159018	|	1159017	|	Aphidinius constrictus	|	species	|		|	
1159020	|	1159014	|	Aphidioides	|	genus	|		|	
1159021	|	1159020	|	Aphidioides succifera	|	species	|		|	
1159022	|	1159459	|	Plioaphis	|	genus	|		|	
1159023	|	1159022	|	Plioaphis subhercynica	|	species	|		|	
1159024	|	1159014	|	Naibioidea	|	superfamily	|		|	
1159025	|	1159024	|	Sinojuraphididae	|	family	|		|	
1159026	|	1159025	|	Sinojuraphis	|	genus	|		|	
1159027	|	1159026	|	Sinojuraphis ningchengensis	|	species	|		|	
1159028	|	1159024	|	Naibiidae	|	family	|		|	
1159029	|	1159028	|	Coccavinae	|	subfamily	|		|	
1159030	|	1159029	|	Coccavus	|	genus	|		|	
1159031	|	1159030	|	Coccavus supercubitus	|	species	|		|	
1159032	|	1159028	|	Naibiinae	|	subfamily	|		|	
1159033	|	1159032	|	Naibia	|	genus	|		|	
1159034	|	1159033	|	Naibia zherichini	|	species	|		|	
1159035	|	1159032	|	Panirena	|	genus	|		|	
1159036	|	1159035	|	Panirena sukatshevae	|	species	|		|	
1159037	|	1159035	|	Panirena tenella	|	species	|		|	
1159038	|	1159024	|	Dracaphididae	|	family	|		|	
1159039	|	1159038	|	Dracaphis	|	genus	|		|	
1159040	|	1159039	|	Dracaphis angustata	|	species	|		|	
1159041	|	1159014	|	Jurocallis	|	genus	|		|	
1159042	|	1159041	|	Jurocallis longipes	|	species	|		|	
1159043	|	1159459	|	Palaeoforda	|	genus	|		|	
1159044	|	1159043	|	Palaeoforda tajmyrensis	|	species	|		|	
1159046	|	1159459	|	Penaphis	|	genus	|		|	
1159047	|	1159046	|	Penaphis circa	|	species	|		|	
1159048	|	1159046	|	Penaphis nanligezhuangensis	|	species	|		|	
1159049	|	1159046	|	Penaphis woollardi	|	species	|		|	
1159050	|	1159459	|	Sunaphis	|	genus	|		|	
1159051	|	1159050	|	Sunaphis shandongensis	|	species	|		|	
1159052	|	1159050	|	Sunaphis laiyangensis	|	species	|		|	
1159053	|	1159459	|	Yueaphis	|	genus	|		|	
1159054	|	1159053	|	Yueaphis fushunensis	|	species	|		|	
1159056	|	1159014	|	Dataiaphis	|	genus	|		|	
