id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1159025	typeGenus	Huang, Diying & Nel. 2008. A new Middle Jurassic aphid family (Insecta: Hemiptera: Sternorrhyncha: Sinojuraphididae fam. nov.) from Inner Mongolia, China. Palaeontology 51(3):715-719	†Sinojuraphididae Huang & Nel, 2008								
1159028	typeGenus	Shcherbakov. 2007. Extinct four-winged precoccids and the ancestry of scale insects and aphids (Hemiptera). Russian Entomological Journal 16(1):47-62	†Naibiidae Shcherbakov, 2007								
1159029	typeGenus	Shcherbakov. 2007. Extinct four-winged precoccids and the ancestry of scale insects and aphids (Hemiptera). Russian Entomological Journal 16(1):47-62	†Coccavinae Shcherbakov, 2007								
1159038	typeGenus	Hong, Zhijun Zhang, Xinrong Guo & Heie. 2009. A new species representing the oldest aphid (Hemiptera, Aphidomorpha) from the Middle Triassic of China. Journal of Paleontology 83(5):826-831	†Dracaphididae Hong, Zhang, Guo & Heie, 2009								
1159060	typeGenus	Shcherbakov & Wegierek. 1991. Creaphididae, a new and the oldest aphid family from the Triassic of Middle Asia. Psyche 98(1):81-85	†Creaphididae Shcherbakov & Wegierek, 1991								
1159061	typeGenus	Shcherbakov. 2010. The earliest true bugs and aphids from the Middle Triassic of France (Hemiptera). Russian Entomological Journal 19(3):179-182	†Leaphidinae Shcherbakov, 2010								
1159062	typeGenus	Szwedo & Nel. 2011. The oldest aphid insect from the Middle Triassic of the Vosges, France. Acta Palaeontologica Polonica 56(4):757-766	Vosegidae Szwedo & Nel, 2011								
1159072	typeGenus	Heie. 1999[1998]. Aphids of the past (Hemiptera, Sternorrhyncha). Proceedings of the First International Palaeoentomological Conference, Moscow 1998 49-55	†Triassoaphididae Heie, 1999								
1159088	typeGenus	Handlirsch. 1908. Die Fossilen Insekten und die Phylogenie der Rezenten Formen: Ein Handbuch für Paläontologen und Zoologen, Wilhelm Engelmann, Leipzig 1430 pp	Genaphidae Handlirsch, 1908								
1159090	typeGenus	Homan & Wegierek. 2011. A new family of aphids (Hemiptera, Sternorrhyncha) from the Lower Cretaceous of Baissa, Transbaikalia. ZooKeys 130:167-174	†Rasnitsynaphididae Homan & Wegierek, 2011								
1159140	typeGenus	Kania & Wegierek. 2008. Palaeoaphididae (Hemiptera, Sternorrhyncha) from Lower Cretaceous Baissa deposits. Morphology and classification. Monografie Faunistyczne 25:135 pp	Ellinaphidinae Kania & Wegierek, 2008								
1159155	typeGenus	Wegierek. 1989. New species of Mesozoic aphids (Snaposhnikoviidae, Homoptera). Paleontologicheskii zhurnal 23(4):43-51	Szelegiewicziinae Wegierek, 1989								
1159160	typeGenus	Richards. 1966. Systematics of fossil aphids from Canadian amber (Homoptera: Aphididae). The Canadian Entomologist 98(7):746-760	Palaeoaphidinae Richards, 1966								
1159173	typeGenus	Kononova. 1976. Extinct aphid families (Homoptera, Aphidinea) of the Late Cretaceous. Paleontologicheskii zhurnal 3:117-126	†Shaposhnikoviidae Kononova, 1976								
1159181	typeGenus	Poinar Jr & A.E. Brown. 2005. New Aphidoidea (Hemiptera: Sternorrhyncha) in Burmese amber. Proceedings of the Entomological Society of Washington 107(4):835-845	Burmitaphidae Poinar & Brown, 2005								
1159188	typeGenus	Heie. 2000. In Heie & Azar. Two new species of aphids found in Lebanese amber and a revision of the family Tajmyraphididae kononova, 1975 (Hemiptera: Sternorrhyncha). Annals of the Entomological Society of America 93(6)	Grassyaphidinae Heie, 2000								
1159192	typeGenus	Heie. 2000. In Heie & Azar. Two new species of aphids found in Lebanese amber and a revision of the family Tajmyraphididae kononova, 1975 (Hemiptera: Sternorrhyncha). Annals of the Entomological Society of America 93(6)	Khatangaphidinae Heie, 2000								
1159201	typeGenus	Heie. 2000. In Heie & Azar. Two new species of aphids found in Lebanese amber and a revision of the family Tajmyraphididae kononova, 1975 (Hemiptera: Sternorrhyncha). Annals of the Entomological Society of America 93(6)	Lebanaphidinae Heie, 2000								
1159203	typeGenus	Heie. 2000. In Heie & Azar. Two new species of aphids found in Lebanese amber and a revision of the family Tajmyraphididae kononova, 1975 (Hemiptera: Sternorrhyncha). Annals of the Entomological Society of America 93(6)	Retinaphidinae Heie, 2000								
1159207	typeGenus	Kononova. 1975. A new family of aphids (Homoptera, Aphidinea) from Upper Cretaceous of Taimyr. Entomologicheskoe Obozrenie 54(4):795-807	†Tajmyraphididae Kononova, 1975								
1159217	typeGenus	Hunter. 1901. The Aphididae of North America. Bulletin of the Iowa Agricultural Experiment Station 60:63-138	Chermaphinae Hunter, 1901								
1159219	typeGenus	Nüsslin. 1909. In Börner. Untersuchungen über die Chermiden. Mitteilungen aus der Kaiserlichen Biologischen Anstalt für Land- und Forstwirtschaft 8	Pineini Nüsslin, 1909								
1159282	typeGenus	Börner. 1930. Beiträge zu einem neuen System der Blattläuse. Archiv für klassifikatorische und phylogenetische Entomologie 1(2):115-180	Dreyfusiini Börner, 1930								
1159286	typeGenus	Herrich-Schaeffer. 1854. In Koch, C.L. Vorwort des Herausgebers. Die Pflanzenläuse Aphiden getreu nach dem Leben abgebildet und beschrieben, J.L. Lotzbeck, Nürnberg 1:III-VIII	Chermiden Herrich-Schaeffer, 1854								
1159288	typeGenus	Schouteden. 1909. Rhynchota für 1908. Archiv für Naturgeschichte 75(2–2–2):136-219	Adelginen Schouteden, 1909								
1159290	typeGenus	Steffan. 1968. Evolution und Systematik der Adelgidae (Homoptera: Aphidina). Eine Verwandtschaftsanalyse auf vorwiegend ethologischer, zytologischer und kardiologischer Grundlage. Zoologica, Original-Abhandlungen aus dem Gesamtgebiete der Zoologie 40(lieferung 5 heft 115):139 pp	Sacchiphantini Steffan, 1968								
1159407	typeGenus	Heie. 1992. In Heie & Pike. New aphids in Cretaceous amber from Alberta (Insecta, Homoptera). The Canadian Entomologist 124(6):1027-1053	†Mesozoicaphididae Heie, 1992								
1159419	typeGenus	Steffan. 1968. Elektraphididae, Aphidinorum nova familia e sucino baltico (Insecta: Homoptera: Phylloxeroidea). Zoologische Jahrbücher 95(8):1-15	†Elektraphididae Steffan, 1968								
1159460	typeGenus	Zhang, Guangxue & Hong. 1999. A new family Drepanochaitophoridae (Homoptera: Aphidoidea) from Eocene Fushun amber of Liaoning Province, China. Entomologia Sinica 6(2):127-134	†Drepanochaitophoridae Zhang & Hong, 1999								
1159465	typeGenus	Poinar Jr & A.E. Brown. 2006. Remarks on Parvaverrucosa annulata (= Verrucosa annulata Poinar and Brown 2005) (Hemiptera: Sternorrhyncha: Aphidoidea). Proceedings of the Entomological Society of Washington 108(3):734-735	†Parvaverrucosidae Poinar & Brown, 2006								
1159466	typeGenus	Poinar Jr & A.E. Brown. 2005. New Aphidoidea (Hemiptera: Sternorrhyncha) in Burmese amber. Proceedings of the Entomological Society of Washington 107(4):835-845	Verrucosidae Poinar & Brown, 2005								
1159470	typeGenus	Zhang, Junfeng, Sheng Zhang, Hou & Gengyun Ma. 1989. Late Jurassic aphids (Homoptera, Insecta) from Shandog Province, China. Shandong Geology 5(1):28-46	†Sinaphididae Zhang, Zhang, Hou & Ma, 1989								
1159484	typeGenus	Richards. 1966. Systematics of fossil aphids from Canadian amber (Homoptera: Aphididae). The Canadian Entomologist 98(7):746-760	Canadaphidinae Richards, 1966								
