id	bibliographicCitation	title	creator	date	source	type
1172573	Latreille. 1810. Considérations générales sur l'ordre naturel des animaux composant les classes des crustacés, des arachnides, et des insectes; avec un tableau méthodique de leurs genres, disposés en familles., F. Schoell, Paris 244	Considérations générales sur l'ordre naturel des animaux composant les classes des crustacés, des arachnides, et des insectes; avec un tableau méthodique de leurs genres, disposés en familles.	Latreille	1810	Considérations générales sur l'ordre naturel des animaux composant les classes des crustacés, des arachnides, et des insectes; avec un tableau méthodique de leurs genres, disposés en familles., F. Schoell, Paris	publication
1172573	Brunner von Wattenwyl. 1882. Prodromus der Europäischen Orthopteren, W. Engelmann, Leipzig 26	Prodromus der Europäischen Orthopteren	Brunner von Wattenwyl	1882	Prodromus der Europäischen Orthopteren, W. Engelmann, Leipzig	publication
1172575	Saussure. 1864. Orthoptéres de l'Amerique Moyenne. Mémoire pour servir a l'histoire naturelle du Mexique, des Antilles, etc. III. Blattides. Geneve. Mém. Soc. Phys. hist. Nat. Génève 18(4):230	Orthoptéres de l'Amerique Moyenne. Mémoire pour servir a l'histoire naturelle du Mexique, des Antilles, etc. III. Blattides. Geneve.	Saussure	1864	Mém. Soc. Phys. hist. Nat. Génève	publication
1172575	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 361	Nouveau Système des Blattaires.	Brunner von Wattenwyl	1865	Nouveau Système des Blattaires., G. Braumüller, Vienna	publication
1172576	Kirby, W. F. 1900. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 7(5):281		Kirby, W. F.	1900	Annals and Magazine of Natural History (Ann. Mag. nat. Hist.)	original
1172576	Princis. 1964. In Beier [Ed.]. Blattariae: Subordo Blaberoidea: Fam.: Panchloridae, Gynopeltididae, Derocalymmidae, Perisphaeriidae, Pycnoscelididae. Orthopterorum Catalogus, W. Junk, s'Gravenhage(6):195	Blattariae: Subordo Blaberoidea: Fam.: Panchloridae, Gynopeltididae, Derocalymmidae, Perisphaeriidae, Pycnoscelididae.	Princis	1964	Orthopterorum Catalogus, W. Junk, s'Gravenhage	publication
1172577	Kirby, W. F. 1900. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 7(5):281		Kirby, W. F.	1900	Annals and Magazine of Natural History (Ann. Mag. nat. Hist.)	original
1172577	Princis. 1964. In Beier [Ed.]. Blattariae: Subordo Blaberoidea: Fam.: Panchloridae, Gynopeltididae, Derocalymmidae, Perisphaeriidae, Pycnoscelididae. Orthopterorum Catalogus, W. Junk, s'Gravenhage(6):196	Blattariae: Subordo Blaberoidea: Fam.: Panchloridae, Gynopeltididae, Derocalymmidae, Perisphaeriidae, Pycnoscelididae.	Princis	1964	Orthopterorum Catalogus, W. Junk, s'Gravenhage	publication
1172578	Hanitsch. 1950. New Blattidae from Belgian Congo. Revue de Zoologie et de Botanique Africaines (Rev. Zool. Bot. Afr.) 43(1-2):36	New Blattidae from Belgian Congo.	Hanitsch	1950	Revue de Zoologie et de Botanique Africaines (Rev. Zool. Bot. Afr.)	original
1172578	Princis. 1964. In Beier [Ed.]. Blattariae: Subordo Blaberoidea: Fam.: Panchloridae, Gynopeltididae, Derocalymmidae, Perisphaeriidae, Pycnoscelididae. Orthopterorum Catalogus, W. Junk, s'Gravenhage(6):196	Blattariae: Subordo Blaberoidea: Fam.: Panchloridae, Gynopeltididae, Derocalymmidae, Perisphaeriidae, Pycnoscelididae.	Princis	1964	Orthopterorum Catalogus, W. Junk, s'Gravenhage	publication
1172579	Chopard. 1927. Description d'une blatte cavernicole du Congo Belge. Rev. zool. afric. 15(1):123	Description d'une blatte cavernicole du Congo Belge	Chopard	1927	Rev. zool. afric.	original
1172579	Princis. 1964. In Beier [Ed.]. Blattariae: Subordo Blaberoidea: Fam.: Panchloridae, Gynopeltididae, Derocalymmidae, Perisphaeriidae, Pycnoscelididae. Orthopterorum Catalogus, W. Junk, s'Gravenhage(6):196	Blattariae: Subordo Blaberoidea: Fam.: Panchloridae, Gynopeltididae, Derocalymmidae, Perisphaeriidae, Pycnoscelididae.	Princis	1964	Orthopterorum Catalogus, W. Junk, s'Gravenhage	publication
