id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1172573	1172573	urn:lsid:Blattodea.speciesfile.org:TaxonName:1	1172573		Blattodea		order		valid			2016-07-12T06:13:00
1172574	1172574	urn:lsid:Blattodea.speciesfile.org:TaxonName:1848	1172574	1172573	Blaberoidea	Saussure. 1864. Orthoptéres de l'Amerique Moyenne. Mémoire pour servir a l'histoire naturelle du Mexique, des Antilles, etc. III. Blattides. Geneve. Mém. Soc. Phys. hist. Nat. Génève 18(4):1-279	superfamily	Saussure, 1864	valid			2016-06-10T07:45:00
1172575	1172575	urn:lsid:Blattodea.speciesfile.org:TaxonName:6191	1172575	1172574	Blaberidae	Saussure. 1864. Orthoptéres de l'Amerique Moyenne. Mémoire pour servir a l'histoire naturelle du Mexique, des Antilles, etc. III. Blattides. Geneve. Mém. Soc. Phys. hist. Nat. Génève 18(4):1-279	family	Saussure, 1864	valid			2016-06-09T10:55:00
1172576	1172576	urn:lsid:Blattodea.speciesfile.org:TaxonName:8668	1172576	1172575	Apotrogia	Kirby, W. F. 1900. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 7(5)	genus	Kirby, 1900	valid			2015-12-21T08:16:00
1172577	1172577	urn:lsid:Blattodea.speciesfile.org:TaxonName:8673	1172577	1172576	Apotrogia angolensis	Kirby, W. F. 1900. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 7(5)	species	Kirby, 1900	valid			2016-04-10T12:59:00
1172578	1172578	urn:lsid:Blattodea.speciesfile.org:TaxonName:8675	1172577	1172576	Thaumatoblatta leonhardi	Hanitsch. 1950. New Blattidae from Belgian Congo. Revue de Zoologie et de Botanique Africaines (Rev. Zool. Bot. Afr.) 43(1-2):25-38	species	Hanitsch, 1950	junior synonym			2015-12-19T15:24:00
1172579	1172579	urn:lsid:Blattodea.speciesfile.org:TaxonName:8674	1172577	1172576	Acanthogyna deplanata	Chopard. 1927. Description d'une blatte cavernicole du Congo Belge. Rev. zool. afric. 15(1):123-126	species	Chopard, 1927	junior synonym			2015-12-21T08:16:00
1172580	1172580	urn:lsid:Blattodea.speciesfile.org:TaxonName:8672	1172580	1172576	Apotrogia grandis	Chopard. 1952. Note sur quelques orthoptéroides cavernicoles du Congo Francais. Notes biospéologiques (Notes biospéol.) 7:53-60	species	Chopard, 1952	valid			2015-12-21T10:42:00
1172581	1172581	urn:lsid:Blattodea.speciesfile.org:TaxonName:8671	1172581	1172576	Apotrogia trochaini	Chopard. 1952. Note sur quelques orthoptéroides cavernicoles du Congo Francais. Notes biospéologiques (Notes biospéol.) 7:53-60	species	Chopard, 1952	valid			2016-04-15T11:06:00
1172582	1172582	urn:lsid:Blattodea.speciesfile.org:TaxonName:8670	1172576	1172575	Acanthogyna	Chopard. 1927. Description d'une blatte cavernicole du Congo Belge. Rev. zool. afric. 15(1):123-126	genus	Chopard, 1927	junior synonym			2015-12-21T08:16:00
1172583	1172583	urn:lsid:Blattodea.speciesfile.org:TaxonName:8669	1172576	1172575	Thaumatoblatta	Hanitsch. 1950. New Blattidae from Belgian Congo. Revue de Zoologie et de Botanique Africaines (Rev. Zool. Bot. Afr.) 43(1-2):25-38	genus	Hanitsch, 1950	junior synonym			2015-12-19T15:24:00
1172584	1172584	urn:lsid:Blattodea.speciesfile.org:TaxonName:8666	1172584	1172575	Cacoblatta	Saussure. 1893. Soc. ent. 8	genus	Saussure, 1893	valid			2015-12-02T11:32:00
1172585	1172585	urn:lsid:Blattodea.speciesfile.org:TaxonName:8667	1172585	1172584	Cacoblatta scabra	Saussure. 1893. Soc. ent. 8	species	Saussure, 1893	valid			2015-12-02T11:32:00
