uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1172573	|		|	Blattodea	|	order	|		|	
1172574	|	1172573	|	Blaberoidea	|	superfamily	|		|	
1172575	|	1172574	|	Blaberidae	|	family	|		|	
1172576	|	1172575	|	Apotrogia	|	genus	|		|	
1172577	|	1172576	|	Apotrogia angolensis	|	species	|		|	
1172580	|	1172576	|	Apotrogia grandis	|	species	|		|	
1172581	|	1172576	|	Apotrogia trochaini	|	species	|		|	
1172584	|	1172575	|	Cacoblatta	|	genus	|		|	
1172585	|	1172584	|	Cacoblatta scabra	|	species	|		|	
1172586	|	1225141	|	Comptolampra	|	genus	|		|	
1172587	|	1172586	|	Comptolampra liturata	|	species	|		|	
1172591	|	1225141	|	Cyrtonotula	|	genus	|		|	
1172592	|	1172591	|	Cyrtonotula lata	|	species	|		|	
1172594	|	1172575	|	Derocardia	|	genus	|		|	
1172595	|	1172594	|	Derocardia acutipennis	|	species	|		|	
1172596	|	1172575	|	Diplopterina	|	genus	|		|	
1172597	|	1172596	|	Diplopterina conradti	|	species	|		|	
1172598	|	1172596	|	Diplopterina parva	|	species	|		|	
1172600	|	1172575	|	Elfridaia	|	genus	|		|	
1172601	|	1172600	|	Elfridaia ebomae	|	species	|		|	
1172602	|	1172575	|	Eustegasta	|	genus	|		|	
1172603	|	1172602	|	Eustegasta agrilidina	|	species	|		|	
1172604	|	1172602	|	Eustegasta amoena	|	species	|		|	
1172605	|	1172602	|	Eustegasta blanda	|	species	|		|	
1172606	|	1172602	|	Eustegasta buprestoides	|	species	|		|	
1172607	|	1172602	|	Eustegasta carabidina	|	species	|		|	
1172608	|	1172602	|	Eustegasta lepida	|	species	|		|	
1172609	|	1172602	|	Eustegasta lueci	|	species	|		|	
1172610	|	1172602	|	Eustegasta metallica	|	species	|		|	
1172611	|	1172602	|	Eustegasta micans	|	species	|		|	
1172612	|	1172602	|	Eustegasta poecila	|	species	|		|	
1172615	|	1172602	|	Eustegasta pulchella	|	species	|		|	
1172616	|	1172602	|	Eustegasta robinsoni	|	species	|		|	
1172617	|	1172602	|	Eustegasta splendens	|	species	|		|	
1172618	|	1172602	|	Eustegasta suava	|	species	|		|	
1172619	|	1172602	|	Eustegasta variegata	|	species	|		|	
1172620	|	1172602	|	Eustegasta venusta	|	species	|		|	
1172622	|	1172575	|	Evea	|	genus	|		|	
1172623	|	1172622	|	Evea kalkmanni	|	species	|		|	
1172624	|	1172575	|	Glyptopeltis	|	genus	|		|	
1172625	|	1172624	|	Glyptopeltis couloniana	|	species	|		|	
1172626	|	1172624	|	Glyptopeltis purpurea	|	species	|		|	
1172628	|	1172575	|	Gynopeltis	|	genus	|		|	
1172629	|	1172628	|	Gynopeltis cryptospila	|	species	|		|	
1172632	|	1172628	|	Gynopeltis neavei	|	species	|		|	
1172634	|	1172575	|	Hedaia	|	genus	|		|	
1172635	|	1172634	|	Hedaia angulata	|	species	|		|	
1172637	|	1172575	|	Isoniscus	|	genus	|		|	
1172638	|	1172637	|	Isoniscus scaber	|	species	|		|	
1172639	|	1172637	|	Isoniscus scaberrimus	|	species	|		|	
1172640	|	1172637	|	Isoniscus sjoestedti	|	species	|		|	
1172641	|	1172575	|	Kemneria	|	genus	|		|	
1172642	|	1172641	|	Kemneria colombiana	|	species	|		|	
1172643	|	1172575	|	Mesoblaberus	|	genus	|		|	
1172644	|	1172643	|	Mesoblaberus intermedius	|	species	|		|	
1172645	|	1172575	|	Mioblatta	|	genus	|		|	
1172646	|	1172645	|	Mioblatta fornicata	|	species	|		|	
1172647	|	1172575	|	Paraplecta	|	genus	|		|	
1172648	|	1172647	|	Paraplecta latiusmarginata	|	species	|		|	
1172649	|	1172647	|	Paraplecta minuta	|	species	|		|	
1172650	|	1172647	|	Paraplecta minutissima	|	species	|		|	
1172651	|	1172647	|	Paraplecta pallipes	|	species	|		|	
1172654	|	1172647	|	Paraplecta parva	|	species	|		|	
1172656	|	1172575	|	Phenacisma	|	genus	|		|	
1172657	|	1172656	|	Phenacisma peltata	|	species	|		|	
1172658	|	1172656	|	Phenacisma semialata	|	species	|		|	
1172659	|	1172575	|	Progonogamia	|	genus	|		|	
1172660	|	1172659	|	Progonogamia hebardi	|	species	|		|	
1172661	|	1172659	|	Progonogamia rehni	|	species	|		|	
1172662	|	1172575	|	Pseudogyna	|	genus	|		|	
1172663	|	1172662	|	Pseudogyna intermedia	|	species	|		|	
1172664	|	1172575	|	Pseudoplatia	|	genus	|		|	
1172665	|	1172664	|	Pseudoplatia atra	|	species	|		|	
1172666	|	1172952	|	Rhicnoda	|	genus	|		|	
1172667	|	1172666	|	Rhicnoda desidiosa	|	species	|		|	
1172668	|	1172666	|	Rhicnoda natatrix	|	species	|		|	
1172669	|	1172666	|	Rhicnoda rugosa	|	species	|		|	
1172670	|	1172666	|	Rhicnoda spinulosa	|	species	|		|	
1172671	|	1172575	|	Stenoblatta	|	genus	|		|	
1172672	|	1172671	|	Stenoblatta parallela	|	species	|		|	
1172674	|	1172575	|	Stictomorphna	|	genus	|		|	
1172675	|	1172674	|	Stictomorphna geochroma	|	species	|		|	
1172678	|	1172674	|	Stictomorphna parvimaculata	|	species	|		|	
1172680	|	1172575	|	Thliptoblatta	|	genus	|		|	
1172681	|	1172680	|	Thliptoblatta obtrita	|	species	|		|	
1172683	|	1172575	|	Thoracopygia	|	genus	|		|	
1172684	|	1172683	|	Thoracopygia loricata	|	species	|		|	
1172686	|	1172575	|	Zetoborinae	|	subfamily	|		|	
1172687	|	1172686	|	Alvarengaia	|	genus	|		|	
1172688	|	1172687	|	Alvarengaia fulvocastanea	|	species	|		|	
1172689	|	1172686	|	Capucina	|	genus	|		|	
1172690	|	1172689	|	Capucina patula	|	species	|		|	
1172692	|	1172686	|	Lanxoblatta	|	genus	|		|	
1172693	|	1172692	|	Lanxoblatta emarginata	|	species	|		|	
1172696	|	1172692	|	Lanxoblatta frater	|	species	|		|	
1172697	|	1172692	|	Lanxoblatta lata	|	species	|		|	
1172698	|	1172692	|	Lanxoblatta limbata	|	species	|		|	
1172699	|	1172692	|	Lanxoblatta magnifica	|	species	|		|	
1172700	|	1172692	|	Lanxoblatta martinezi	|	species	|		|	
1172702	|	1172692	|	Lanxoblatta rudis	|	species	|		|	
1172705	|	1172686	|	Parasphaeria	|	genus	|		|	
1172706	|	1172705	|	Parasphaeria boleiriana	|	species	|		|	
1172707	|	1172705	|	Parasphaeria castanea	|	species	|		|	
1172708	|	1172705	|	Parasphaeria ovata	|	species	|		|	
1172713	|	1172686	|	Phortioeca	|	genus	|		|	
1172714	|	1172713	|	Phortioeca andeana	|	species	|		|	
1172715	|	1172713	|	Phortioeca apolinari	|	species	|		|	
1172716	|	1172713	|	Phortioeca maximiliani	|	species	|		|	
1172717	|	1172713	|	Phortioeca nimbata	|	species	|		|	
1172719	|	1172713	|	Phortioeca peruana	|	species	|		|	
1172720	|	1172713	|	Phortioeca phoraspoides	|	species	|		|	
1172722	|	1172713	|	Phortioeca verrucosa	|	species	|		|	
1172723	|	1172686	|	Phortioecoides	|	genus	|		|	
1172724	|	1172723	|	Phortioecoides guarani	|	species	|		|	
1172725	|	1172686	|	Schistopeltis	|	genus	|		|	
1172726	|	1172725	|	Schistopeltis lizeri	|	species	|		|	
1172727	|	1172725	|	Schistopeltis peculiaris	|	species	|		|	
1172728	|	1172725	|	Schistopeltis microschistos	|	species	|		|	
1172729	|	1172686	|	Schizopilia	|	genus	|		|	
1172730	|	1172729	|	Schizopilia fissicollis	|	species	|		|	
1172731	|	1172729	|	Schizopilia neblinensis	|	species	|		|	
1172732	|	1172686	|	Schultesia	|	genus	|		|	
1172733	|	1172732	|	Schultesia lampyridiformis	|	species	|		|	
1172734	|	1172732	|	Schultesia nitor	|	species	|		|	
1172735	|	1172686	|	Thanatophyllum	|	genus	|		|	
1172736	|	1172735	|	Thanatophyllum akinetum	|	species	|		|	
1172737	|	1172686	|	Tribonium	|	genus	|		|	
1172738	|	1172737	|	Tribonium colombicum	|	species	|		|	
1172739	|	1172737	|	Tribonium conspersum	|	species	|		|	
1172740	|	1172737	|	Tribonium conspurcatum	|	species	|		|	
1172741	|	1172737	|	Tribonium delicatum	|	species	|		|	
1172742	|	1172737	|	Tribonium elegans	|	species	|		|	
1172743	|	1172737	|	Tribonium guttulosum	|	species	|		|	
1172745	|	1172737	|	Tribonium guyanense	|	species	|		|	
1172746	|	1172737	|	Tribonium litoris	|	species	|		|	
