id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1173465	typeGenus	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 426 pp. 13 pls.	Epilampridae Brunner von Wattenwyl, 1865								
1174509	typeGenus	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 426 pp. 13 pls.	Ectobiidae Brunner von Wattenwyl, 1865								
1174510	typeGenus	Karny. 1908. Mitt. natur. Ver. Univ. Wien 6	Blattellidae Karny, 1908								
1177776	typeGenus	Bolívar. 1892. In Raffray, Bolívar & Simon [Ed.]. Étude sur les Arthropodes cavernicoles de l'île de Luzon. Orthoptères. Annales de la Société Entomologique de France (Annls Soc. ent. Fr.) 61:29-34	Nocticolinae Bolívar, 1892								
1177780	typeGenus	Handlirsch. 1925. In Schröder [Ed.]. Handbuch der Entomologie	Euthyrrhaphinae Handlirsch, 1925								
1178158	typeGenus	Saussure. 1864. Orthoptéres de l'Amerique Moyenne. Mémoire pour servir a l'histoire naturelle du Mexique, des Antilles, etc. III. Blattides. Geneve. Mém. Soc. Phys. hist. Nat. Génève 18(4):1-279	Polypagiens Saussure, 1864								
1178162	typeGenus	Latreille. 1802. Histoire Naturelle, Général et Particulière des Crustacés et des Insectes, Dufart, Paris 3	Termitina Latreille, 1802								
1178167	typeGenus	Handlirsch. 1925. In Schröder [Ed.]. Handbuch der Entomologie	Cryptocercinae Handlirsch, 1925								
1178552	typeGenus	Roth, L. M. 1993. The genus Macrocerca Hanitsch with descriptions of new species (Blattaria, Blattidae: Macrocercinae, subfam. n.). Entomologica Scandinavica 24(3):343-360	Macrocercinae Roth, 1993								
1179036	typeGenus	Kirby, W. F. 1904. A synonymic Catalogue of Orthoptera. Orthoptera, Euplexoptera, Cursoria, et Gressoria., British Museum, London 1:1-501	Archiblattinae Kirby, 1904								
1179056	typeGenus	McKittrick. 1964. Evolutionary studies of cockroaches. Cornell Univ. Agric. Exp. Sta. Mem. 389	Lamproblattinae McKittrick, 1964								
1179098	typeGenus	McKittrick & Mackerras. 1965. Phyletic relationships within the Blattidae. Annals of the Entomological Society of America 58(2):224-230	Tryonicinae McKittrick & Mackerras, 1965								
1217773	typeGenus	Roth, L. M. 2003. Some cockroaches from Africa and islands of the Indian Ocean, with descriptions of three new species (Blattaria). Transactions of the American Entomological Society 129(1):167-186	Duchailluiinae Roth, 2003								
1220385	typeGenus	Saussure. 1864. Orthoptéres de l'Amerique Moyenne. Mémoire pour servir a l'histoire naturelle du Mexique, des Antilles, etc. III. Blattides. Geneve. Mém. Soc. Phys. hist. Nat. Génève 18(4):1-279	Corydiens Saussure, 1864								
1220571	typeGenus	Latreille. 1810. Considérations générales sur l'ordre naturel des animaux composant les classes des crustacés, des arachnides, et des insectes; avec un tableau méthodique de leurs genres, disposés en familles., F. Schoell, Paris 1-444	Blattariae Latreille, 1810								
1223912	typeGenus	Walker, F. 1868. Catalogue of the Specimens of Blattariae in the Collection of the British Museum, British Museum (Natural History), London 239	Anaplectidae Walker, 1868								
1227221	typeGenus	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 426 pp. 13 pls.	Perisphaeridae Brunner von Wattenwyl, 1865								
1172576	typeSpecies	Kirby, W. F. 1900. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 7(5):123	Acanthogyna deplanata Chopard, 1927								
1172582	typeSpecies	Chopard. 1927. Description d'une blatte cavernicole du Congo Belge. Rev. zool. afric. 15(1):123	Acanthogyna deplanata Chopard, 1927								
1172583	typeSpecies	Hanitsch. 1950. New Blattidae from Belgian Congo. Revue de Zoologie et de Botanique Africaines (Rev. Zool. Bot. Afr.) 43(1-2):36	Thaumatoblatta leonhardi Hanitsch, 1950								
1172584	typeSpecies	Saussure. 1893. Soc. ent. 8:68	Cacoblatta scabra Saussure, 1893								
1172586	typeSpecies	Saussure. 1893. Soc. ent. 8:103	Blatta liturata Serville, 1838								
1172591	typeSpecies	Uvarov. 1939. Twenty-four new generic names in Orthoptera. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 11 3:265	Cyrtonota lata Hanitsch, 1929								
1172594	typeSpecies	Saussure. 1895. Révision de la tribu des Panesthiens et de celle des Épilampriens (Orthoptères de la famille des Blattides). Revue Suisse de Zoologie 3:350	Derocardia acutipennis Saussure, 1895								
1172596	typeSpecies	Princis. 1963. La réserve naturelle intégrale du Mont Nimba. IV. Dictyoptera Blattariae. Mem. inst. Franç. Afr. Noire. Ifan-Dakar 66:31	Eustegasta parva Borg, 1902								
1172600	typeSpecies	Shaw. 1925. Proc. Linn. Soc. N. S. Wales 50:174	Elfridaia ebomae Shaw, 1925								
1172602	typeSpecies	Gerstaecker. 1883. Mittheil. naturw. Ver. Neu-Vorpomm. u. Rugen 14:76	Epilampra buprestoides Walker, 1868								
1172621	typeSpecies	Saussure. 1891. Soc. ent. 6:343	Nauphoeta amoena Saussure, 1864								
1172622	typeSpecies	Shelford. 1909. Descriptions of some new genera and species of Blattidae. (Orth.). Deutsche Entomologische Zeitschrift (Deutsch. entomol. Z.) 5:623	Evea kalkmanni Shelford, 1909								
1172624	typeSpecies	Saussure. 1873. Mem. Soc. Geneve 23:122	Glyptopeltis biguttata Saussure, 1873								
1172628	typeSpecies	Gerstaecker. 1869. Beitrag zur Insekten–Fauna von Zanzibar. No. II. Orthoptera et Neuroptera. Archiv für Naturgeschichte (Zeitschrift für systematische Zoologie) (Arch. Naturgesch.) 35:208	Gynopeltis picta Gerstaecker, 1869								
1172634	typeSpecies	Saussure & Zehntner. 1895. 67	Hedaia venusta Saussure & Zehntner, 1895								
1172637	typeSpecies	Borg. 1902. Bih. Sv. Vet. Akad. Handl. 28 Afd. IV 10:28	Isoniscus sjoestedti Borg, 1902								
1172641	typeSpecies	Princis. 1946. Colombianische Blattoden, gesammalt von Herrn G. Dahl und Frau M. Althen-Dahl in den Jahren 1936-1939. Acta Universitatis Lundensis (Acta Univ. Lund.) 16:147	Kemneria colombiana Princis, 1946								
1172643	typeSpecies	Princis. 1951. Neue und wenig bekannte Blattarien aus dem Zoologischen Museum, Kopenhagen. Spolia Mus. Zool. Hauniensis 12:6	Mesoblaberus intermedius Princis, 1951								
1172645	typeSpecies	Saussure & Zehntner. 1895. 55	Mioblatta fornicata Saussure & Zehntner, 1895								
1172647	typeSpecies	Shelford. 1907. On some new species of Blattidae in the Oxford and Paris Museums. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 19(7):74	Cirphis pallipes Stål, 1876								
1172655	typeSpecies	Stål. 1876. Ofv. Sv. Vet. Akad. Forhandl. 33(3):74	Cirphis pallipes Stål, 1876								
1172656	typeSpecies	Karsch. 1896. Stettiner Entomologische Zeitung 57:243	Phenacisma peltata Karsch, 1896								
1172659	typeSpecies	Rehn, J. A. G. 1922. Contributions to our knowledge of the Dermaptera and Orthoptera of the Transvaal and Natal. Annals of the Transvaal Museum (Ann. Transv. Mus.) 9(1):36	Progonogamia hebardi Rehn, 1922								
1172662	typeSpecies	Shelford. 1909. Studies of the Blattidae. XI. Revision of the genus Gyna Br., with a description of a new genus. Trans. Ent. Soc. Lond. 1909 325	Pseudogyna intermedia Shelford, 1909								
1172664	typeSpecies	Hanitsch. 1930. Blattidae collected by H. R. H. Prince Léopold of Belgium during a tour in the east. Preliminary diagnoses. Bull. Ann. Soc. Entomol. Belgique 70:259	Pseudoplatia atra Hanitsch, 1930								
1172666	typeSpecies	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 31	Rhicnoda rugosa Brunner von Wattenwyl, 1865								
1172671	typeSpecies	Walker, F. 1868. Catalogue of the Specimens of Blattariae in the Collection of the British Museum, British Museum (Natural History), London 193	Stenoblatta parallela Walker, 1868								
1172674	typeSpecies	Bruijning. 1948. Zool. Meded. 29:129	Stictomorphna parvimaculata Bruijning, 1948								
1172680	typeSpecies	Saussure & Zehntner. 1895. 54	Thliptoblatta obtrita Saussure & Zehntner, 1895								
1172683	typeSpecies	Saussure & Zehntner. 1895. 54	Thoracopygia loricata Saussure & Zehntner, 1895								
1172687	typeSpecies	Rocha e Silva & Aguiar. 1977. Familia Blaberidae da localidade Sinop, Estado de Mato Grosso, Brasil (Dictyoptera). Boletim do Museu Paraense Emilio Goeldi. Nova série Zoologia (Bol. Mus. Para. Emilio Goeldi Nov. Ser. Zool.) 88:9	Alvarengaia fulvocastanea Rocha e Silva & Aguiar, 1977								
1172689	typeSpecies	Saussure. 1893. Soc. ent. 8:67	Capucina cucullata Saussure, 1893								
1172692	typeSpecies	Hebard. 1931. Die Ausbeute der Deutschen Chaco Expedition 1925-26. Orthoptera. Konowia 10:511	Zetobora emarginata Burmeister, 1838								
1172704	typeSpecies	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 511	Zetobora emarginata Burmeister, 1838								
1172705	typeSpecies	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 14	Blatta ovata Blanchard, 1851								
1172713	typeSpecies	Saussure. 1862. Rev. Mag. Zool. 2(14):232	Phortioeca peruana Saussure, 1862								
1172723	typeSpecies	Rehn, J. A. G. 1937. New or little known Neotropical Blattidae (Orthoptera). Number four. Transactions of the American Entomological Society 63:235	Phortioecoides guarani Rehn, 1937								
1172725	typeSpecies	Rehn, J. A. G. 1916. The Stanford Expedition to Brazil, 1911. J.C. Branner, Director. Dermaptera and Orthoptera I. Proceedings of the Academy of Natural Sciences of Philadelphia 42:240	Schistopeltis peculiaris Rehn, 1916								
1172729	typeSpecies	Saussure. 1864. Mem. Hist. nat. Mexique 4:85	Blatta fissicollis Serville, 1838								
1172732	typeSpecies	Roth, L. M. 1973. Brazilian cockroaches found in birds' nests, with descriptions of new genera and species (Dictyoptera: Blattaria: Blaberidae and Blattellidae). Proceedings of the Entomological Society of Washington 75(1):1-27	Schultesia lampyridiformis Roth, 1973								
1172735	typeSpecies	Grandcolas. 1991[1990]. Descriptions de nouvelles Zetoborinae guyanaises avec quelques re-marques sur la sous-famille [Dict Blattaria Blaberidae]. Bulletin de la Société entomologique de France (Bull. Soc. entomol. Fr.) 95:243	Thanatophyllum akinetum Grandcolas, 1991								
1172737	typeSpecies	Saussure. 1862. Rev. Mag. Zool. 2(14):85	Blatta spectrum Eschscholtz, 1822								
1172751	typeSpecies	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 510	Zetobora conspersa Burmeister, 1838								
1172752	typeSpecies	Shelford. 1908. On a small collection of Blattidae in the Naturhistorischen Museum zu Wiesbaden. Jahrb. Nassau. Ver. Naturk. Wiesbaden 61:339	Apsidopis oniscosoma Saussure, 1895								
1172755	typeSpecies	Burmeister. 1838. Handb. Ent. 2(2):510	Zetobora signaticollis Burmeister, 1838								
1172764	typeSpecies	Saussure. 1862. Rev. Mag. Zool. 2(14):232	Zetobora monastica Saussure, 1862								
1172765	typeSpecies	Hebard. 1921. South American Blattidae from the Museum National d'Histoire Naturelle, Paris, France. Proceedings of the Academy of Natural Sciences of Philadelphia 73(2):211	Zetoborella gemmicula Hebard, 1921								
1172768	typeSpecies	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 52	Blatta (Nauphoeta) circumdata Haan, 1842								
1172795	typeSpecies	Saussure. 1864. 325	Prosoplecta (Diploptera) silpha Saussure, 1864								
1172797	typeSpecies	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 102	Blatta dytiscoides Serville, 1838								
1172809	typeSpecies	Tepper. 1893. The Blattariae of Australia and Polynesia. Trans. R. Soc. S. Austral. 17:68	Geoscapheus robustus Tepper, 1893								
1172819	typeSpecies	Brunner von Wattenwyl. 1893. 346	Plana dilatata Saussure, 1864								
1172820	typeSpecies	Saussure. 1895. Révision de la tribu des Panesthiens et de celle des Épilampriens (Orthoptères de la famille des Blattides). Revue Suisse de Zoologie 3:329	Macropanesthia rhinoceros Saussure, 1895								
1172833	typeSpecies	Saussure. 1895. Révision de la tribu des Panesthiens et de celle des Épilampriens (Orthoptères de la famille des Blattides). Revue Suisse de Zoologie 3:150	Panesthia kraussiana Saussure, 1873								
1172834	typeSpecies	Roth, L. M. 1977. A taxonomic revision of the Panesthiinae of the world. I. The Panesthiinae of Australia (Dictyoptera: Blattaria: Blaberidae). Australian Journal of Zoology Suppl. Ser. 48:49	Neogeoscapheus dahmsi Roth, 1977								
1172838	typeSpecies	Roth, L. M. 1977. A taxonomic revision of the Panesthiinae of the world. I. The Panesthiinae of Australia (Dictyoptera: Blattaria: Blaberidae). Australian Journal of Zoology Suppl. Ser. 48:176	Geoscapheus giganteus Tepper, 1894								
1172843	typeSpecies	Burmeister. 1838. Handb. Ent. 2(2):116	Blatta complanata Perty, 1832								
1172847	typeSpecies	Scudder. 1862. Boston J. nat. Hist. 7:422	Pycnoscelus obscurus Scudder, 1862								
1172876	typeSpecies	Tepper. 1894. The Blattariae of Australia and Polynesia. Supplementary and additional descriptions and notes. Trans. R. Soc. S. Aust. 18:174	Epilampra tatei Tepper, 1894								
1172879	typeSpecies	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 424	Blatta surinamensis Linnaeus, 1758								
1172880	typeSpecies	Saussure & Zehntner. 1895. 284	Parahormetica bengalensis Saussure, 1869								
1172886	typeSpecies	Grandcolas. 1993. Monophylie et structure phylogénétique des (Blaberinae + Zetoborinae + Gyninae + Diplopterinae) (Dictyoptera: Blaberidae). Bulletin de la Société entomologique de France (Bull. Soc. entomol. Fr.) 29(2):103	Stilpnoblatta nugax Rehn, 1937								
1172892	typeSpecies	Brunner von Wattenwyl. 1865. Nouveau Système des Blattaires., G. Braumüller, Vienna 72	Gyna capucina Gerstaecker, 1883								
1172939	typeSpecies	Kirby, W. F. 1896. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 6(18):258	Trichomera insignata Kirby, 1896								
1172940	typeSpecies	Grandcolas. 1993. Monophylie et structure phylogénétique des (Blaberinae + Zetoborinae + Gyninae + Diplopterinae) (Dictyoptera: Blaberidae). Bulletin de la Société entomologique de France (Bull. Soc. entomol. Fr.) 29(2):199	Paraprincisaria malagassa Grandcolas, 1993								
1172946	typeSpecies	Roth, L. M. & Princis. 1971. Pseudocalolampra, a new genus of cockroach from Africa (Dictyoptera: Blaberidae). Proceedings of the Entomological Society of Washington 73:330	Pseudocalolampra inexpectata Roth & Princis, 1971								
1172953	typeSpecies	Rehn, J. A. G. 1928. New or little known Neotropical Blattidae (Orthoptera). Number one. Transactions of the American Entomological Society 54:191	Cariacasia capucina Rehn, 1928								
