id	bibliographicCitation	title	creator	date	source	type
1171454	Myers & China. 1929. The systematic position of the Peloridiidae. Annals and Magazine of Natural History (Ann. Mag. Nat. Hist.) 105:293	The systematic position of the Peloridiidae	Myers & China	1929	Annals and Magazine of Natural History (Ann. Mag. Nat. Hist.)	publication
1171454	Burckhardt. 2009. Taxonomy and phylogeny of the Gondwanan moss bugs or Peloridiidae (Hemiptera, Coleorrhyncha). Deutsche Entomologische Zeitschrift 56(2):173-235	Taxonomy and phylogeny of the Gondwanan moss bugs or Peloridiidae (Hemiptera, Coleorrhyncha)	Burckhardt	2009	Deutsche Entomologische Zeitschrift	publication
1171454	Burckhardt. 2010. Mooswanzen - Peloridiidae (Hemiptera, Coleorrhyncha), eine enigmatische Insektengruppe. Entomologica Austriaca 17:9-22	Mooswanzen - Peloridiidae (Hemiptera, Coleorrhyncha), eine enigmatische Insektengruppe	Burckhardt	2010	Entomologica Austriaca	publication
1171454	Szwedo. 2011. The Coleorrhyncha (Insecta: Hemiptera) of the European Jurassic, with a description of a new genus from the Toarcian of Luxembourg. Volumina Jurassica 9:3-20	The Coleorrhyncha (Insecta: Hemiptera) of the European Jurassic, with a description of a new genus from the Toarcian of Luxembourg	Szwedo	2011	Volumina Jurassica	publication
1171455	Handlirsch. 1906. Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany 493	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen.	Handlirsch	1906	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany	publication
1171455	Wang, Szwedo & Zhang. 2009. Jurassic Progonocimicidae (Hemiptera) from China and  phylogenetic evolution of Coleorrhyncha. Science in China Series D: Earth Sciences (Sci. China D: Earth Sci.) D 52(12):1953-1961	Jurassic Progonocimicidae (Hemiptera) from China and  phylogenetic evolution of Coleorrhyncha	Wang, Szwedo & Zhang	2009	Science in China Series D: Earth Sciences (Sci. China D: Earth Sci.)	publication
1171456	Becker-Migdisova. 1958. New fossil Hemiptera. Materialy k Osnovam Paleontologii (Mater. Osnov. Paleont.) 2:60	New fossil Hemiptera	Becker-Migdisova	1958	Materialy k Osnovam Paleontologii (Mater. Osnov. Paleont.)	publication
1171457	Handlirsch. 1906. Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany 494	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen.	Handlirsch	1906	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany	publication
1171458	Evans. 1956. Palaeozoic and Mesozoic Hemiptera (Insecta). Australian Journal of Zoology (Aust. J. Zool.) 4:244	Palaeozoic and Mesozoic Hemiptera (Insecta)	Evans	1956	Australian Journal of Zoology (Aust. J. Zool.)	publication
1171459	Carpenter. 1992. In Kaesler [Ed.]. Superclass Hexapoda. Treatise on Invertebrate Paleontology, Geological Society of America & University of Kansas, Boulder, Colorado & Lawrence, Kansas, USA R - Arthropoda 3 & 4:259	Superclass Hexapoda	Carpenter	1992	Treatise on Invertebrate Paleontology, Geological Society of America & University of Kansas, Boulder, Colorado & Lawrence, Kansas, USA	publication
1171460	Handlirsch. 1906. Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany 493	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen.	Handlirsch	1906	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany	publication
1171461	Evans. 1961. Some Upper Triassic Hemiptera from Queensland. Memoirs of the Queensland Museum (Mem. Queensland Mus.) 14:22	Some Upper Triassic Hemiptera from Queensland	Evans	1961	Memoirs of the Queensland Museum (Mem. Queensland Mus.)	original
1171462	Evans. 1961. Some Upper Triassic Hemiptera from Queensland. Memoirs of the Queensland Museum (Mem. Queensland Mus.) 14:13-23	Some Upper Triassic Hemiptera from Queensland	Evans	1961	Memoirs of the Queensland Museum (Mem. Queensland Mus.)	original
1171463	Popov & Shcherbakov. 1991. Mesozoic Peloridioidea and their ancestors (Insecta: Hemiptera, Coleorrhyncha). Geologica et Palaeontologica (Geol. Palaeont.) 25:221	Mesozoic Peloridioidea and their ancestors (Insecta: Hemiptera, Coleorrhyncha)	Popov & Shcherbakov	1991	Geologica et Palaeontologica (Geol. Palaeont.)	original
1171464	Popov & Shcherbakov. 1991. Mesozoic Peloridioidea and their ancestors (Insecta: Hemiptera, Coleorrhyncha). Geologica et Palaeontologica (Geol. Palaeont.) 25:215-235	Mesozoic Peloridioidea and their ancestors (Insecta: Hemiptera, Coleorrhyncha)	Popov & Shcherbakov	1991	Geologica et Palaeontologica (Geol. Palaeont.)	original
1171465	Popov & Shcherbakov. 1991. Mesozoic Peloridioidea and their ancestors (Insecta: Hemiptera, Coleorrhyncha). Geologica et Palaeontologica (Geol. Palaeont.) 25:219	Mesozoic Peloridioidea and their ancestors (Insecta: Hemiptera, Coleorrhyncha)	Popov & Shcherbakov	1991	Geologica et Palaeontologica (Geol. Palaeont.)	original
1171466	Popov & Shcherbakov. 1991. Mesozoic Peloridioidea and their ancestors (Insecta: Hemiptera, Coleorrhyncha). Geologica et Palaeontologica (Geol. Palaeont.) 25:215-235	Mesozoic Peloridioidea and their ancestors (Insecta: Hemiptera, Coleorrhyncha)	Popov & Shcherbakov	1991	Geologica et Palaeontologica (Geol. Palaeont.)	original
1171467	Handlirsch. 1906. Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany 494	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen.	Handlirsch	1906	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany	original
1171468	Handlirsch. 1906. Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany 494	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen.	Handlirsch	1906	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany	original
1171469	Handlirsch. 1906. Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany 494	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen.	Handlirsch	1906	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany	original
1171470	Handlirsch. 1906. Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany 494	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen.	Handlirsch	1906	Die fossilen Insekten und die Phylogenie der Rezenten Formen. Ein Handbuch für Paläontologen und Zoologen., Engelmann, Leipzig, Germany	original
1171471	Tillyard. 1926. Upper Permian insects of New South Wales. I. Introduction and the Order Hemiptera. Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. New South Wales) 51:18	Upper Permian insects of New South Wales. I. Introduction and the Order Hemiptera	Tillyard	1926	Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. New South Wales)	original
1171472	Tillyard. 1926. Upper Permian insects of New South Wales. I. Introduction and the Order Hemiptera. Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. New South Wales) 51:18	Upper Permian insects of New South Wales. I. Introduction and the Order Hemiptera	Tillyard	1926	Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. New South Wales)	original
1171473	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:1-240	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171474	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:1-240	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171475	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:142	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171476	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:1-240	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171477	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:142	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171478	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:143	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171479	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:143	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171480	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:1-240	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171481	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:1-240	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
1171482	Handlirsch. 1939. Neue Untersuchungen über die fossilen Insekten, part 1. Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien) 49:1-240	Neue Untersuchungen über die fossilen Insekten, part 1	Handlirsch	1939	Annalen des Naturhistorischen Museums in Wien (Ann. Naturhist. Mus. Wien)	original
