id	isExtinct	livingPeriod
1171454	FALSE	
1171455	TRUE	Fossil
1171456	TRUE	unspecified
1171457	TRUE	unspecified
1171458	TRUE	unspecified
1171459	TRUE	unspecified
1171460	TRUE	Fossil
1171461	TRUE	unspecified
1171462	TRUE	unspecified
1171463	TRUE	unspecified
1171464	TRUE	unspecified
1171465	TRUE	unspecified
1171466	TRUE	unspecified
1171467	TRUE	unspecified
1171468	TRUE	unspecified
1171469	TRUE	unspecified
1171470	TRUE	unspecified
1171471	TRUE	unspecified
1171472	TRUE	unspecified
1171473	TRUE	unspecified
1171474	TRUE	unspecified
1171475	TRUE	unspecified
1171476	TRUE	unspecified
1171477	TRUE	unspecified
1171478	TRUE	unspecified
1171479	TRUE	unspecified
1171480	TRUE	unspecified
1171481	TRUE	unspecified
1171482	TRUE	unspecified
1171483	TRUE	unspecified
1171484	TRUE	unspecified
1171485	TRUE	unspecified
1171486	TRUE	unspecified
1171487	TRUE	unspecified
1171488	TRUE	unspecified
1171489	TRUE	unspecified
1171490	TRUE	unspecified
1171491	TRUE	unspecified
1171492	TRUE	unspecified
1171493	TRUE	unspecified
1171494	TRUE	unspecified
1171495	TRUE	unspecified
1171496	TRUE	unspecified
1171497	TRUE	unspecified
1171498	TRUE	unspecified
1171499	TRUE	unspecified
1171500	TRUE	unspecified
1171501	TRUE	Fossil
1171502	TRUE	Fossil
1171503	TRUE	Fossil
1171504	TRUE	Fossil
1171505	TRUE	Fossil
1171506	TRUE	unspecified
1171507	TRUE	unspecified
1171508	TRUE	unspecified
1171509	TRUE	unspecified
1171510	TRUE	unspecified
1171511	TRUE	unspecified
1171512	TRUE	unspecified
1171513	TRUE	unspecified
1171514	TRUE	unspecified
1171515	TRUE	unspecified
1171516	TRUE	unspecified
1171517	TRUE	unspecified
1171518	TRUE	unspecified
1171519	TRUE	unspecified
1171520	TRUE	unspecified
1171521	TRUE	unspecified
1171522	TRUE	Fossil
1171523	TRUE	Fossil
1171524	TRUE	Fossil
1171525	TRUE	Fossil
1171526	TRUE	Fossil
1171527	TRUE	Fossil
1171528	TRUE	Fossil
1171529	TRUE	Fossil
1171530	TRUE	Fossil
1171531	TRUE	Fossil
1171532	TRUE	unspecified
1171533	TRUE	unspecified
1171534	TRUE	unspecified
1171535	TRUE	unspecified
1171536	TRUE	unspecified
1171537	TRUE	Fossil
1171538	TRUE	unspecified
1171539	TRUE	unspecified
1171540	TRUE	unspecified
1171541	TRUE	unspecified
1171542	TRUE	unspecified
1171543	TRUE	unspecified
1171544	TRUE	unspecified
1171545	TRUE	unspecified
1171546	TRUE	unspecified
1171547	TRUE	unspecified
1171548	TRUE	unspecified
1171549	TRUE	unspecified
1171550	TRUE	unspecified
1171551	FALSE	
1171552	TRUE	unspecified
1171553	TRUE	unspecified
1171554	TRUE	unspecified
1171555	TRUE	unspecified
1171556	TRUE	unspecified
1171557	TRUE	unspecified
1171558	TRUE	unspecified
1171559	FALSE	
1171560	FALSE	
1171561	FALSE	
1171562	FALSE	
1171563	FALSE	
1171564	FALSE	
1171565	FALSE	
1171566	FALSE	
1171567	FALSE	
1171568	FALSE	
1171569	FALSE	
1171570	FALSE	
1171571	FALSE	
1171572	FALSE	
1171573	FALSE	
1171574	FALSE	
1171575	FALSE	
1171576	FALSE	
1171577	FALSE	
1171578	FALSE	
1171579	FALSE	
1171580	FALSE	
1171581	FALSE	
1171582	FALSE	
1171583	FALSE	
1171584	FALSE	
1171585	FALSE	
1171586	FALSE	
1171587	FALSE	
1171588	FALSE	
1171589	FALSE	
1171590	FALSE	
1171591	FALSE	
1171592	FALSE	
1171593	FALSE	
1171594	FALSE	
1171595	FALSE	
1171596	FALSE	
1171597	FALSE	
1171598	FALSE	
1171599	FALSE	
1171600	FALSE	
1171601	FALSE	
1171602	FALSE	
1171603	FALSE	
1171604	FALSE	
1171605	FALSE	
1171606	FALSE	
1171607	FALSE	
1171608	FALSE	
1171609	FALSE	
1171610	FALSE	
1171611	FALSE	
1171612	FALSE	
1171613	FALSE	
1171614	FALSE	
1171615	FALSE	
1171616	FALSE	
1171617	FALSE	
1171618	FALSE	
1171619	FALSE	
1227262	FALSE	
