id	description	type
1186250	This subspecies has a Herbivore/Host Plant ecological relationship with species Rhus glabra (smooth sumac).	associations
1186250	This subspecies has a Herbivore/Host Plant ecological relationship with genus Solidago (Goldenrods).	associations
1186250	This subspecies has a Herbivore/Host Plant ecological relationship with species Amorpha canescens. Nymphs and adults can be frequently found on Amorpha canescens in late summer.	associations
1186250	This subspecies has a Herbivore/Host Plant ecological relationship with genus Astragalus.	associations
1186250	This subspecies has a Herbivore/Host Plant ecological relationship with genus Solidago (Goldenrods).	associations
1186253	This species has a Herbivore/Host Plant ecological relationship with species Amorpha canescens. Both adults and nymphs are stated as being commonly found on Amorpha canescens.	associations
1186253	This species has a Herbivore/Host Plant ecological relationship with species Saponaria officinalis (common soapwort). Both adults and nymphs are stated as being commonly found on Saponaria officinalis.	associations
1186253	This species has a Herbivore/Host Plant ecological relationship with species Trifolium repens (white clover).	associations
1186253	This species has a Herbivore/Host Plant ecological relationship with species Lupinus lutens.	associations
1186382	This genus has a Host/Parasitoid ecological relationship with species Ooencyrtus papilionis.	associations
1186451	This species has a Herbivore/Host Plant ecological relationship with species Euphorbia heterophylla. Brailovsky and Flores collected specimens feeding on seedlings of Euphorbia heterophylla.	associations
1186468	This species has a Herbivore/Host Plant ecological relationship with species Rauvolfia tetraphylla. The authors collected specimens from Rauvolfia tetraphylla.	associations
1186468	This species has a Herbivore/Host Plant ecological relationship with species Euphorbia heterophylla. The authors collected specimens from Euphorbia heterophylla.	associations
1186523	This genus has a Host/Parasitoid ecological relationship with species Ooencyrtus papilionis.	associations
1186527	This species has a Host/Parasitoid ecological relationship with species Ooencyrtus papilionis.	associations
1186563	This species has a Herbivore/Host Plant ecological relationship with species Digitaria insularis (sourgrass). Cited as "Digitaria insularis", a synonym of Digitaria insularis.	associations
1186563	This species has a Herbivore/Host Plant ecological relationship with species Panicum fasciculatum.	associations
1186563	This species has a Herbivore/Host Plant ecological relationship with species Solanum melongena (eggplant/aubergine).	associations
1186578	This species has a Herbivore/Host Plant ecological relationship with tribe Poaceae (True Grass Family). This species is usually found on tall grasses of the plains and paddy fields.	associations
1186752	This subfamily has a Herbivore/Host Plant ecological relationship with tribe Leguminosae (Legume/Pea/Bean/Pulse Family). The foodplants of all species where known are herbaceous legumes	associations
1186770	This species has a Host/Parasitoid ecological relationship with species Mormonomyia argentifrons. Parasitises adults.	associations
1186770	This species has a Herbivore/Host Plant ecological relationship with tribe Leguminosae (Legume/Pea/Bean/Pulse Family).	associations
1186770	This species has a Herbivore/Host Plant ecological relationship with species Lablab purpureus (hyacinth bean). Cited as the synonym Dolichos lablab Linnaeus.	associations
1186770	This species has a Herbivore/Host Plant ecological relationship with species Cajanus cajan (pigeon pea).	associations
1186770	This species has a Herbivore/Host Plant ecological relationship with genus Phaseolus (bean/wild bean).	associations
1186770	This species has a Herbivore/Host Plant ecological relationship with genus Vigna.	associations
1186773	This species has a Herbivore/Host Plant ecological relationship with species Indigofera oblongifolia.	associations
1186773	This species has a Herbivore/Host Plant ecological relationship with genus Acacia.	associations
1186805	This species has a Herbivore/Host Plant ecological relationship with genus Phaseolus (bean/wild bean).	associations
1186933	This species has a Herbivore/Host Plant ecological relationship with genus Bromus.	associations
1186936	This species has a Herbivore/Host Plant ecological relationship with genus Bromus.	associations
1186948	This species has a Herbivore/Host Plant ecological relationship with species Astracantha creticus. Recorded as synonym Astragalus creticus Lam.	associations
1186949	This species has a Host/Parasitoid ecological relationship with species Ooencyrtus telenomicida.	associations
1186949	This species has a Herbivore/Host Plant ecological relationship with tribe Poaceae (True Grass Family).	associations
1186960	This species has a Herbivore/Host Plant ecological relationship with genus Setaria.	associations
1187016	This species has a Herbivore/Host Plant ecological relationship with tribe Poaceae (True Grass Family).	associations
1187020	This species has a Herbivore/Host Plant ecological relationship with genus Bromus.	associations
1187035	This species has a Herbivore/Host Plant ecological relationship with genus Centaurea.	associations
1187038	This species has a Herbivore/Host Plant ecological relationship with genus Scorzonera.	associations
