uid	|	name	|	type	|	rank	|	
1186238	|	Alydini	|	synonym	|		|	
1186242	|	Alydus pluto	|	synonym	|		|	
1186242	|	Lygaeus tibialis	|	synonym	|		|	
1186242	|	Alydus hirsutus	|	synonym	|		|	
1186242	|	Alydus atratus	|	synonym	|		|	
1186250	|	Alydus ater	|	synonym	|		|	
1186240	|	Coriscus	|	synonym	|		|	
1186268	|	Apidaurus triguttatus	|	synonym	|		|	
1186275	|	Alydus annulatus	|	synonym	|		|	
1186275	|	Alydus geranii	|	synonym	|		|	
1186275	|	Alydus marginalis	|	synonym	|		|	
1186275	|	Alydus marginatus	|	synonym	|		|	
1186275	|	Alydus occipes	|	synonym	|		|	
1186275	|	Alydus brevipes	|	synonym	|		|	
1186275	|	Alydus undulatus	|	synonym	|		|	
1186304	|	Euthetus sabulicola	|	synonym	|		|	
1186306	|	Euthetus leucopoecilus	|	synonym	|		|	
1186308	|	Euthetus laticornis	|	synonym	|		|	
1186308	|	Euthetus wellmani	|	synonym	|		|	
1186308	|	Euthetus wellmanni gracilicornis	|	synonym	|		|	
1186313	|	Euthetus schultzei	|	synonym	|		|	
1186328	|	Heegeria adspersa	|	synonym	|		|	
1186328	|	Tenosius ferrugineus	|	synonym	|		|	
1186328	|	Mirperus robustus	|	synonym	|		|	
1186328	|	Heegeria venosus	|	synonym	|		|	
1186328	|	Sjöstedtina sjöstedti	|	synonym	|		|	
1186327	|	Sjöstedtina	|	synonym	|		|	
1186336	|	Hypselopus annulicornis	|	synonym	|		|	
1186336	|	Hypselopus pallidiventris	|	synonym	|		|	
1186336	|	Hypselopus intermedius	|	synonym	|		|	
1186344	|	Hypselopus prolixus	|	synonym	|		|	
1186335	|	Meloza	|	synonym	|		|	
1186348	|	Alydus limbatus	|	synonym	|		|	
1186348	|	Alydus pavidus	|	synonym	|		|	
1186347	|	Magalotomus	|	synonym	|		|	
1186359	|	Eremoplanus	|	synonym	|		|	
1186359	|	Dolichocamptopus	|	synonym	|		|	
1186363	|	Alydus torridus	|	synonym	|		|	
1186365	|	Akbaratus	|	synonym	|		|	
1186377	|	Nemausus simplex	|	synonym	|		|	
1186377	|	Hypselopus tripunctatus	|	synonym	|		|	
1186382	|	Riptortus (Melanolamprus)	|	synonym	|		|	
1186384	|	Riptortus aegyptiacus vittatus	|	synonym	|		|	
1186386	|	Riptortus atricornis	|	synonym	|		|	
1186386	|	Riptortus linearis pallidicornis	|	synonym	|		|	
1186391	|	Cimex clavatus	|	synonym	|		|	
1186391	|	Lygaeus fuscus	|	synonym	|		|	
1186391	|	Cimex pedes	|	synonym	|		|	
1186391	|	Alydus ventralis	|	synonym	|		|	
1186391	|	Alydus major	|	synonym	|		|	
1186391	|	Camptopus annulatus	|	synonym	|		|	
1186391	|	Riptortus nipponensis	|	synonym	|		|	
1186399	|	Alydus obscuricornis	|	synonym	|		|	
1186399	|	Riptortus horvathi	|	synonym	|		|	
1186402	|	Camptopus sordidus	|	synonym	|		|	
1186402	|	Alydus robustus	|	synonym	|		|	
1186407	|	Alydus flavolinea	|	synonym	|		|	
1186411	|	Alydus tenuicornis	|	synonym	|		|	
1186425	|	Riptortus (Riptortus) masculus obscura	|	synonym	|		|	
1186434	|	Mirperus nigrofasciatus	|	synonym	|		|	
1186442	|	Trichocnemus	|	synonym	|		|	
1186444	|	Zulubius acaciaphagus	|	synonym	|		|	
1186446	|	Hypselopus linearis	|	synonym	|		|	
1186451	|	Alydus femoralis	|	synonym	|		|	
1186456	|	Alydus ichneumoniformis	|	synonym	|		|	
1186462	|	Hyalymenus ichneumoniformis	|	synonym	|		|	
1186468	|	Alydus atratus	|	synonym	|		|	
1186468	|	Alydus diversipes	|	synonym	|		|	
1186468	|	Alydus affinis	|	synonym	|		|	
1186468	|	Alydus obscurus	|	synonym	|		|	
1186468	|	Alydus recurvus	|	synonym	|		|	
1186468	|	Alydus pallens	|	synonym	|		|	
1186468	|	Camptopus pectoralis	|	synonym	|		|	
1186468	|	Galeottus formicarius	|	synonym	|		|	
1186484	|	Camptopus nigricornis	|	synonym	|		|	
1186464	|	Galeottus	|	synonym	|		|	
1186490	|	Stachyocnemus apicalis cinereus	|	synonym	|		|	
1186498	|	Alydus consobrinus	|	synonym	|		|	
1186498	|	Alydus vicinus	|	synonym	|		|	
1186498	|	Megalotomus jamaicensis	|	synonym	|		|	
1186511	|	Riptortus quadrimaculatus	|	synonym	|		|	
1186523	|	Leptocorixa	|	synonym	|		|	
1186523	|	Leptocoris	|	synonym	|		|	
1186523	|	Rhabdocoris	|	synonym	|		|	
1186527	|	Cimex angustatus	|	synonym	|		|	
1186527	|	Gerris varicornis	|	synonym	|		|	
1186527	|	Leptocorisa flavida	|	synonym	|		|	
1186527	|	Rhabdocoris arcuata	|	synonym	|		|	
1186527	|	Leptocorisa burmeisteri	|	synonym	|		|	
1186533	|	Leptocorisa nitidula	|	synonym	|		|	
1186533	|	Leptocorisa corbetti	|	synonym	|		|	
1186536	|	Leptocorisa bengalensis	|	synonym	|		|	
1186536	|	Leptocorisa trinotatus	|	synonym	|		|	
1186536	|	Leptocorisa maculiventris	|	synonym	|		|	
1186552	|	Leptocorisa geniculata	|	synonym	|		|	
1186555	|	Ranturra	|	synonym	|		|	
1186563	|	Leptocorisa crudelis	|	synonym	|		|	
1186561	|	Myodochus	|	synonym	|		|	
1186573	|	Leptocorixa (Stenocoris) blotei	|	synonym	|		|	
1186578	|	Leptocorisa linearis	|	synonym	|		|	
1186580	|	Gerris nigricornis	|	synonym	|		|	
1186585	|	Stenocoris (Erbula) distinguenda	|	synonym	|		|	
1186600	|	Babaranus	|	synonym	|		|	
1186600	|	Rhodoclia	|	synonym	|		|	
1186613	|	Actorus	|	synonym	|		|	
1186613	|	Micrelytrum	|	synonym	|		|	
1186616	|	Alydus apterus	|	synonym	|		|	
1186620	|	Distachys	|	synonym	|		|	
1186648	|	Myrmecalydus	|	synonym	|		|	
1186667	|	Rimadarmistus messor	|	synonym	|		|	
1186667	|	Rimadarmistus deprecator	|	synonym	|		|	
1186665	|	Rimadarmistus	|	synonym	|		|	
1186677	|	Tetrarhinus quebecensis	|	synonym	|		|	
1186674	|	Tetrarhinus	|	synonym	|		|	
1186699	|	Dulichius wroughtoni	|	synonym	|		|	
1186693	|	Formicoris	|	synonym	|		|	
1186722	|	Noliphus spinosus	|	synonym	|		|	
1186730	|	Paryphes tibialis	|	synonym	|		|	
1186729	|	Coristenia	|	synonym	|		|	
1186237	|	Alydides	|	synonym	|		|	
1186740	|	Hyocephalinae	|	synonym	|		|	
1186750	|	Coreides	|	synonym	|		|	
1186752	|	Pseudophloeida	|	synonym	|		|	
1186754	|	Clavigrallaria	|	synonym	|		|	
1186770	|	Clavigralla flavipennis	|	synonym	|		|	
1186774	|	Clavigralla muricata	|	synonym	|		|	
1186776	|	Clavigralla hystricoides	|	synonym	|		|	
1186781	|	Acanthomia mixta	|	synonym	|		|	
1186799	|	Acanthomia brevirostris	|	synonym	|		|	
1186805	|	Clavigralla tomenticollis	|	synonym	|		|	
1186756	|	Acanthomia	|	synonym	|		|	
1186756	|	Lancha	|	synonym	|		|	
1186817	|	Clavigralla tuberculata	|	synonym	|		|	
1186817	|	Clavigralla spinigera	|	synonym	|		|	
1186827	|	Clavigralla spinofemoralis	|	synonym	|		|	
1186841	|	Clavigralla similis	|	synonym	|		|	
1186752	|	Pseudophloeina	|	synonym	|		|	
1186752	|	Pseudophloeadae	|	synonym	|		|	
1186752	|	Pseudophloeidae	|	synonym	|		|	
1186752	|	Petsanocotinae	|	synonym	|		|	
1186850	|	Clavigralla acanthion	|	synonym	|		|	
1186850	|	Centrocoris westwoodii	|	synonym	|		|	
1186854	|	Vilga spinosula	|	synonym	|		|	
1186889	|	Neohoplolomia typica	|	synonym	|		|	
1186887	|	Neohoplolomia	|	synonym	|		|	
1186887	|	Psilocoris	|	synonym	|		|	
1186908	|	Clavigralla concolor	|	synonym	|		|	
1186913	|	Mevaniomorpha reuteri	|	synonym	|		|	
1186917	|	Mevanidea granulifera	|	synonym	|		|	
1186917	|	Mevaniella kilimana	|	synonym	|		|	
1186916	|	Mevaniella	|	synonym	|		|	
1186916	|	Mevania	|	synonym	|		|	
1186924	|	Bothrostethus rufulus	|	synonym	|		|	
