id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1186236	1186236	urn:lsid:Coreoidea.speciesfile.org:TaxonName:185743	1186236		Coreoidea	Leach. 1815. Entomology. The Edinburgh Encyclopaedia (Ed. Enc.) 9:57-172	superfamily	Leach, 1815	valid			2016-05-10T12:21:00
1186237	1186237	urn:lsid:Coreoidea.speciesfile.org:TaxonName:458742	1186237	1186236	Alydidae	Amyot & Serville. 1843. Histoire naturelle des insectes. Hémiptères, Roret, Paris i-lxxvi, 1-675, 1-6	family	Amyot & Serville, 1843	valid			2016-05-10T12:21:00
1186238	1186238	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459010	1186238	1186237	Alydinae	Amyot & Serville. 1843. Histoire naturelle des insectes. Hémiptères, Roret, Paris i-lxxvi, 1-675, 1-6	subfamily	Amyot & Serville, 1843	valid			2016-05-10T12:21:00
1186239	1186239	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459348	1186238	1186237	Alydini	Amyot & Serville. 1843. Histoire naturelle des insectes. Hémiptères, Roret, Paris i-lxxvi, 1-675, 1-6	tribe	Amyot & Serville, 1843	synonym			2016-05-10T12:21:00
1186240	1186240	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459317	1186240	1186238	Alydus	Fabricius. 1803. Systema Rhyngotorum secundum ordines, genera, speciesadjectis synonymis, locis, observationibus, descriptionibus. i-vi, 1-314 plus Emendanda and Index	genus	Fabricius, 1803	valid			2016-05-10T12:21:00
1186241	1186241	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459347	1186241	1186240	Alydus angulatus	Hsiao. 1965. New Coreids from China (Hemiptera, Heteroptera) IV. Acta Zoologica Sinica 17(4):421-434	species	Hsiao, 1965	valid			2016-05-10T12:21:00
1186242	1186242	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459341	1186242	1186240	Alydus calcaratus	Linnaeus. 1758. Systema naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. Editio decima, reformata, Salvii, Holmiae i-v, 1-824	species	(Linnaeus, 1758)	valid		The type series of <i>Cimex calcaratus</i> in LSUK London comprises two males and one female. One of the male specimens belongs to the species currently known as <i>Alydus calcaratus</i> but the other male and the female represent <i>Camptopus lateralis</i>. No LT has yet been designated. In 1758 the habitat was indicated as ‘in Europa’ but in 1761, Fauna Suecica, it was indicated as [Sweden], ‘ruri passim’.	2016-05-10T12:21:00
1186243	1186243	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459346	1186242	1186240	Alydus pluto	Uhler. 1872[1871]. Notices of the Hemiptera of the western territories of the United States, chiefly from the surveys of Dr F.V. Hayden. Hayden, F.V., Preliminary Report of the United States Geological Survey of Montana and portions of adjacent territories 5:392-423	species	Uhler, 1872	junior synonym			2016-05-10T12:21:00
1186244	1186244	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459345	1186242	1186240	Lygaeus tibialis	Fabricius. 1798. Classis XII: Ryngota. Supplementum Entomologiae Systematicae, Proft and Storch, Copenhagen 511-546	species	Fabricius, 1798	junior synonym			2016-05-10T12:21:00
1186245	1186245	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459344	1186242	1186240	Alydus hirsutus	Kolenati. 1845. Meletemata Entomologica II. Hemiptera Caucasi Tesseratomidae monographice dispositae, Academia Scientiarum, Petropoli 1-132	species	Kolenati, 1845	junior synonym			2016-05-10T12:21:00
1186246	1186246	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459343	1186242	1186240	Alydus atratus		species	Motschulsky, 1860	junior synonym			2016-05-10T12:21:00
1186247	1186247	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459340	1186247	1186240	Alydus rupestris	Fieber. 1861. Die europäischen Hemiptera. Halbflügler. (Rhynchota Heteroptera.), Gerold's Sohn, Wien 113-444	species	Fieber, 1861	valid			2016-05-10T12:21:00
1186248	1186248	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459339	1186248	1186240	Alydus zichyi	Horváth. 1901. In Hornyánsky & Hiersemann. Hemiptera. Zoologische Ergebnisse der dritten Asiatischen Forschungsreise des Grafen Eugen Zichy, Hornyánsky & Hiersemann, Budapest & Leipzig 2:245-274	species	Horváth, 1901	valid			2016-05-10T12:21:00
1186249	1186249	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459333	1186249	1186240	Alydus eurinus	Say. 1825. Descriptions of new hemipterous insects collected in the expedition to the Rocky Mountains, performed by order Mr. Calhoun, Secretary of War, under command of Major Long. Journal of the Academy of Natural Sciences of Philadelphia 4:307-345	species	(Say, 1825)	valid			2016-05-10T12:21:00
1186250	1186250	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459337	1186250	1186249	Alydus eurinus eurinus	Say. 1825. Descriptions of new hemipterous insects collected in the expedition to the Rocky Mountains, performed by order Mr. Calhoun, Secretary of War, under command of Major Long. Journal of the Academy of Natural Sciences of Philadelphia 4:307-345	subspecies	(Say, 1825)	valid			2016-05-10T12:21:00
1186251	1186251	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459338	1186250	1186249	Alydus ater	Dallas. 1852. List of the specimens of hemipterous insects in the collection of the British Museum, Taylor & Francis Incorporated, London II:369-592	subspecies	Dallas, 1852	junior synonym			2016-05-10T12:21:00
1186252	1186252	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459335	1186252	1186249	Alydus eurinus obesus	Fracker. 1918. The Alydinae of the United States. Annals of the Entomological Society of America (Ann.Ent.Soc.Amer.) 11(3):255-280, pls 24-25	subspecies	Fracker, 1918	valid			2016-05-10T12:21:00
1186253	1186253	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459332	1186253	1186240	Alydus pilosulus	Herrich-Schäffer. 1847. Die wanzenartigen Insecten, Nürnberg 8:101-130	species	Herrich-Schäffer, 1847	valid			2016-05-10T12:21:00
1186254	1186254	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459331	1186254	1186240	Alydus tomentosus	Fracker. 1918. The Alydinae of the United States. Annals of the Entomological Society of America (Ann.Ent.Soc.Amer.) 11(3):255-280, pls 24-25	species	Fracker, 1918	valid			2016-05-10T12:21:00
1186255	1186255	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452018	1186240	1186238	Coriscus	Schrank. 1796. Sammlung naturhistorischer und physikalischer Aufsatze, Raspe, Nürnberg i-xvi, 1-485, plates 1-7	genus	Schrank, 1796	synonym	oppressa	Suppressed under the plenary power for the purposes of the Principle of Priority but not for those of the Principle of Homonymy	2016-05-10T12:21:00
1186256	1186256	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452025	1186256	1186240	Alydus conspersus	Montandon. 1893. Notes on American Hemiptera Heteroptera. Proceedings of the United States National Museum 16(924):45-52	species	Montandon, 1893	valid			2016-05-10T12:21:00
1186257	1186257	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459330	1186257	1186256	Alydus conspersus conspersus	Montandon. 1893. Notes on American Hemiptera Heteroptera. Proceedings of the United States National Museum 16(924):45-52	subspecies	Montandon, 1893	valid			2016-05-10T12:21:00
1186258	1186258	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459328	1186258	1186256	Alydus conspersus infuscatus	Fracker. 1918. The Alydinae of the United States. Annals of the Entomological Society of America (Ann.Ent.Soc.Amer.) 11(3):255-280, pls 24-25	subspecies	Fracker, 1918	valid			2016-05-10T12:21:00
1186259	1186259	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459326	1186259	1186256	Alydus conspersus rufescens	Barber. 1911. Descriptions of some new Hemiptera-Heteroptera. Journal of the New York Entomological Society (J. New York Entom. Soc.) 19:23-31	subspecies	Barber, 1911	valid			2016-05-10T12:21:00
1186260	1186260	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459325	1186260	1186240	Alydus scutellatus	Van Duzee. 1903. Hemiptera of Beulah, New Mexico. Transactions of the American Entomological Society 29:107-116	species	Van Duzee, 1903	valid			2016-05-10T12:21:00
1186261	1186261	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459324	1186261	1186240	Alydus affinis	Billberg. 1820. Enumeratio Insectorum in Museo G.J. Billberg, Stockholm	species	Billberg, 1820	invalid	nudum		2016-05-10T12:21:00
1186262	1186262	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459323	1186262	1186240	Alydus aeneus	Stephens. 1829. A systematic catalogue of British insects, Baldwin and Cradock, London 2:1-388	species	Stephens, 1829	invalid	nudum		2016-05-10T12:21:00
1186263	1186263	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459322	1186263	1186240	Alydus niger		species	Motschulsky, 1860	invalid	nudum		2016-05-10T12:21:00
1186264	1186264	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459321	1186264	1186240	Alydus (Camptopus) lineola	Herrich-Schäffer. 1853. Die wanzenartigen Insecten, Nürnberg Band 9:Heft 8. pp 1-104; Heft 9. pp 105-210	species	Herrich-Schäffer, 1853	invalid	nudum		2016-05-10T12:21:00
1186265	1186265	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459319	1186265	1186240	Alydus punctipennis		species	Provancher, 1871	invalid	nudum		2016-05-10T12:21:00
1186266	1186266	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459318	1186266	1186240	Alydus sanguinolentus	Billberg. 1820. Enumeratio Insectorum in Museo G.J. Billberg, Stockholm	species	Billberg, 1820	invalid	nudum		2016-05-10T12:21:00
1186267	1186267	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459313	1186267	1186238	Apidaurus	Stål. 1870. Enumeratio Hemipterorum. Bidrag till en förteckning öfver alla hittills kända Hemiptera, jemte systematiska meddelanden. 1. Konglika Svenska Vetenskaps-Akademiens Handlingar (K. Svens. Vet.-Akad. Hand.) 9(1):1-232	genus	Stål, 1870	valid			2016-05-10T12:21:00
1186268	1186268	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459315	1186268	1186267	Apidaurus conspersus	Stål. 1870. Enumeratio Hemipterorum. Bidrag till en förteckning öfver alla hittills kända Hemiptera, jemte systematiska meddelanden. 1. Konglika Svenska Vetenskaps-Akademiens Handlingar (K. Svens. Vet.-Akad. Hand.) 9(1):1-232	species	Stål, 1870	valid			2016-05-10T12:21:00
1186269	1186269	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459316	1186268	1186267	Apidaurus triguttatus		species	Berg, 1894	junior synonym			2016-05-10T12:21:00
1186270	1186270	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459314	1186270	1186267	Apidaurus longitylus	Schaefer, C. W. & Schaffner. 2003. A revision of Apidaurus (Hemiptera: Alydidae: Alydinae). Annals of the Entomological Society of America (Ann.Ent.Soc.Amer.) 96(5):615-624	species	Schaefer & Schaffner, 2003	valid			2016-05-10T12:21:00
1186271	1186271	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459294	1186271	1186238	Camptopus	Amyot & Serville. 1843. Histoire naturelle des insectes. Hémiptères, Roret, Paris i-lxxvi, 1-675, 1-6	genus	Amyot & Serville, 1843	valid			2016-05-10T12:21:00
1186272	1186272	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459312	1186272	1186271	Camptopus bifasciatus	Fieber. 1864. Neuere Entdeckungen in europäischen Hemipteren (Fortsetzung)  . Wiener Entomologische Monatschrift 8:321-335	species	Fieber, 1864	valid			2016-05-10T12:21:00
1186273	1186273	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459311	1186273	1186271	Camptopus eberti	Seidenstücker. 1968. Camptopus eberti n. sp. eine neue Alydine aus Afghanistan (Heteroptera, Coreidae). Reichenbachia 10:227-232	species	Seidenstücker, 1968	valid			2016-05-10T12:21:00
1186274	1186274	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459310	1186274	1186271	Camptopus illustris	Horváth. 1899. Heteroptera nova Europae regionumque confinium in Musaeo Nationali Hungarico asservata  . Természetrajzi Füzetek 22:444-451	species	Horváth, 1899	valid			2016-05-10T12:21:00
1186275	1186275	urn:lsid:Coreoidea.speciesfile.org:TaxonName:459301	1186275	1186271	Camptopus lateralis	Germar. 1817. Reise nach Dalmatien und in das Gebiet von Ragusa, Brockhaus, Leipzig & Altenberg i-xii, 1-323, 11 plates	species	(Germar, 1817)	valid		Three syntypes in Lviv.	2016-05-10T12:21:00
