uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1186236	|		|	Coreoidea	|	superfamily	|		|	
1186237	|	1186236	|	Alydidae	|	family	|		|	
1186238	|	1186237	|	Alydinae	|	subfamily	|		|	
1186240	|	1186238	|	Alydus	|	genus	|		|	
1186241	|	1186240	|	Alydus angulatus	|	species	|		|	
1186242	|	1186240	|	Alydus calcaratus	|	species	|		|	
1186247	|	1186240	|	Alydus rupestris	|	species	|		|	
1186248	|	1186240	|	Alydus zichyi	|	species	|		|	
1186249	|	1186240	|	Alydus eurinus	|	species	|		|	
1186250	|	1186249	|	Alydus eurinus eurinus	|	subspecies	|		|	
1186252	|	1186249	|	Alydus eurinus obesus	|	subspecies	|		|	
1186253	|	1186240	|	Alydus pilosulus	|	species	|		|	
1186254	|	1186240	|	Alydus tomentosus	|	species	|		|	
1186256	|	1186240	|	Alydus conspersus	|	species	|		|	
1186257	|	1186256	|	Alydus conspersus conspersus	|	subspecies	|		|	
1186258	|	1186256	|	Alydus conspersus infuscatus	|	subspecies	|		|	
1186259	|	1186256	|	Alydus conspersus rufescens	|	subspecies	|		|	
1186260	|	1186240	|	Alydus scutellatus	|	species	|		|	
1186267	|	1186238	|	Apidaurus	|	genus	|		|	
1186268	|	1186267	|	Apidaurus conspersus	|	species	|		|	
1186270	|	1186267	|	Apidaurus longitylus	|	species	|		|	
1186271	|	1186238	|	Camptopus	|	genus	|		|	
1186272	|	1186271	|	Camptopus bifasciatus	|	species	|		|	
1186273	|	1186271	|	Camptopus eberti	|	species	|		|	
1186274	|	1186271	|	Camptopus illustris	|	species	|		|	
1186275	|	1186271	|	Camptopus lateralis	|	species	|		|	
1186283	|	1186271	|	Camptopus tragacanthae	|	species	|		|	
1186288	|	1186238	|	Hamedius	|	genus	|		|	
1186289	|	1186288	|	Hamedius incarnatus	|	species	|		|	
1186290	|	1186238	|	Melanacanthus	|	genus	|		|	
1186291	|	1186290	|	Melanacanthus funebris	|	species	|		|	
1186292	|	1186290	|	Melanacanthus margineguttatus	|	species	|		|	
1186293	|	1186290	|	Melanacanthus scutellaris	|	species	|		|	
1186294	|	1186290	|	Melanacanthus ferrugineus	|	species	|		|	
1186295	|	1186290	|	Melanacanthus marginatus	|	species	|		|	
1186296	|	1186238	|	Daclera	|	genus	|		|	
1186297	|	1186296	|	Daclera levana	|	species	|		|	
1186298	|	1186296	|	Daclera rufescens	|	species	|		|	
1186299	|	1186296	|	Daclera opaca	|	species	|		|	
1186300	|	1186296	|	Daclera punctata	|	species	|		|	
1186301	|	1186238	|	Euthetus	|	genus	|		|	
1186302	|	1186301	|	Euthetus pulchellus	|	species	|		|	
1186303	|	1186301	|	Euthetus granti	|	species	|		|	
1186304	|	1186301	|	Euthetus humilis	|	species	|		|	
1186306	|	1186301	|	Euthetus leucostictus	|	species	|		|	
1186308	|	1186301	|	Euthetus limbatus	|	species	|		|	
1186312	|	1186301	|	Euthetus ornatipennis	|	species	|		|	
1186313	|	1186301	|	Euthetus pallescens	|	species	|		|	
1186317	|	1186301	|	Euthetus atomarius	|	species	|		|	
1186318	|	1186301	|	Euthetus fulvescens	|	species	|		|	
1186319	|	1186301	|	Euthetus insularis	|	species	|		|	
1186320	|	1186301	|	Euthetus khandalana	|	species	|		|	
1186321	|	1186301	|	Euthetus madagascariensis	|	species	|		|	
1186322	|	1186301	|	Euthetus nigrellus	|	species	|		|	
1186323	|	1186301	|	Euthetus pulcherrimus	|	species	|		|	
1186324	|	1186301	|	Euthetus singalensis	|	species	|		|	
1186325	|	1186301	|	Euthetus sordidus	|	species	|		|	
1186326	|	1186301	|	Euthetus stigmosus	|	species	|		|	
1186327	|	1186238	|	Heegeria	|	genus	|		|	
1186328	|	1186327	|	Heegeria tangirica	|	species	|		|	
1186335	|	1186238	|	Hypselopus	|	genus	|		|	
1186336	|	1186335	|	Hypselopus gigas	|	species	|		|	
1186340	|	1186335	|	Hypselopus mimicus	|	species	|		|	
1186341	|	1186335	|	Hypselopus populasi	|	species	|		|	
1186342	|	1186335	|	Hypselopus pronotalis	|	species	|		|	
1186343	|	1186335	|	Hypselopus shadabi	|	species	|		|	
1186344	|	1186335	|	Hypselopus villosipes	|	species	|		|	
1186347	|	1186238	|	Megalotomus	|	genus	|		|	
1186348	|	1186347	|	Megalotomus junceus	|	species	|		|	
1186351	|	1186347	|	Megalotomus acutulus	|	species	|		|	
1186352	|	1186347	|	Megalotomus castaneus	|	species	|		|	
1186353	|	1186347	|	Megalotomus costalis	|	species	|		|	
1186354	|	1186347	|	Megalotomus obtusus	|	species	|		|	
1186355	|	1186347	|	Megalotomus ornaticeps	|	species	|		|	
1186356	|	1186347	|	Megalotomus zaitzevi	|	species	|		|	
1186357	|	1186347	|	Megalotomus quinquespinosus	|	species	|		|	
1186359	|	1186238	|	Mirperus	|	genus	|		|	
1186362	|	1186359	|	Mirperus demetrii	|	species	|		|	
1186363	|	1186359	|	Mirperus jaculus	|	species	|		|	
1186365	|	1186238	|	Nariscus	|	genus	|		|	
1186367	|	1186365	|	Nariscus cinctiventris	|	species	|		|	
1186368	|	1186365	|	Nariscus conspurcatus	|	species	|		|	
1186369	|	1186365	|	Nariscus fisheri	|	species	|		|	
1186370	|	1186365	|	Nariscus longirostris	|	species	|		|	
1186371	|	1186365	|	Nariscus spinosus	|	species	|		|	
1186376	|	1186238	|	Nemausus	|	genus	|		|	
1186377	|	1186376	|	Nemausus sordidatus	|	species	|		|	
1186380	|	1186376	|	Nemausus inornatus	|	species	|		|	
1186381	|	1186376	|	Nemausus lattini	|	species	|		|	
1186382	|	1186238	|	Riptortus	|	genus	|		|	
1186384	|	1186382	|	Riptortus aegyptiacus	|	species	|		|	
1186386	|	1186382	|	Riptortus linearis	|	species	|		|	
1186389	|	1186382	|	Riptortus oxianus	|	species	|		|	
1186390	|	1186382	|	Riptortus parvus	|	species	|		|	
1186391	|	1186382	|	Riptortus pedestris	|	species	|		|	
1186399	|	1186382	|	Riptortus abdominalis	|	species	|		|	
1186402	|	1186382	|	Riptortus serripes	|	species	|		|	
1186407	|	1186382	|	Riptortus acantharis	|	species	|		|	
1186409	|	1186382	|	Riptortus annulicornis	|	species	|		|	
1186410	|	1186382	|	Riptortus decisus	|	species	|		|	
1186411	|	1186382	|	Riptortus dentipes	|	species	|		|	
1186413	|	1186382	|	Riptortus distinguendus	|	species	|		|	
1186414	|	1186413	|	Riptortus distinguendus distinguendus	|	subspecies	|		|	
1186415	|	1186413	|	Riptortus distinguendus basalis	|	subspecies	|		|	
1186416	|	1186382	|	Riptortus eugeniae	|	species	|		|	
1186417	|	1186382	|	Riptortus fabricii	|	species	|		|	
1186418	|	1186382	|	Riptortus flavovittatus	|	species	|		|	
1186419	|	1186382	|	Riptortus fuliginosus	|	species	|		|	
1186420	|	1186382	|	Riptortus imperialis	|	species	|		|	
1186421	|	1186382	|	Riptortus insularis	|	species	|		|	
1186423	|	1186382	|	Riptortus longipes	|	species	|		|	
1186424	|	1186382	|	Riptortus macleani	|	species	|		|	
1186425	|	1186382	|	Riptortus masculus	|	species	|		|	
1186427	|	1186382	|	Riptortus pilosus	|	species	|		|	
1186428	|	1186382	|	Riptortus rubronotatus	|	species	|		|	
1186429	|	1186382	|	Riptortus ryukyuensis	|	species	|		|	
1186430	|	1186382	|	Riptortus saileri	|	species	|		|	
1186431	|	1186382	|	Riptortus stalii	|	species	|		|	
1186432	|	1186382	|	Riptortus strenuus	|	species	|		|	
1186433	|	1186238	|	Tenosius	|	genus	|		|	
1186434	|	1186433	|	Tenosius proletarius	|	species	|		|	
1186440	|	1186433	|	Tenosius capicola	|	species	|		|	
1186441	|	1186433	|	Tenosius deserti	|	species	|		|	
1186442	|	1186238	|	Zulubius	|	genus	|		|	
1186444	|	1186442	|	Zulubius longulus	|	species	|		|	
1186446	|	1186442	|	Zulubius maculatus	|	species	|		|	
1186449	|	1186442	|	Zulubius lindbergi	|	species	|		|	
1186450	|	1186238	|	Burtinus	|	genus	|		|	
1186451	|	1186450	|	Burtinus notatipennis	|	species	|		|	
1186453	|	1186450	|	Burtinus luteomarginatus	|	species	|		|	
1186454	|	1186238	|	Hyalymenus	|	genus	|		|	
1186455	|	1186454	|	Hyalymenus (Hyalymenus)	|	subgenus	|		|	
1186456	|	1186455	|	Hyalymenus (Hyalymenus) dentatus	|	species	|		|	
1186458	|	1186455	|	Hyalymenus (Hyalymenus) dubius	|	species	|		|	
1186459	|	1186455	|	Hyalymenus (Hyalymenus) gracilispinus	|	species	|		|	
1186460	|	1186455	|	Hyalymenus (Hyalymenus) melanocephalus	|	species	|		|	
1186461	|	1186455	|	Hyalymenus (Hyalymenus) vespiformis	|	species	|		|	
1186462	|	1186455	|	Hyalymenus (Hyalymenus) walkeri	|	species	|		|	
1186464	|	1186454	|	Hyalymenus (Tivarbus)	|	subgenus	|		|	
1186465	|	1186464	|	Hyalymenus (Tivarbus) dissimilis	|	species	|		|	
1186466	|	1186464	|	Hyalymenus (Tivarbus) pulcher	|	species	|		|	
1186467	|	1186464	|	Hyalymenus (Tivarbus) subinermis	|	species	|		|	
1186468	|	1186464	|	Hyalymenus (Tivarbus) tarsatus	|	species	|		|	
1186477	|	1186464	|	Hyalymenus (Tivarbus) longispinus	|	species	|		|	
1186478	|	1186464	|	Hyalymenus (Tivarbus) notus	|	species	|		|	
1186479	|	1186464	|	Hyalymenus (Tivarbus) potens	|	species	|		|	
1186480	|	1186464	|	Hyalymenus (Tivarbus) aterrimus	|	species	|		|	
1186481	|	1186464	|	Hyalymenus (Tivarbus) calcarator	|	species	|		|	
1186482	|	1186464	|	Hyalymenus (Tivarbus) limbativentris	|	species	|		|	
1186483	|	1186464	|	Hyalymenus (Tivarbus) pholcopus	|	species	|		|	
1186484	|	1186464	|	Hyalymenus (Tivarbus) puncticeps	|	species	|		|	
1186486	|	1186464	|	Hyalymenus (Tivarbus) sinuatus	|	species	|		|	
1186487	|	1186464	|	Hyalymenus (Tivarbus) tenuitibiis	|	species	|		|	
1186489	|	1186238	|	Stachyocnemus	|	genus	|		|	
1186490	|	1186489	|	Stachyocnemus apicalis	|	species	|		|	
1186492	|	1186238	|	Tollius	|	genus	|		|	
1186493	|	1186492	|	Tollius curtulus	|	species	|		|	
1186494	|	1186492	|	Tollius quadratus	|	species	|		|	
1186495	|	1186492	|	Tollius setosus	|	species	|		|	
1186496	|	1186492	|	Tollius vanduzeei	|	species	|		|	
1186497	|	1186238	|	Neomegalotomus	|	genus	|		|	
1186498	|	1186497	|	Neomegalotomus rufipes	|	species	|		|	
1186502	|	1186497	|	Neomegalotomus parvus	|	species	|		|	
1186503	|	1186238	|	Oxycranum	|	genus	|		|	
1186504	|	1186503	|	Oxycranum praeacutum	|	species	|		|	
1186505	|	1186238	|	Tupalus	|	genus	|		|	
1186506	|	1186505	|	Tupalus (Tupalus)	|	subgenus	|		|	
1186507	|	1186506	|	Tupalus (Tupalus) arcuatus	|	species	|		|	
1186508	|	1186506	|	Tupalus (Tupalus) fasciatus	|	species	|		|	
1186509	|	1186506	|	Tupalus (Tupalus) maculipes	|	species	|		|	
1186510	|	1186505	|	Tupalus (Neotupalus)	|	subgenus	|		|	
1186511	|	1186510	|	Tupalus (Neotupalus) maculatus	|	species	|		|	
1186513	|	1186238	|	Robustocephalus	|	genus	|		|	
1186514	|	1186513	|	Robustocephalus pakistanensis	|	species	|		|	
1186515	|	1186237	|	Micrelytrinae	|	subfamily	|		|	
1186516	|	1186515	|	Leptocorisini	|	tribe	|		|	
1186517	|	1186516	|	Bloeteocoris	|	genus	|		|	
1186518	|	1186517	|	Bloeteocoris minutus	|	species	|		|	
1186519	|	1186517	|	Bloeteocoris meridianus	|	species	|		|	
