id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1186515	typeGenus	Stål. 1868[1867]. Bidrag till Hemipterernas systematik. Öfversigt af Konglika Vetenskaps-Akademiens Förhandlingar (Öfvers.K.VetenskAkad.Förh.Stockh) 24(7):491-560	Micrelytrinae Stål, 1868								
1186719	typeGenus	Ahmad. 1965. The Leptocorisinae (Heteroptera: Alydidae) of the world. Bulletin of the British Museum (Natural History) Entomology Supplement 5:1-156	Noliphini Ahmad, 1965								
1186739	typeGenus	Amyot & Serville. 1843. Histoire naturelle des insectes. Hémiptères, Roret, Paris i-lxxvi, 1-675, 1-6	Alydides Amyot & Serville, 1843								
1186746	typeGenus	Bergroth. 1906. Aphylinae und Hyocephalinae, zwei neue Hemipteran-Subfamilien. Zoologischer Anzeiger (Zool.Anz.) 29:644-649	Hyocephalinae Bergroth, 1906								
1186747	typeGenus	Zhang, J.F., Sun & X.Y. Zhang. 1994. Miocene Insects and Spiders from Shanwang, Shandong, Science Press, Beijing 1-298	†Trisegmentatidae Zhang, Sun & Zhang, 1994								
1186751	typeGenus	Leach. 1815. Entomology. The Edinburgh Encyclopaedia (Ed. Enc.) 9:57-172	Coreides Leach, 1815								
1186753	typeGenus	Stål. 1868[1867]. Bidrag till Hemipterernas systematik. Öfversigt af Konglika Vetenskaps-Akademiens Förhandlingar (Öfvers.K.VetenskAkad.Förh.Stockh) 24(7):491-560	Pseudophloeida Stål, 1868								
1186755	typeGenus	Stål. 1873. Enumeratio Hemipterorum. Bidrag till en förteckning öfver alla hittills kända Hemiptera, jemte systematiska meddelanden. 3. Konglika Svenska Vetenskaps-Akademiens Handlingar (K. Svens. Vet.-Akad. Hand.) 11(2):1-163	Clavigrallaria Stål, 1873								
1187068	typeGenus	Bergroth. 1913. Supplementum Catalogi Hemipterorum Bruxellensis. II. Coreidae, Pyrrhocoridae, Colobathristidae, Neididae. Mémoires de la Société Entomologique de Belgique 22:125-183	Arenocorinae Bergroth, 1913								
1187112	typeGenus	Stål. 1873. Enumeratio Hemipterorum. Bidrag till en förteckning öfver alla hittills kända Hemiptera, jemte systematiska meddelanden. 3. Konglika Svenska Vetenskaps-Akademiens Handlingar (K. Svens. Vet.-Akad. Hand.) 11(2):1-163	Hydararia Stål, 1873								
1187240	typeGenus		Spartocérides								
1187250	typeGenus	Bergroth. 1913. Supplementum Catalogi Hemipterorum Bruxellensis. II. Coreidae, Pyrrhocoridae, Colobathristidae, Neididae. Mémoires de la Société Entomologique de Belgique 22:125-183	Menenotaria Bergroth, 1913								
1187251	typeGenus	Van Duzee. 1916. Check list of the Hemiptera of America North of Mexico excepting the Aphididae, Coccidae and Aleurodidae. University of California Publications in Entomology. Technical Bulletin 11:xiv 1–902	Corecorini Van Duzee, 1916								
1187316	typeGenus	Stål. 1868[1867]. Bidrag till Hemipterernas systematik. Öfversigt af Konglika Vetenskaps-Akademiens Förhandlingar (Öfvers.K.VetenskAkad.Förh.Stockh) 24(7):491-560	Discogastrina Stål, 1868								
1187321	typeGenus	Brailovsky. 1988. Hemiptera-Heteroptera de Mexico XXXIX. Descripcion de una tribu nueva, un genero nuevo y una especie nueva de Coreidos recolectados en bambu (Bambusa sp.) (Coreidae-Coreinae). Anales del Instituto de Biología, Universidad Nacional Autónoma de México, Serie Zoología (An. Inst. Biol. Univ. Nac. Auton. Mex. Ser. Zool.) 58(1):155-164	Barreratalpini Brailovsky, 1988								
1187368	typeGenus	Amyot & Serville. 1843. Histoire naturelle des insectes. Hémiptères, Roret, Paris i-lxxvi, 1-675, 1-6	Acanthocorides Amyot & Serville, 1843								
1187370	typeGenus	Stål. 1873. Enumeratio Hemipterorum. Bidrag till en förteckning öfver alla hittills kända Hemiptera, jemte systematiska meddelanden. 3. Konglika Svenska Vetenskaps-Akademiens Handlingar (K. Svens. Vet.-Akad. Hand.) 11(2):1-163	Physomeraria Stål, 1873								
1187447	typeGenus	Hsiao. 1964. A short essay on Chinese Coreidae (Hemiptera, Heteroptera) II. Coreinae. Acta Scientiarum Naturalium Universitatis Nankaiensis 5(1):19-35	Anhomoeini Hsiao, 1964								
1187618	typeGenus	Stål. 1868[1867]. Bidrag till Hemipterernas systematik. Öfversigt af Konglika Vetenskaps-Akademiens Förhandlingar (Öfvers.K.VetenskAkad.Förh.Stockh) 24(7):491-560	Leptoscelidida Stål, 1868								
1187619	typeGenus		Anisoscélites								
1187800	typeGenus	Stål. 1868[1867]. Bidrag till Hemipterernas systematik. Öfversigt af Konglika Vetenskaps-Akademiens Förhandlingar (Öfvers.K.VetenskAkad.Förh.Stockh) 24(7):491-560	Chariesterida Stål, 1868								
1187821	typeGenus	Stål. 1873. Enumeratio Hemipterorum. Bidrag till en förteckning öfver alla hittills kända Hemiptera, jemte systematiska meddelanden. 3. Konglika Svenska Vetenskaps-Akademiens Handlingar (K. Svens. Vet.-Akad. Hand.) 11(2):1-163	Cloresmaria Stål, 1873								
1187865	typeGenus	Bergroth. 1913. Supplementum Catalogi Hemipterorum Bruxellensis. II. Coreidae, Pyrrhocoridae, Colobathristidae, Neididae. Mémoires de la Société Entomologique de Belgique 22:125-183	Notobitaria Bergroth, 1913								
