id	bibliographicCitation	title	creator	date	source	type
1179314	Steinmann. 1989. Dermaptera: Catadermaptera II. Das Tierreich 105:505 pp	Dermaptera: Catadermaptera II	Steinmann	1989	Das Tierreich	publication
1179315	Dumeril. 1806. Zoologie analytique, ou methode naturelle de classification des animaux, rendue plus facile a l'aide de tableaux synoptiques., Allais, Paris 344 pp	Zoologie analytique, ou methode naturelle de classification des animaux, rendue plus facile a l'aide de tableaux synoptiques.	Dumeril	1806	Zoologie analytique, ou methode naturelle de classification des animaux, rendue plus facile a l'aide de tableaux synoptiques., Allais, Paris	publication
1179315	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
1179316	Billberg. 1820. Enumeratio insectorum in museo Gust. Joh. Billberg. Stockholm, Stockholm 138 pp	Enumeratio insectorum in museo Gust. Joh. Billberg. Stockholm	Billberg	1820	Enumeratio insectorum in museo Gust. Joh. Billberg. Stockholm, Stockholm	publication
1179316	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
1179317	Zetterstedt. 1821. Orthoptera Sveciae: disposita et descripta. Lundae (Lund): Litteris Berlingianis 132 pp	Orthoptera Sveciae: disposita et descripta. Lundae (Lund): Litteris Berlingianis	Zetterstedt	1821	Orthoptera Sveciae: disposita et descripta. Lundae (Lund): Litteris Berlingianis	publication
1179317	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
1179318	Westwood. 1831. Observations upon the eighteenth number of the Zoological Journal. Zool. Jour. (Zoological Journal) 5:326-329	Observations upon the eighteenth number of the Zoological Journal	Westwood	1831	Zool. Jour. (Zoological Journal)	publication
1179318	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
1179319	Burmeister. 1838. Handbuch der Entomologie, Reimer, Berlin 2 2(1)	Handbuch der Entomologie	Burmeister	1838	Handbuch der Entomologie, Reimer, Berlin	publication
1179319	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
1179320	Westwood. 1839. An introduction to the modern classification of Insects; founded on the natural habits and corresponding organisation of the different families 1:462	An introduction to the modern classification of Insects; founded on the natural habits and corresponding organisation of the different families	Westwood	1839		publication
1179320	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
1179321	Agassiz. 1848. Nomenclatoris zoologici index universalis: continens nomina systematica classium, omnium, famiiarum et generum animalium omnium, tam viventium quam fossilium: Secundum ordinem alphabeticum unicum disposita, adjetis homonymiis plantarum. Soloduri: Sumtibus et Typis Jent et Gassman	Nomenclatoris zoologici index universalis: continens nomina systematica classium, omnium, famiiarum et generum animalium omnium, tam viventium quam fossilium: Secundum ordinem alphabeticum unicum disposita, adjetis homonymiis plantarum. Soloduri: Sumtibus et Typis Jent et Gassman	Agassiz	1848		publication
1179321	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
1179322	Fieber. 1852. In Kelch [Ed.]. Grundlage zur Kenntnis der Orthopteren (Gradflugerler) Oberschlesienss, und Grundlage zur Kenntnis der Kafer Oberschlesiens [Erster Nachtrag]. Orthoptera Oliv. (et omn. Auct.) Oberschlesiens.	Orthoptera Oliv. (et omn. Auct.) Oberschlesiens.	Fieber	1852		publication
1179322	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
1179323	Fischer. 1853. Orthoptera Europaea 454 pp	Orthoptera Europaea	Fischer	1853		publication
1179323	Engel & Haas. 2007. Family-Group names for Earwigs (Dermaptera). American Museum Novitates (Am. Mus. Novitates) 3567:13	Family-Group names for Earwigs (Dermaptera)	Engel & Haas	2007	American Museum Novitates (Am. Mus. Novitates)	publication
