uid	|	name	|	type	|	rank	|	
1179458	|	Mesodermaptera	|	synonym	|		|	
1182202	|	Labidoura	|	synonym	|		|	
1182202	|	Placoda	|	synonym	|		|	
1182202	|	Trimera	|	synonym	|		|	
1182202	|	Euplekoptera	|	synonym	|		|	
1182202	|	Dermatoptera	|	synonym	|		|	
1182202	|	Euplexoptera	|	synonym	|		|	
1182202	|	Dermoptera	|	synonym	|		|	
1182202	|	Harmoptera	|	synonym	|		|	
1182202	|	Euplectoptera	|	synonym	|		|	
1182202	|	Brachydermaptera	|	synonym	|		|	
1182202	|	Dermapteroida	|	synonym	|		|	
1179760	|	Labidura distincta	|	synonym	|		|	
1181268	|	Gonolabis calas	|	synonym	|		|	
1180803	|	Diplatys hainanensis	|	synonym	|		|	
1180117	|	Forficula hispanica	|	synonym	|		|	
1181444	|	Forcipula jacobsoni	|	synonym	|		|	
1179760	|	Apterygida huseinae	|	synonym	|		|	
1181439	|	Pygidicrana finschi	|	synonym	|		|	
1179339	|	Forficula baetica	|	synonym	|		|	
1179986	|	Forficula brevis	|	synonym	|		|	
1179760	|	Forficula amurensis	|	synonym	|		|	
1180137	|	Anisolabis (Euborellia) flavipes	|	synonym	|		|	
1181242	|	Forficula bequarti	|	synonym	|		|	
1182148	|	Labidura advena	|	synonym	|		|	
1179760	|	Forficula bilineata	|	synonym	|		|	
1179592	|	Forfidula	|	synonym	|		|	
1179591	|	Forficula auricularia silanoides	|	synonym	|		|	
1179902	|	Chelidura anthracina	|	synonym	|		|	
1179760	|	Forficula marginella	|	synonym	|		|	
1182115	|	Forficula freyi	|	synonym	|		|	
1179910	|	Chaetospania escalerae	|	synonym	|		|	
1180823	|	Spongovostox luteus	|	synonym	|		|	
1179892	|	Chelisoches tigris	|	synonym	|		|	
1179416	|	Sphingolabis furcifer	|	synonym	|		|	
1179418	|	Forficula major	|	synonym	|		|	
1179847	|	Allostethus nainitalensis	|	synonym	|		|	
1179847	|	Allostethus jeolikotensis	|	synonym	|		|	
1181482	|	Forficula barroisi	|	synonym	|		|	
1181475	|	Kosmetor punctata	|	synonym	|		|	
1179454	|	Catadermaptera	|	synonym	|		|	
1182241	|	Kinellinae	|	synonym	|		|	
1179462	|	Turanodermidae	|	synonym	|		|	
1179770	|	Pydicrana	|	synonym	|		|	
1179547	|	Forficesila elegans	|	synonym	|		|	
1182087	|	Forficula natalensis	|	synonym	|		|	
1179482	|	Forficula 4-maculata	|	synonym	|		|	
1179961	|	Forficula speculigera	|	synonym	|		|	
1182048	|	Forficula ochropus	|	synonym	|		|	
1179936	|	Psalidophora insignis	|	synonym	|		|	
1179847	|	Forficula geniculata	|	synonym	|		|	
1182198	|	Challinae	|	synonym	|		|	
1179721	|	Apachyus australiae	|	synonym	|		|	
1179763	|	Forficula parallela	|	synonym	|		|	
1179547	|	Chelidura robusta	|	synonym	|		|	
1179760	|	Labidura auditor	|	synonym	|		|	
1182087	|	Forficula variana	|	synonym	|		|	
1179843	|	Forficula vellicans	|	synonym	|		|	
1179514	|	Forficula hirsuta	|	synonym	|		|	
1179892	|	Chelisoches comprimens	|	synonym	|		|	
1181417	|	Forficula exilis	|	synonym	|		|	
1179763	|	Spongophora forfex	|	synonym	|		|	
1182041	|	Labia melancholica	|	synonym	|		|	
1181950	|	Labia guttata	|	synonym	|		|	
1181950	|	Labia burgessi	|	synonym	|		|	
1179759	|	Anisolabis bormansi	|	synonym	|		|	
1182139	|	Timomenus flavoguttatus	|	synonym	|		|	
1181232	|	Rhyacolabis	|	synonym	|		|	
1179807	|	Rhyacolabis anachoreta	|	synonym	|		|	
1179798	|	Sparatta atropos	|	synonym	|		|	
1179904	|	Forficula bimaculata	|	synonym	|		|	
1182010	|	Apterygida buscki	|	synonym	|		|	
1179565	|	Nannisolabis punctulata rufa	|	synonym	|		|	
1181459	|	Labia menozzii	|	synonym	|		|	
1218461	|	Euborellia maxima	|	synonym	|		|	
1179733	|	Sparatta xanthothorax	|	synonym	|		|	
1179545	|	Labia castanea	|	synonym	|		|	
1179589	|	Forficulariae	|	synonym	|		|	
1179986	|	Forficula laminigera	|	synonym	|		|	
1179774	|	Forficula (Apterygia)	|	synonym	|		|	
1179592	|	Emiforficula	|	synonym	|		|	
1181734	|	Forficula modesta	|	synonym	|		|	
1182011	|	Apolabis mnemrosyne	|	synonym	|		|	
1179798	|	Prosparatta sinaloae	|	synonym	|		|	
1181621	|	Parasparatta panamae	|	synonym	|		|	
1181443	|	Euborellia kumaoensis	|	synonym	|		|	
1181443	|	Euborellia askotensis	|	synonym	|		|	
1179547	|	Forficula distincta	|	synonym	|		|	
1179887	|	Labidurodes egregius	|	synonym	|		|	
1179883	|	Chaetospania borneensis testacea	|	synonym	|		|	
1180316	|	Microvostox septentrionalis	|	synonym	|		|	
1181173	|	Labia trigrina	|	synonym	|		|	
1181443	|	Anisolabis minuta	|	synonym	|		|	
1179986	|	Forficula pallidicornis	|	synonym	|		|	
1179846	|	Labia trinitatis	|	synonym	|		|	
1179936	|	Labia insularis	|	synonym	|		|	
1181794	|	Archidux	|	synonym	|		|	
1179867	|	Forficula ignota	|	synonym	|		|	
1179964	|	Prolabia mexicana longipennis	|	synonym	|		|	
1180238	|	Spongovostox eichelbaumi	|	synonym	|		|	
1180238	|	Spongovostox eichelbaumi longipennis	|	synonym	|		|	
1182047	|	Spongiphora ochracea	|	synonym	|		|	
1180430	|	Platylabia camerunensis	|	synonym	|		|	
1179760	|	Labidura dubronyi	|	synonym	|		|	
1179760	|	Labidura karschi	|	synonym	|		|	
1179910	|	Sparatta bongiana	|	synonym	|		|	
1180752	|	Chelisoches limbatus	|	synonym	|		|	
1180441	|	Vara	|	synonym	|		|	
1180429	|	Labia minor	|	synonym	|		|	
1179760	|	Labidura morbida	|	synonym	|		|	
1181634	|	Psalis	|	synonym	|		|	
1181424	|	Diplatys (Dyscritina)	|	synonym	|		|	
1181423	|	Diplatys (Nannopygia) longisetosa	|	synonym	|		|	
1180831	|	Allodahlia coriacea signata	|	synonym	|		|	
1180802	|	Eutimomena paradoxa	|	synonym	|		|	
1179547	|	Carcinophora fusca	|	synonym	|		|	
1179807	|	Neolobophora bogotensis	|	synonym	|		|	
1179970	|	Opisthocosmia roccattii	|	synonym	|		|	
