id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1179314	1179314	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180461	1179458	1179454	Mesodermaptera		infraorder		junior synonym		for families Labiduridae and Carcinophoridae	2015-12-02T11:37:00
1179315	1179315	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180566	1182202		Labidoura		order		junior synonym			2015-12-02T11:37:00
1179316	1179316	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180565	1182202		Placoda		order		junior synonym			2015-12-02T11:37:00
1179317	1179317	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180564	1182202		Trimera		order		junior synonym			2015-12-02T11:37:00
1179318	1179318	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180563	1182202		Euplekoptera		order		junior synonym			2015-12-02T11:37:00
1179319	1179319	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180562	1182202		Dermatoptera		order		junior synonym			2015-12-02T11:37:00
1179320	1179320	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180561	1182202		Euplexoptera		order		junior synonym			2015-12-02T11:37:00
1179321	1179321	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180083	1182202		Dermoptera		order		junior synonym			2015-12-02T11:37:00
1179322	1179322	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180560	1182202		Harmoptera		order		junior synonym			2015-12-02T11:37:00
1179323	1179323	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180559	1182202		Euplectoptera		order		junior synonym			2015-12-02T11:37:00
1179324	1179324	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180558	1182202		Brachydermaptera		order		junior synonym			2015-12-02T11:37:00
1179325	1179325	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180071	1182202		Dermapteroida		order		junior synonym			2015-12-02T11:37:00
1179327	1179327	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182878	1179327	1180031	Chaetolabia spicata	Brindle. 1972. Insects of Micronesia. Dermaptera. Insects Micronesia 5(2):97-171	species	Brindle, 1972	valid			2016-07-29T11:05:00
1179328	1179328	urn:lsid:Dermaptera.speciesfile.org:TaxonName:184592	1179328	1181590	Chaetospania nigritula	Brindle. 1972. Insects of Micronesia. Dermaptera. Insects Micronesia 5(2):97-171	species	Brindle, 1972	valid			2016-07-29T11:05:00
1179329	1179329	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182702	1179329	1179978	Anisolabis minutissima	Brindle. 1972. Insects of Micronesia. Dermaptera. Insects Micronesia 5(2):97-171	species	Brindle, 1972	valid			2015-12-02T11:37:00
1179330	1179330	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182767	1179330	1180067	Diplatys (Neodiplatys) annandalei	Burr. 1911. A revision of the Genus Diplatys, Serv. (Dermaptera). Transactions of the Royal Entomological Society of London (Trans. R. Entomol. Soc. Lond. ) 59:21-47	species	Burr, 1911	valid			2016-04-05T09:37:00
1179331	1179331	urn:lsid:Dermaptera.speciesfile.org:TaxonName:183427	1179331	1180066	Diplatys (Syndiplatys) griffithsi	Burr. 1911. A revision of the Genus Diplatys, Serv. (Dermaptera). Transactions of the Royal Entomological Society of London (Trans. R. Entomol. Soc. Lond. ) 59:21-47	species	Burr, 1911	valid			2015-12-02T11:37:00
1179332	1179332	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182516	1179332	1180066	Diplatys (Syndiplatys) jacobsoni	Burr. 1911. A revision of the Genus Diplatys, Serv. (Dermaptera). Transactions of the Royal Entomological Society of London (Trans. R. Entomol. Soc. Lond. ) 59:21-47	species	Burr, 1911	valid			2015-12-02T11:37:00
1179333	1179333	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182951	1179333	1179772	Diplatys (Diplatys) dohrni	Burr. 1911. A revision of the Genus Diplatys, Serv. (Dermaptera). Transactions of the Royal Entomological Society of London (Trans. R. Entomol. Soc. Lond. ) 59:21-47	species	Burr, 1911	valid			2015-12-02T11:37:00
1179334	1179334	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182953	1179334	1179772	Diplatys (Diplatys) fella	Burr. 1911. A revision of the Genus Diplatys, Serv. (Dermaptera). Transactions of the Royal Entomological Society of London (Trans. R. Entomol. Soc. Lond. ) 59:21-47	species	Burr, 1911	valid			2015-12-02T11:37:00
1179335	1179335	urn:lsid:Dermaptera.speciesfile.org:TaxonName:181127	1179335	1179949	Echinosoma bolivari	Rodzianko. 1897. Forficulidarum species novas. Wiener entomologische Zeitung 16:153-154	species	Rodzianko, 1897	valid			2015-12-02T11:37:00
1179336	1179336	urn:lsid:Dermaptera.speciesfile.org:TaxonName:184002	1179760	1179928	Labidura distincta	Rodzianko. 1897. Forficulidarum species novas. Wiener entomologische Zeitung 16:153-154	species	Rodzianko, 1897	junior synonym			2016-07-29T11:06:00
1179337	1179337	urn:lsid:Dermaptera.speciesfile.org:TaxonName:183014	1179337	1179928	Labidura herculeana	Fabricius. 1798. Supplementum entomologiae systematicae 1-572	species	(Fabricius, 1798)	valid		In Steinmann 1989 pg 379 author listed as Semenov 1908 for Labidura riparia herculeana	2016-07-29T11:06:00
1179339	1179339	urn:lsid:Dermaptera.speciesfile.org:TaxonName:183490	1179339	1179592	Forficula ruficollis	Fabricius. 1798. Supplementum entomologiae systematicae 1-572	species	Fabricius, 1798	valid			2016-07-29T11:05:00
1179340	1179340	urn:lsid:Dermaptera.speciesfile.org:TaxonName:181030	1179340	1181588	Auchenomus vicinus	Borelli. 1915. Dermatteri delle Isole Filippine Nota II. Bollettino dei Musei di Zoologia ed Anatomia Comparata della R. Universita di Torino 30(705):1-7	species	Borelli, 1915	valid			2016-07-29T11:05:00
1179341	1179341	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182524	1179341	1179978	Anisolabis recurva	Borelli. 1915. Dermatteri delle Isole Filippine Nota II. Bollettino dei Musei di Zoologia ed Anatomia Comparata della R. Universita di Torino 30(705):1-7	species	Borelli, 1915	valid		Check adding syn for end spelling	2015-12-02T11:37:00
1179342	1179342	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180557	1179342	1182202	Kotejalabis	Engel & Chatzimanolis. 2005. Early Cretaceous earwigs (Dermaptera) from the Sanatana Formation, Brazil. Polskie Pismo Entomologiczne 74:219-226	genus	Engel & Chatzimanolis, 2005	valid			2014-08-29T09:49:00
