uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1179327	|	1180031	|	Chaetolabia spicata	|	species	|		|	
1179328	|	1181590	|	Chaetospania nigritula	|	species	|		|	
1179329	|	1179978	|	Anisolabis minutissima	|	species	|		|	
1179330	|	1180067	|	Diplatys (Neodiplatys) annandalei	|	species	|		|	
1179331	|	1180066	|	Diplatys (Syndiplatys) griffithsi	|	species	|		|	
1179332	|	1180066	|	Diplatys (Syndiplatys) jacobsoni	|	species	|		|	
1179333	|	1179772	|	Diplatys (Diplatys) dohrni	|	species	|		|	
1179334	|	1179772	|	Diplatys (Diplatys) fella	|	species	|		|	
1179335	|	1179949	|	Echinosoma bolivari	|	species	|		|	
1179337	|	1179928	|	Labidura herculeana	|	species	|		|	
1179339	|	1179592	|	Forficula ruficollis	|	species	|		|	
1179340	|	1181588	|	Auchenomus vicinus	|	species	|		|	
1179341	|	1179978	|	Anisolabis recurva	|	species	|		|	
1179342	|	1182202	|	Kotejalabis	|	genus	|		|	
1179343	|	1179342	|	Kotejalabis goethitica	|	species	|		|	
1179344	|	1179978	|	Anisolabis pacifica	|	species	|		|	
1179345	|	1181792	|	Nesogaster ruficeps	|	species	|		|	
1179347	|	1179978	|	Anisolabis laeta	|	species	|		|	
1179349	|	1181236	|	Timomenus pieli	|	species	|		|	
1179350	|	1179592	|	Forficula mabillei	|	species	|		|	
1179351	|	1181177	|	Tomopygia abnormis	|	species	|		|	
1179352	|	1180918	|	Gonolabidura minor	|	species	|		|	
1179353	|	1179592	|	Forficula gravelyi	|	species	|		|	
1179354	|	1180697	|	Cranopygia dravida	|	species	|		|	
1179355	|	1181300	|	Perirrhytus edentulus	|	species	|		|	
1179357	|	1179754	|	Nesolabia	|	genus	|		|	
1179358	|	1179357	|	Nesolabia longicollis	|	species	|		|	
1179359	|	1181634	|	Carcinophora venezuelica	|	species	|		|	
1179360	|	1181322	|	Purex esquivelae	|	species	|		|	
1179362	|	1181792	|	Nesogaster bakeri	|	species	|		|	
1179363	|	1182179	|	Araeomerus morrisi	|	species	|		|	
1179364	|	1181912	|	Parisolabis immsi	|	species	|		|	
1179365	|	1180057	|	Isolaboides	|	genus	|		|	
1179366	|	1179365	|	Isolaboides tuberculata	|	species	|		|	
1179367	|	1181241	|	Skalistes cornuta	|	species	|		|	
1179368	|	1181880	|	Dendroiketes corticinus	|	species	|		|	
1179370	|	1181395	|	Haplodiplatys srivastavai	|	species	|		|	
1179371	|	1179592	|	Forficula meenae	|	species	|		|	
1179374	|	1179949	|	Echinosoma insulanum	|	species	|		|	
1179377	|	1180480	|	Eulithinus analis	|	species	|		|	
1179379	|	1182174	|	Xeniaria jacobsoni	|	species	|		|	
1179380	|	1182110	|	Forficula sagitta rufula	|	subspecies	|		|	
1179383	|	1181293	|	Guanchia uvarovi	|	species	|		|	
1179384	|	1181632	|	Anechura forficuliformis	|	species	|		|	
1179385	|	1182193	|	Chelidura tibetana	|	species	|		|	
1179386	|	1181632	|	Anechura zubovskii	|	species	|		|	
1179390	|	1181235	|	Proreus chatterjeei	|	species	|		|	
1179391	|	1181239	|	Eparchus debrepaniensis	|	species	|		|	
1179392	|	1181590	|	Chaetospania lakhanmandiensis	|	species	|		|	
1179393	|	1179772	|	Diplatys (Diplatys) jawalagiriensis	|	species	|		|	
1179396	|	1179592	|	Forficula tomis	|	species	|		|	
1179399	|	1179592	|	Forficula lesnei	|	species	|		|	
1179400	|	1181293	|	Guanchia circinata	|	species	|		|	
1179402	|	1179978	|	Anisolabis infelix	|	species	|		|	
1179403	|	1181590	|	Chaetospania rodens	|	species	|		|	
1179404	|	1181316	|	Spongovostox aborum	|	species	|		|	
1179406	|	1182200	|	Aborolabis pervicina	|	species	|		|	
1179407	|	1179978	|	Anisolabis aborensis	|	species	|		|	
1179409	|	1181234	|	Hamaxas kempi	|	species	|		|	
1179410	|	1179592	|	Forficula laeviforceps	|	species	|		|	
1179411	|	1181293	|	Guanchia brevitarsis	|	species	|		|	
1179412	|	1181293	|	Guanchia storai	|	species	|		|	
1179413	|	1182227	|	Anataelia	|	genus	|		|	
1179414	|	1179413	|	Anataelia canariensis	|	species	|		|	
1179415	|	1181677	|	Schizoproreus ritsemae	|	species	|		|	
1179416	|	1179958	|	Sphingolabis semifulva	|	species	|		|	
1179418	|	1180131	|	Canarilabis maxima	|	species	|		|	
1179420	|	1179772	|	Diplatys (Diplatys) himalayanus	|	species	|		|	
1179421	|	1180914	|	Nala nainitalensis	|	species	|		|	
1179424	|	1180733	|	Esphalmenus vulcani	|	species	|		|	
1179425	|	1181293	|	Guanchia cabrerae	|	species	|		|	
1179427	|	1180073	|	Diplatys (Hypodiplatys) deviensis	|	species	|		|	
1179428	|	1182200	|	Aborolabis emarginata	|	species	|		|	
1179429	|	1180066	|	Diplatys (Syndiplatys) santoshi	|	species	|		|	
1179430	|	1181395	|	Haplodiplatys bhowmiki	|	species	|		|	
1179431	|	1179772	|	Diplatys (Diplatys) torrevillasi	|	species	|		|	
1179432	|	1179773	|	Apachyus philippinensis	|	species	|		|	
1179433	|	1181511	|	Epilandex gressitti	|	species	|		|	
1179434	|	1181511	|	Epilandex serrata	|	species	|		|	
1179435	|	1181044	|	Adiathella philippinensis	|	species	|		|	
1179436	|	1181590	|	Chaetospania siva	|	species	|		|	
1179437	|	1181588	|	Auchenomus striatus	|	species	|		|	
1179438	|	1181588	|	Auchenomus albayiensis	|	species	|		|	
1179439	|	1181588	|	Auchenomus dentatus	|	species	|		|	
1179440	|	1181677	|	Schizoproreus dentatus	|	species	|		|	
1179441	|	1181235	|	Proreus torrevillasi	|	species	|		|	
1179442	|	1179495	|	Paratimomenus elongatus	|	species	|		|	
1179443	|	1179495	|	Paratimomenus simulans	|	species	|		|	
1179444	|	1181236	|	Timomenus haddeni	|	species	|		|	
1179446	|	1181236	|	Timomenus robustus	|	species	|		|	
1179447	|	1181236	|	Timomenus sinuatus	|	species	|		|	
1179448	|	1181919	|	Allostethus punctatum	|	species	|		|	
1179450	|	1181252	|	Liparura dentata	|	species	|		|	
1179454	|	1182202	|	Neodermaptera	|	suborder	|		|	
1179456	|	1179454	|	Protodermaptera	|	infraorder	|		|	
1179457	|	1181303	|	Paradiplatys	|	genus	|		|	
1179458	|	1179454	|	Epidermaptera	|	infraorder	|		|	
1179461	|	1180043	|	Turanoviinae	|	subfamily	|		|	
1179462	|	1180048	|	Turanodermatidae	|	family	|		|	
1179464	|	1179462	|	Turanoderma	|	genus	|		|	
1179465	|	1179464	|	Turanoderma sepultum	|	species	|		|	
1179466	|	1181898	|	Isolabis ocellata	|	species	|		|	
1179467	|	1180697	|	Cranopygia bifurcata	|	species	|		|	
1179468	|	1180697	|	Cranopygia vitticollis	|	species	|		|	
1179469	|	1179594	|	Cylindrogaster	|	genus	|		|	
1179470	|	1179469	|	Cylindrogaster gracilis	|	species	|		|	
1179471	|	1180706	|	Dacnodes liturata	|	species	|		|	
1179474	|	1181792	|	Nesogaster amoenus	|	species	|		|	
1179476	|	1179942	|	Sparatta nigrina	|	species	|		|	
1179477	|	1179942	|	Sparatta rufina	|	species	|		|	
1179479	|	1181471	|	Opisthocosmia vigilans	|	species	|		|	
1179480	|	1181796	|	Ancistrogaster	|	genus	|		|	
1179481	|	1179480	|	Ancistrogaster luctuosus	|	species	|		|	
1179482	|	1181316	|	Spongovostox quadrimaculatus	|	species	|		|	
1179488	|	1179928	|	Labidura xanthopus	|	species	|		|	
1179490	|	1181324	|	Vandex fantasticus	|	species	|		|	
1179491	|	1181333	|	Blandex africanus	|	species	|		|	
1179492	|	1180199	|	Schizodiplatys subangulatus	|	species	|		|	
1179493	|	1181395	|	Haplodiplatys orientalis	|	species	|		|	
1179494	|	1181233	|	Exypnus chinensis	|	species	|		|	
1179495	|	1181797	|	Paratimomenus	|	genus	|		|	
1179496	|	1182109	|	Oreasiobia chinensis	|	species	|		|	
1179497	|	1181800	|	Brindleiana	|	genus	|		|	
1179498	|	1179497	|	Brindleiana atlas	|	species	|		|	
1179499	|	1179773	|	Apachyus baloghi	|	species	|		|	
1179500	|	1181319	|	Marava chapmani	|	species	|		|	
1179501	|	1181293	|	Guanchia brignolii	|	species	|		|	
1179503	|	1179458	|	Forficuloidea	|	superfamily	|		|	
1179504	|	1181395	|	Haplodiplatys fengyangensis	|	species	|		|	
1179506	|	1179978	|	Anisolabis littorea	|	species	|		|	
1179508	|	1181244	|	Kleter nigripennis	|	species	|		|	
1179509	|	1181316	|	Spongovostox bilineata	|	species	|		|	
1179511	|	1181681	|	Circolabia arcuata	|	species	|		|	
1179514	|	1179480	|	Ancistrogaster arthritica	|	species	|		|	
1179517	|	1181211	|	Chelisoches	|	genus	|		|	
1179518	|	1180645	|	Paracosmia gulosa	|	species	|		|	
1179519	|	1181227	|	Doru luteipes	|	species	|		|	
1179521	|	1181227	|	Doru aculeatum	|	species	|		|	
1179522	|	1181846	|	Metresura volsella	|	species	|		|	
1179523	|	1181241	|	Skalistes vara	|	species	|		|	
