id	description	type
1171736	Terrestrial.	habitat
1171737	Terrestrial.	habitat
1171738	Terrestrial.	habitat
1171739	Terrestrial.	habitat
1171740	Terrestrial.	habitat
1171741	Terrestrial.	habitat
1171742	Terrestrial.	habitat
1171743	Terrestrial.	habitat
1171744	Terrestrial.	habitat
1171745	Terrestrial.	habitat
1171746	Terrestrial.	habitat
1171747	Terrestrial.	habitat
1171748	Terrestrial.	habitat
1171749	Terrestrial.	habitat
1171750	Terrestrial.	habitat
1171751	Terrestrial.	habitat
1171752	Terrestrial.	habitat
1171753	Terrestrial.	habitat
1171754	Terrestrial.	habitat
1171755	Terrestrial.	habitat
1171756	Terrestrial.	habitat
1171757	Terrestrial.	habitat
1171758	Terrestrial.	habitat
1171759	Terrestrial.	habitat
1171760	Terrestrial.	habitat
1171761	Terrestrial.	habitat
1171762	Terrestrial.	habitat
1171763	Terrestrial.	habitat
1171764	Terrestrial.	habitat
1171765	Terrestrial.	habitat
1171766	Terrestrial.	habitat
1171767	Terrestrial.	habitat
1171768	Terrestrial.	habitat
1171769	Terrestrial.	habitat
1171770	Terrestrial.	habitat
1171771	Terrestrial.	habitat
1171772	Terrestrial.	habitat
1171773	Terrestrial.	habitat
1171774	Terrestrial.	habitat
1171775	Terrestrial.	habitat
1171776	Terrestrial.	habitat
1171777	Terrestrial.	habitat
1171778	Terrestrial.	habitat
1171779	Terrestrial.	habitat
1171780	Terrestrial.	habitat
1171781	Terrestrial.	habitat
1171782	Terrestrial.	habitat
1171783	Terrestrial.	habitat
1171784	Terrestrial.	habitat
1171785	Terrestrial.	habitat
1171786	Terrestrial.	habitat
1171787	Terrestrial.	habitat
1171788	Terrestrial.	habitat
1171789	Terrestrial.	habitat
1171790	Terrestrial.	habitat
1171791	Terrestrial.	habitat
1171792	Terrestrial.	habitat
1171793	Terrestrial.	habitat
1171794	Terrestrial.	habitat
1171795	Terrestrial.	habitat
1171796	Terrestrial.	habitat
1171797	Terrestrial.	habitat
1171798	Terrestrial.	habitat
1171799	Terrestrial.	habitat
1171800	Terrestrial.	habitat
1171801	Terrestrial.	habitat
1171802	Terrestrial.	habitat
1171803	Terrestrial.	habitat
1171804	Terrestrial.	habitat
1171805	Terrestrial.	habitat
1171806	Terrestrial.	habitat
1171807	Terrestrial.	habitat
1171808	Terrestrial.	habitat
1171809	Terrestrial.	habitat
1171810	Terrestrial.	habitat
1171811	Terrestrial.	habitat
1171812	Terrestrial.	habitat
1171813	Terrestrial.	habitat
1171814	Terrestrial.	habitat
1171815	Terrestrial.	habitat
1171816	Terrestrial.	habitat
1171817	Terrestrial.	habitat
1171818	Terrestrial.	habitat
1171819	Terrestrial.	habitat
1171820	Terrestrial.	habitat
1171821	Terrestrial.	habitat
1171822	Terrestrial.	habitat
1171823	Terrestrial.	habitat
1171824	Terrestrial.	habitat
1171825	Terrestrial.	habitat
1171826	Terrestrial.	habitat
1171827	Terrestrial.	habitat
1171828	Terrestrial.	habitat
1171829	Terrestrial.	habitat
1171830	Terrestrial.	habitat
1171831	Terrestrial.	habitat
1171832	Terrestrial.	habitat
1171833	Terrestrial.	habitat
1171834	Terrestrial.	habitat
1171835	Terrestrial.	habitat
1171836	Terrestrial.	habitat
1171837	Terrestrial.	habitat
1171838	Terrestrial.	habitat
1171839	Terrestrial.	habitat
1171840	Terrestrial.	habitat
1171841	Terrestrial.	habitat
1171842	Terrestrial.	habitat
1171843	Terrestrial.	habitat
1171844	Terrestrial.	habitat
1171845	Terrestrial.	habitat
1171846	Terrestrial.	habitat
1171847	Terrestrial.	habitat
1171848	Terrestrial.	habitat
1171849	Terrestrial.	habitat
1171850	Terrestrial.	habitat
1171851	Terrestrial.	habitat
1171852	Terrestrial.	habitat
1171853	Terrestrial.	habitat
1171854	Terrestrial.	habitat
1171855	Terrestrial.	habitat
1171856	Terrestrial.	habitat
1171857	Terrestrial.	habitat
1171858	Terrestrial.	habitat
1171859	Terrestrial.	habitat
1171860	Terrestrial.	habitat
1171861	Terrestrial.	habitat
1171862	Terrestrial.	habitat
1171863	Terrestrial.	habitat
1171864	Terrestrial.	habitat
1171865	Terrestrial.	habitat
1171866	Terrestrial.	habitat
1171867	Terrestrial.	habitat
1171868	Terrestrial.	habitat
1171869	Terrestrial.	habitat
1171870	Terrestrial.	habitat
1171871	Terrestrial.	habitat
1171872	Terrestrial.	habitat
1171873	Terrestrial.	habitat
1171874	Terrestrial.	habitat
1171875	Terrestrial.	habitat
1171876	Terrestrial.	habitat
1171877	Terrestrial.	habitat
1171878	Terrestrial.	habitat
1171879	Terrestrial.	habitat
1171880	Terrestrial.	habitat
1171881	Terrestrial.	habitat
1171882	Terrestrial.	habitat
1171883	Terrestrial.	habitat
1171884	Terrestrial.	habitat
1171885	Terrestrial.	habitat
1171886	Terrestrial.	habitat
1171887	Terrestrial.	habitat
1171888	Terrestrial.	habitat
1171889	Terrestrial.	habitat
1171890	Terrestrial.	habitat
1171891	Terrestrial.	habitat
1171892	Terrestrial.	habitat
1171893	Terrestrial.	habitat
1171894	Terrestrial.	habitat
1171895	Terrestrial.	habitat
1171896	Terrestrial.	habitat
1171897	Terrestrial.	habitat
1171898	Terrestrial.	habitat
1171899	Terrestrial.	habitat
1171900	Terrestrial.	habitat
1171901	Terrestrial.	habitat
1171902	Terrestrial.	habitat
1171903	Terrestrial.	habitat
1171904	Terrestrial.	habitat
1171905	Terrestrial.	habitat
1171906	Terrestrial.	habitat
1171907	Terrestrial.	habitat
1171908	Terrestrial.	habitat
1171909	Terrestrial.	habitat
1171910	Terrestrial.	habitat
1171911	Terrestrial.	habitat
1171912	Terrestrial.	habitat
1171913	Terrestrial.	habitat
1171914	Terrestrial.	habitat
1171915	Terrestrial.	habitat
1171916	Terrestrial.	habitat
1171917	Terrestrial.	habitat
1171918	Terrestrial.	habitat
1171919	Terrestrial.	habitat
1171920	Terrestrial.	habitat
1171921	Terrestrial.	habitat
1171922	Terrestrial.	habitat
1171923	Terrestrial.	habitat
1171924	Terrestrial.	habitat
1171925	Terrestrial.	habitat
1171926	Terrestrial.	habitat
1171927	Terrestrial.	habitat
1171928	Terrestrial.	habitat
1171929	Terrestrial.	habitat
1171930	Terrestrial.	habitat
1171931	Terrestrial.	habitat
1171932	Terrestrial.	habitat
1171933	Terrestrial.	habitat
1171934	Terrestrial.	habitat
1171935	Terrestrial.	habitat
1171936	Terrestrial.	habitat
1171937	Terrestrial.	habitat
1171938	Terrestrial.	habitat
1171939	Terrestrial.	habitat
1171940	Terrestrial.	habitat
1171941	Terrestrial.	habitat
1171942	Terrestrial.	habitat
1171943	Terrestrial.	habitat
1171944	Terrestrial.	habitat
1171945	Terrestrial.	habitat
1171946	Terrestrial.	habitat
1171947	Terrestrial.	habitat
1171948	Terrestrial.	habitat
1171949	Terrestrial.	habitat
1171950	Terrestrial.	habitat
1171951	Terrestrial.	habitat
1171952	Terrestrial.	habitat
1171953	Terrestrial.	habitat
1171954	Terrestrial.	habitat
1171955	Terrestrial.	habitat
1171956	Terrestrial.	habitat
1171957	Terrestrial.	habitat
1171958	Terrestrial.	habitat
1171959	Terrestrial.	habitat
1171960	Terrestrial.	habitat
1171961	Terrestrial.	habitat
1171962	Terrestrial.	habitat
1171963	Terrestrial.	habitat
1171964	Terrestrial.	habitat
1171965	Terrestrial.	habitat
1171966	Terrestrial.	habitat
1171967	Terrestrial.	habitat
1171968	Terrestrial.	habitat
1171969	Terrestrial.	habitat
1171970	Terrestrial.	habitat
1171971	Terrestrial.	habitat
1171972	Terrestrial.	habitat
1171973	Terrestrial.	habitat
1171974	Terrestrial.	habitat
1171975	Terrestrial.	habitat
1171976	Terrestrial.	habitat
1171977	Terrestrial.	habitat
1171978	Terrestrial.	habitat
1171979	Terrestrial.	habitat
1171980	Terrestrial.	habitat
1171981	Terrestrial.	habitat
1171982	Terrestrial.	habitat
1171983	Terrestrial.	habitat
1171984	Terrestrial.	habitat
1171985	Terrestrial.	habitat
1171986	Terrestrial.	habitat
1171987	Terrestrial.	habitat
1171988	Terrestrial.	habitat
1171989	Terrestrial.	habitat
1171990	Terrestrial.	habitat
1171991	Terrestrial.	habitat
1171992	Terrestrial.	habitat
1171993	Terrestrial.	habitat
1171994	Terrestrial.	habitat
1171995	Terrestrial.	habitat
1171996	Terrestrial.	habitat
1171997	Terrestrial.	habitat
1171998	Terrestrial.	habitat
1171999	Terrestrial.	habitat
1172000	Terrestrial.	habitat
1172001	Terrestrial.	habitat
1172002	Terrestrial.	habitat
1172003	Terrestrial.	habitat
1172004	Terrestrial.	habitat
1172005	Terrestrial.	habitat
1172006	Terrestrial.	habitat
1172007	Terrestrial.	habitat
1172008	Terrestrial.	habitat
1172009	Terrestrial.	habitat
1172010	Terrestrial.	habitat
1172011	Terrestrial.	habitat
1172012	Terrestrial.	habitat
1172013	Terrestrial.	habitat
1172014	Terrestrial.	habitat
1172015	Terrestrial.	habitat
1172016	Terrestrial.	habitat
1172017	Terrestrial.	habitat
1172018	Terrestrial.	habitat
1172019	Terrestrial.	habitat
1172020	Terrestrial.	habitat
1172021	Terrestrial.	habitat
1172022	Terrestrial.	habitat
1172023	Terrestrial.	habitat
1172024	Terrestrial.	habitat
1172025	Terrestrial.	habitat
1172026	Terrestrial.	habitat
1172027	Terrestrial.	habitat
1172028	Terrestrial.	habitat
1172029	Terrestrial.	habitat
1172030	Terrestrial.	habitat
1172031	Terrestrial.	habitat
1172032	Terrestrial.	habitat
1172033	Terrestrial.	habitat
1172034	Terrestrial.	habitat
1172035	Terrestrial.	habitat
1172036	Terrestrial.	habitat
1172037	Terrestrial.	habitat
1172038	Terrestrial.	habitat
1172039	Terrestrial.	habitat
1172040	Terrestrial.	habitat
1172041	Terrestrial.	habitat
1172042	Terrestrial.	habitat
1172043	Terrestrial.	habitat
1172044	Terrestrial.	habitat
1172045	Terrestrial.	habitat
1172046	Terrestrial.	habitat
1172047	Terrestrial.	habitat
1172048	Terrestrial.	habitat
1172049	Terrestrial.	habitat
1172050	Terrestrial.	habitat
1172051	Terrestrial.	habitat
1172052	Terrestrial.	habitat
1172053	Terrestrial.	habitat
1172054	Terrestrial.	habitat
1172055	Terrestrial.	habitat
1172056	Terrestrial.	habitat
1172057	Terrestrial.	habitat
1172058	Terrestrial.	habitat
