id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1171736	1171736	urn:lsid:Embioptera.speciesfile.org:TaxonName:1	1171736		Embioptera		order		valid			2016-11-28T10:18:00
1171737	1171737	urn:lsid:Embioptera.speciesfile.org:TaxonName:790	1171737	1171736	Paedembiidae	Ross. 2006. Paedembiidae, a remarkable new family and infraorder of Embiidina from Afghanistan. Proceedings of the California Academy of Sciences (Proc. Calif. Acad. Sci.) 57(27):785-794	family	Ross, 2006	valid			2015-12-02T11:40:00
1171738	1171738	urn:lsid:Embioptera.speciesfile.org:TaxonName:793	1171738	1171737	Paedembia	Ross. 2006. Paedembiidae, a remarkable new family and infraorder of Embiidina from Afghanistan. Proceedings of the California Academy of Sciences (Proc. Calif. Acad. Sci.) 57(27):785-794	genus	Ross, 2006	valid			2015-12-02T11:40:00
1171739	1171739	urn:lsid:Embioptera.speciesfile.org:TaxonName:794	1171739	1171738	Paedembia afghanica	Ross. 2006. Paedembiidae, a remarkable new family and infraorder of Embiidina from Afghanistan. Proceedings of the California Academy of Sciences (Proc. Calif. Acad. Sci.) 57(27):785-794	species	Ross, 2006	valid			2015-12-02T11:40:00
1171740	1171740	urn:lsid:Embioptera.speciesfile.org:TaxonName:791	1171740	1171737	Badkhyzembia	Gorochov & Anisyutkin. 2006. A new genus and species of paedembiidae from Turkmenistan. Proceedings of the California Academy of Sciences (Proc. Calif. Acad. Sci.) 57(28):795-797	genus	Gorochov & Anisyutkin, 2006	valid			2015-12-02T11:40:00
1171741	1171741	urn:lsid:Embioptera.speciesfile.org:TaxonName:792	1171741	1171740	Badkhyzembia krivokhatskyi	Gorochov & Anisyutkin. 2006. A new genus and species of paedembiidae from Turkmenistan. Proceedings of the California Academy of Sciences (Proc. Calif. Acad. Sci.) 57(28):795-797	species	Gorochov & Anisyutkin, 2006	valid			2015-12-02T11:40:00
1171742	1171742	urn:lsid:Embioptera.speciesfile.org:TaxonName:789	1171736		Embides		order		synonym			2015-12-02T11:40:00
1171743	1171743	urn:lsid:Embioptera.speciesfile.org:TaxonName:788	1171736		Embiodea		order		junior synonym			2015-12-02T11:40:00
1171744	1171744	urn:lsid:Embioptera.speciesfile.org:TaxonName:596	1171744	1171736	Anisembiidae	Ross. 1940. A Revision of the Embioptera of North America. Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 33(4):629-676	family	Ross, 1940	valid			2015-12-02T11:40:00
1171745	1171745	urn:lsid:Embioptera.speciesfile.org:TaxonName:714	1171745	1171744	Anisembiinae	Ross. 1940. A Revision of the Embioptera of North America. Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 33(4):629-676	subfamily	Ross, 1940	valid			2015-12-02T11:40:00
