uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1171736	|		|	Embioptera	|	order	|		|	
1171737	|	1171736	|	Paedembiidae	|	family	|		|	
1171738	|	1171737	|	Paedembia	|	genus	|		|	
1171739	|	1171738	|	Paedembia afghanica	|	species	|		|	
1171740	|	1171737	|	Badkhyzembia	|	genus	|		|	
1171741	|	1171740	|	Badkhyzembia krivokhatskyi	|	species	|		|	
1171744	|	1171736	|	Anisembiidae	|	family	|		|	
1171745	|	1171744	|	Anisembiinae	|	subfamily	|		|	
1171746	|	1171745	|	Pogonembia	|	genus	|		|	
1171747	|	1171746	|	Pogonembia motaguae	|	species	|		|	
1171748	|	1171746	|	Pogonembia neovenosa	|	species	|		|	
1171750	|	1171745	|	Mesembiini	|	tribe	|		|	
1171751	|	1171750	|	Phallosembia	|	genus	|		|	
1171752	|	1171751	|	Phallosembia andina	|	species	|		|	
1171753	|	1171750	|	Ectyphocerca	|	genus	|		|	
1171754	|	1171753	|	Ectyphocerca aureata	|	species	|		|	
1171755	|	1171750	|	Mesembia	|	genus	|		|	
1171756	|	1171755	|	Mesembia hospes	|	species	|		|	
1171757	|	1171755	|	Mesembia venosa	|	species	|		|	
1171759	|	1171755	|	Mesembia catemacoa	|	species	|		|	
1171760	|	1171755	|	Mesembia haitiana	|	species	|		|	
1171761	|	1171755	|	Mesembia chamulae	|	species	|		|	
1171762	|	1171755	|	Mesembia pico	|	species	|		|	
1171763	|	1171755	|	Mesembia neovenosa	|	species	|		|	
1171764	|	1171750	|	Stenembia	|	genus	|		|	
1171765	|	1171764	|	Stenembia perenensis	|	species	|		|	
1171766	|	1171764	|	Stenembia exigua	|	species	|		|	
1171767	|	1171764	|	Stenembia symmetrica	|	species	|		|	
1171768	|	1171745	|	Anisembiini	|	tribe	|		|	
1171769	|	1171768	|	Anisembia	|	genus	|		|	
1171770	|	1171769	|	Anisembia texana	|	species	|		|	
1171771	|	1171768	|	Bulbocerca	|	genus	|		|	
1171772	|	1171771	|	Bulbocerca fulva	|	species	|		|	
1171773	|	1171771	|	Bulbocerca sini	|	species	|		|	
1171774	|	1171771	|	Bulbocerca minuta	|	species	|		|	
1171775	|	1171771	|	Bulbocerca nigra	|	species	|		|	
1171776	|	1171768	|	Glyphembia	|	genus	|		|	
1171777	|	1171776	|	Glyphembia vetehae	|	species	|		|	
1171778	|	1171776	|	Glyphembia amberica	|	species	|		|	
1171779	|	1171776	|	Glyphembia dominicana	|	species	|		|	
1171780	|	1171776	|	Glyphembia guatemalae	|	species	|		|	
1171781	|	1171776	|	Glyphembia teapae	|	species	|		|	
1171782	|	1171745	|	Exochosembiini	|	tribe	|		|	
1171783	|	1171745	|	Exochosembia	|	genus	|		|	
1171784	|	1171783	|	Exochosembia cavagnaroi	|	species	|		|	
1171785	|	1171783	|	Exochosembia unicolor	|	species	|		|	
1171786	|	1171745	|	Isosembiini	|	tribe	|		|	
1171787	|	1171745	|	Isosembia	|	genus	|		|	
1171788	|	1171787	|	Isosembia aequalis	|	species	|		|	
