id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1171737	typeGenus	Ross. 2006. Paedembiidae, a remarkable new family and infraorder of Embiidina from Afghanistan. Proceedings of the California Academy of Sciences (Proc. Calif. Acad. Sci.) 57(27):785-794	Paedembiidae Ross, 2006								
1171744	typeGenus	Ross. 1940. A Revision of the Embioptera of North America. Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 33(4):629-676	Anisembiidae Ross, 1940								
1171749	typeGenus	Ross. 1940. A Revision of the Embioptera of North America. Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 33(4):629-676	Mesembiinae Ross, 1940								
1171782	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Exochosembiini Ross, 2003								
1171786	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Isosembiini Ross, 2003								
1171789	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	†Poinarembiini Ross, 2003								
1171792	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Saussurembini Ross, 2003								
1171799	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Stenembiini Ross, 2003								
1171800	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Scolembiinae Ross, 2003								
1171804	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Aporembiinae Ross, 2003								
1171807	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Chorisembiinae Ross, 2003								
1171810	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Platyembiinae Ross, 2003								
1171813	typeGenus	Ross. 2003. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 5. A review of the family Anisembiidae with descriptions of new taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 154:i-vi, 1-123	Cryptembiinae Ross, 2003								
1171824	typeGenus	Ross. 1984. A Classification of the Embiidina of Mexico with Descriptions of New Taxa. Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 140:x, 1-54, 16 figs.	Chelicercinae Ross, 1984								
1171895	typeGenus	Ross. 2001. Embia. Contributions to the biosystematics of the insect order Embiidina: Part 3. The Embiidae of the Americas (Order Embiidina). Occasional papers of the California Academy of Sciences (Occ. Pap. Calif. Acad. Sci.) 150:i-v, 1-86	Microembiinae Ross, 2001								
1171898	typeGenus	Ross. 1963. The families of Australian Embioptera, with descriptions of a new family, genus and species. Wasmann Journal of Biology (Wasmann J. Biol.) 21:121-136	Australembiidae Ross, 1963								
1171936	typeGenus	Huang & Nel. 2009. Oldest webspinners from the Middle Jurassic of Inner Mongolia, China (Insecta: Embiodea). Zoological Journal of the Linnean Society 156:889-895	†Sinembiidae Huang & Nel, 2009								
1171961	typeGenus	Enderlein. 1909. Die Klassifikation der Embiidinen, nebst morphologischen und physiologischen Bemerkungen, besonders über das Spinnen derselben. Zoologischer Anzeiger (Zool. Anz.) 35:166-191	Clothodinae Enderlein, 1909								
1172041	typeGenus	Burmeister. 1839. Zweite Halfte. Neuroptera. Handbuch der Entomologie, Reimer, Berlin 2:757-1050	Embidae Burmeister, 1839								
