id	description	type
1219980	Terrestrial.	habitat
1219981	Terrestrial.	habitat
1219982	Terrestrial.	habitat
1219983	Terrestrial.	habitat
1219984	Terrestrial.	habitat
1219985	Terrestrial.	habitat
1219986	Terrestrial.	habitat
1219987	Terrestrial.	habitat
1219988	Terrestrial.	habitat
1219989	Terrestrial.	habitat
1219990	Terrestrial.	habitat
1219992	Terrestrial.	habitat
1219993	Terrestrial.	habitat
1219994	Terrestrial.	habitat
1219995	Terrestrial.	habitat
1219996	Terrestrial.	habitat
1219997	Terrestrial.	habitat
1219998	Terrestrial.	habitat
1219999	Terrestrial.	habitat
1220000	Terrestrial.	habitat
1220001	Terrestrial.	habitat
1220002	Terrestrial.	habitat
1220003	Terrestrial.	habitat
1220004	Terrestrial.	habitat
1220005	Terrestrial.	habitat
1220006	Terrestrial.	habitat
1220007	Terrestrial.	habitat
1220008	Terrestrial.	habitat
1220009	Terrestrial.	habitat
1220010	Terrestrial.	habitat
1220011	Terrestrial.	habitat
1220012	Terrestrial.	habitat
1220013	Terrestrial.	habitat
1220014	Terrestrial.	habitat
1220015	Terrestrial.	habitat
1220016	Terrestrial.	habitat
1220017	Terrestrial.	habitat
1220018	Terrestrial.	habitat
1220019	Terrestrial.	habitat
1220020	Terrestrial.	habitat
1220021	Terrestrial.	habitat
1220022	Terrestrial.	habitat
1220023	Terrestrial.	habitat
1220024	Terrestrial.	habitat
1220025	Terrestrial.	habitat
1220026	Terrestrial.	habitat
1220027	Terrestrial.	habitat
1220028	Terrestrial.	habitat
1220029	Terrestrial.	habitat
1220030	Terrestrial.	habitat
1220031	Terrestrial.	habitat
1220032	Terrestrial.	habitat
1220033	Terrestrial.	habitat
1220034	Terrestrial.	habitat
1220035	Terrestrial.	habitat
1220036	Terrestrial.	habitat
1220037	Terrestrial.	habitat
1220038	Terrestrial.	habitat
1220039	Terrestrial.	habitat
1220040	Terrestrial.	habitat
1220041	Terrestrial.	habitat
1220042	Terrestrial.	habitat
1220043	Terrestrial.	habitat
1220044	Terrestrial.	habitat
1220045	Terrestrial.	habitat
1220046	Terrestrial.	habitat
1220047	Terrestrial.	habitat
1220048	Terrestrial.	habitat
1220050	Terrestrial.	habitat
1220054	Terrestrial.	habitat
1220055	Terrestrial.	habitat
1220056	Terrestrial.	habitat
1220058	Terrestrial.	habitat
1220059	Terrestrial.	habitat
1220060	Terrestrial.	habitat
1220061	Terrestrial.	habitat
1220062	Terrestrial.	habitat
1220063	Terrestrial.	habitat
1220064	Terrestrial.	habitat
1220065	Terrestrial.	habitat
1220066	Terrestrial.	habitat
1220067	Terrestrial.	habitat
1220068	Terrestrial.	habitat
1220069	Terrestrial.	habitat
1220070	Terrestrial.	habitat
1220071	Terrestrial.	habitat
1220072	Terrestrial.	habitat
1220073	Terrestrial.	habitat
1220074	Terrestrial.	habitat
1220075	Terrestrial.	habitat
1220076	Terrestrial.	habitat
1220077	Terrestrial.	habitat
1220078	Terrestrial.	habitat
1220079	Terrestrial.	habitat
1220080	Terrestrial.	habitat
1220081	Terrestrial.	habitat
1220082	Terrestrial.	habitat
1220083	Terrestrial.	habitat
1220084	Terrestrial.	habitat
1220085	Terrestrial.	habitat
1220086	Terrestrial.	habitat
1220087	Terrestrial.	habitat
1220088	Terrestrial.	habitat
1220089	Terrestrial.	habitat
1220090	Terrestrial.	habitat
1220091	Terrestrial.	habitat
1220092	Terrestrial.	habitat
1220093	Terrestrial.	habitat
1220094	Terrestrial.	habitat
1220095	Terrestrial.	habitat
1220096	Terrestrial.	habitat
1220097	Terrestrial.	habitat
1220098	Terrestrial.	habitat
1220099	Terrestrial.	habitat
1220100	Terrestrial.	habitat
1220101	Terrestrial.	habitat
1220102	Terrestrial.	habitat
1220103	Terrestrial.	habitat
1220104	Terrestrial.	habitat
1220105	Terrestrial.	habitat
1220106	Terrestrial.	habitat
1220107	Terrestrial.	habitat
1220108	Terrestrial.	habitat
1220109	Terrestrial.	habitat
1220110	Terrestrial.	habitat
1220111	Terrestrial.	habitat
1220112	Terrestrial.	habitat
1220113	Terrestrial.	habitat
1220114	Terrestrial.	habitat
1220115	Terrestrial.	habitat
1220116	Terrestrial.	habitat
1220117	Terrestrial.	habitat
1220118	Terrestrial.	habitat
1220119	Terrestrial.	habitat
1220120	Terrestrial.	habitat
1220121	Terrestrial.	habitat
1220122	Terrestrial.	habitat
1220123	Terrestrial.	habitat
1220124	Terrestrial.	habitat
1220125	Terrestrial.	habitat
1220126	Terrestrial.	habitat
1220127	Terrestrial.	habitat
1220128	Terrestrial.	habitat
1220129	Terrestrial.	habitat
1220130	Terrestrial.	habitat
1220131	Terrestrial.	habitat
1220132	Terrestrial.	habitat
1220133	Terrestrial.	habitat
1220134	Terrestrial.	habitat
1220135	Terrestrial.	habitat
1220136	Terrestrial.	habitat
1220137	Terrestrial.	habitat
1220138	Terrestrial.	habitat
1220139	Terrestrial.	habitat
1220140	Terrestrial.	habitat
1220141	Terrestrial.	habitat
1220142	Terrestrial.	habitat
1220143	Terrestrial.	habitat
1220144	Terrestrial.	habitat
1220145	Terrestrial.	habitat
1220146	Terrestrial.	habitat
1220147	Terrestrial.	habitat
1220151	Terrestrial.	habitat
1220152	Terrestrial.	habitat
1220153	Terrestrial.	habitat
1220154	Terrestrial.	habitat
1220155	Terrestrial.	habitat
1220156	Terrestrial.	habitat
1220157	Terrestrial.	habitat
1220158	Terrestrial.	habitat
1220159	Terrestrial.	habitat
1220160	Terrestrial.	habitat
1220161	Terrestrial.	habitat
1220162	Terrestrial.	habitat
1220163	Terrestrial.	habitat
1220164	Terrestrial.	habitat
1220165	Terrestrial.	habitat
1220166	Terrestrial.	habitat
1220167	Terrestrial.	habitat
1220168	Terrestrial.	habitat
1220169	Terrestrial.	habitat
1220170	Terrestrial.	habitat
1220171	Terrestrial.	habitat
1220172	Terrestrial.	habitat
1220173	Terrestrial.	habitat
1220174	Terrestrial.	habitat
1220175	Terrestrial.	habitat
1220176	Terrestrial.	habitat
1220177	Terrestrial.	habitat
1220178	Terrestrial.	habitat
1220179	Terrestrial.	habitat
1220180	Terrestrial.	habitat
1220181	Terrestrial.	habitat
1220182	Terrestrial.	habitat
1220183	Terrestrial.	habitat
1220184	Terrestrial.	habitat
1220187	Terrestrial.	habitat
1220188	Terrestrial.	habitat
1220189	Terrestrial.	habitat
1220190	Terrestrial.	habitat
1220192	Terrestrial.	habitat
1220193	Terrestrial.	habitat
1220195	Terrestrial.	habitat
1220196	Terrestrial.	habitat
1220197	Terrestrial.	habitat
1220198	Terrestrial.	habitat
1220199	Terrestrial.	habitat
1220200	Terrestrial.	habitat
1220201	Terrestrial.	habitat
1220202	Terrestrial.	habitat
1220203	Terrestrial.	habitat
1220204	Terrestrial.	habitat
1220205	Terrestrial.	habitat
1220206	Terrestrial.	habitat
1220207	Terrestrial.	habitat
1220208	Terrestrial.	habitat
1220209	Terrestrial.	habitat
1220210	Terrestrial.	habitat
1220211	Terrestrial.	habitat
1220212	Terrestrial.	habitat
1220213	Terrestrial.	habitat
1220214	Terrestrial.	habitat
1220215	Terrestrial.	habitat
1220216	Terrestrial.	habitat
1220217	Terrestrial.	habitat
1220218	Terrestrial.	habitat
1220219	Terrestrial.	habitat
1220220	Terrestrial.	habitat
1220222	Terrestrial.	habitat
1220223	Terrestrial.	habitat
1220225	Terrestrial.	habitat
1220226	Terrestrial.	habitat
1220227	Terrestrial.	habitat
1220228	Terrestrial.	habitat
1220229	Terrestrial.	habitat
1220230	Terrestrial.	habitat
1220231	Terrestrial.	habitat
1220232	Terrestrial.	habitat
1220233	Terrestrial.	habitat
1220234	Terrestrial.	habitat
1220235	Terrestrial.	habitat
1220236	Terrestrial.	habitat
1220237	Terrestrial.	habitat
1220238	Terrestrial.	habitat
1220239	Terrestrial.	habitat
