id	locationID	locality
1219980	TDWG:JAP	Japan
1219980	TDWG:KOR	Korea
1219980	TDWG:ORE	Oregon
1219980	TDWG:ABT	Alberta
1219980	TDWG:WAS	Washington
1219980	TDWG:CAL	California
1219980	TDWG:31	Russian Far East
1219980	TDWG:36	China
1219995	TDWG:31	Russian Far East
1219995	TDWG:36	China
1219995	TDWG:CAL	California
1219995	TDWG:WAS	Washington
1219995	TDWG:ABT	Alberta
1219995	TDWG:ORE	Oregon
1219995	TDWG:KOR	Korea
1219995	TDWG:JAP	Japan
1219996	TDWG:RUN	Russia North
1219996	TDWG:CZE	Czechoslovakia
1219996	TDWG:NSW	New South Wales
1219997	TDWG:KAN	Kansas
1219997	TDWG:3	Asia-Temperate
1219997	TDWG:GER	Germany
1219997	TDWG:RUW	Northwest European Russia
1219997	TDWG:RUC	Russia Central
1219998	TDWG:FRA	France
1220001	TDWG:FRA	France
1220004	TDWG:RUC	Russia Central
1220005	TDWG:RUC	Russia Central
1220007	TDWG:RUC	Russia Central
1220008	TDWG:RUC	Russia Central
1220009	TDWG:RUC	Russia Central
1220013	TDWG:KAN	Kansas
1220014	TDWG:OKL	Oklahoma
1220017	TDWG:FRA	France
1220018	TDWG:RUW	Northwest European Russia
1220019	TDWG:RUC	Russia Central
1220019	TDWG:KGZ	Kyrgyzstan
1220020	TDWG:14	East Europe
1220021	TDWG:TEX	Texas
1220021	TDWG:RUC	Russia Central
1220022	TDWG:RUS	Russia South
1220024	TDWG:RUW	Northwest European Russia
1220032	TDWG:RUW	Northwest European Russia
1220032	TDWG:RUC	Russia Central
1220032	TDWG:NAT	KwaZulu-Natal
1220032	TDWG:KAZ	Kazakhstan
1220032	TDWG:30	Siberia
1220032	TDWG:KAN	Kansas
1220034	TDWG:RUS	Russia South
1220034	TDWG:RUW	Northwest European Russia
1220035	TDWG:RUC	Russia Central
1220036	TDWG:NAT	KwaZulu-Natal
1220037	TDWG:JAP	Japan
1220037	TDWG:KOR	Korea
1220037	TDWG:ABT	Alberta
1220037	TDWG:WAS	Washington
1220037	TDWG:ORE	Oregon
