id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1219980	1219980	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:467787	1219980		Grylloblattodea		Animalia	order		ICZN	valid			2016-08-03T10:21:00
1219981	1219981	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468104	1219981	1220042	Lodevopterum	Béthoux, Nel, Lapeyrie & Gand. 2005. New data on paleozoic Grylloblattid insects (Neoptera). Journal of Paleontology 79(1):125-138	Animalia	genus	Béthoux, Nel, Lapeyrie & Gand, 2005	ICZN	valid			2015-03-19T10:38:00
1219982	1219982	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468639	1220018	1219995	Plesioblattogryllidae	Huang, D.Y., Nel & Petrulevicius. 2008. Zoological Journal of the Linnean Society (Zool. Jour. Linn. Soc.) 152(1):17-24	Animalia	family	Huang, Nel & Petrulevicius, 2008	ICZN	junior synonym			2014-12-30T09:40:00
1219983	1219983	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468670	1219983	1221807	Uralotermes	Zalessky, G. 1937. Ancestors of Some Groups of the Present-day Insects. Nature: International weekly journal of science (Nature) 140(3550):847-848	Animalia	genus	Zalessky, 1937	ICZN	valid			2015-03-02T12:31:00
1219984	1219984	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468903	1219984	1219995	Tshekardites	Aristov. 2004. The Fauna of Grylloblattid Insects (Grylloblattida) of the Lower Permian Locality of Tshekarda. Paleontological Journal 38(Suppl 2):S80-S145	Animalia	genus	Aristov, 2004	ICZN	valid			2015-03-06T10:33:00
1219985	1219985	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468661	1219985	1219980	Sylvaclinicus	Aristov. 2004. The Fauna of Grylloblattid Insects (Grylloblattida) of the Lower Permian Locality of Tshekarda. Paleontological Journal 38(Suppl 2):S80-S145	Animalia	genus	Aristov, 2004	ICZN	valid			2015-03-06T10:29:00
1219986	1219986	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468659	1219986	1219980	Permedax	Aristov. 2004. The Fauna of Grylloblattid Insects (Grylloblattida) of the Lower Permian Locality of Tshekarda. Paleontological Journal 38(Suppl 2):S80-S145	Animalia	genus	Aristov, 2004	ICZN	valid			2015-03-30T10:11:00
1219987	1219987	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468901	1219987	1220058	Aibolitus	Novokshonov & Storozhenko. 1996. New genus of the family Sojanoraphidiidae (Grylloblattida) from Lower Permian of Ural. Far Eastern Entomologist 33:1-4	Animalia	genus	Novokshonov & Storozhenko, 1996	ICZN	valid			2015-03-19T12:53:00
1219988	1219988	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468138	1219988	1220038	Sigmophlebia	Béthoux & Beckemeyer. 2007. New and rare insect species from the Wellington Formation (Orthoptera, Grylloblattodea; Lower Permian, USA). Alavesia 1:49-61	Animalia	genus	Béthoux & Beckemeyer, 2007	ICZN	valid			2015-02-20T10:28:00
1219989	1219989	urn:lsid:Grylloblattodea.speciesfile.org:TaxonName:468655	1219989	1219980	Termoides	Zalessky, G. 1955. New Protoblattoidea and Protorthoptera from Ural Permian deposits. Doklady Akademii Nauk SSSR Moscow 101:347-350	Animalia	genus	Zalessky, 1955	ICZN	valid			2015-03-06T10:32:00
