uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1219980	|		|	Grylloblattodea	|	order	|		|	
1219981	|	1220042	|	Lodevopterum	|	genus	|		|	
1219983	|	1221807	|	Uralotermes	|	genus	|		|	
1219984	|	1219995	|	Tshekardites	|	genus	|		|	
1219985	|	1219980	|	Sylvaclinicus	|	genus	|		|	
1219986	|	1219980	|	Permedax	|	genus	|		|	
1219987	|	1220058	|	Aibolitus	|	genus	|		|	
1219988	|	1220038	|	Sigmophlebia	|	genus	|		|	
1219989	|	1219980	|	Termoides	|	genus	|		|	
1219990	|	1219980	|	Gurianovella	|	genus	|		|	
1219992	|	1219980	|	Sylvamicropteron	|	genus	|		|	
1219995	|	1219980	|	Grylloblattina	|	infraorder	|		|	
1219996	|	1219980	|	Protoperlina	|	infraorder	|		|	
1219997	|	1219980	|	Lemmatophorina	|	infraorder	|		|	
1219998	|	1219980	|	Epideigmatidae	|	family	|		|	
1220000	|	1219980	|	Juraperlidae	|	family	|		|	
1220001	|	1219981	|	Lodevopterum angustus	|	species	|		|	
1220002	|	1220018	|	Plesioblattogryllus	|	genus	|		|	
1220003	|	1219983	|	Uralotermes permianus	|	species	|		|	
1220004	|	1221636	|	Tshebardanympha bardensis	|	species	|		|	
1220005	|	1219984	|	Tshekardites comitialis	|	species	|		|	
1220006	|	1221636	|	Tshebardanympha lienterica	|	species	|		|	
1220007	|	1221637	|	Sylvalitoralis calcomessor	|	species	|		|	
1220008	|	1221637	|	Sylvalitoralis curculiuculus	|	species	|		|	
1220009	|	1221627	|	Lemmatonympha gracilis	|	species	|		|	
1220010	|	1219985	|	Sylvaclinicus echinatus	|	species	|		|	
1220011	|	1219986	|	Permedax effertus	|	species	|		|	
1220012	|	1219987	|	Aibolitus medicinus	|	species	|		|	
1220013	|	1219987	|	Aibolitus minutus	|	species	|		|	
1220014	|	1219988	|	Sigmophlebia engeli	|	species	|		|	
1220015	|	1219990	|	Gurianovella silphidoides	|	species	|		|	
1220016	|	1219992	|	Sylvamicropteron harpax	|	species	|		|	
1220017	|	1219995	|	Protoblattinidae	|	family	|		|	
1220018	|	1219995	|	Blattogryllidae	|	family	|		|	
1220019	|	1219995	|	Megakhosaridae	|	family	|		|	
1220020	|	1219995	|	Permotermopsidae	|	family	|		|	
1220021	|	1219995	|	Ideliidae	|	family	|		|	
1220022	|	1219995	|	Kortshakoliidae	|	family	|		|	
1220023	|	1219995	|	Mesorthopteridae	|	family	|		|	
1220024	|	1219995	|	Geinitziidae	|	family	|		|	
1220027	|	1219995	|	Tunguskapteridae	|	family	|		|	
1220029	|	1219995	|	Gorochoviidae	|	family	|		|	
1220030	|	1219995	|	Madygenophlebiidae	|	family	|		|	
1220031	|	1219995	|	Havlatiidae	|	family	|		|	
1220032	|	1219995	|	Liomopteridae	|	family	|		|	
1220033	|	1219995	|	Bajanzhargalanidae	|	family	|		|	
1220034	|	1220024	|	Stegopterinae	|	subfamily	|		|	
