id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1219982	typeGenus	Huang, D.Y., Nel & Petrulevicius. 2008. Zoological Journal of the Linnean Society (Zool. Jour. Linn. Soc.) 152(1):17-24	Plesioblattogryllidae Huang, Nel & Petrulevicius, 2008								
1219998	typeGenus	Handlirsch. 1911. New Paleozoic insects from the vicinity of Mazon Creek, Illinois. The American Journal of Science (Amer. Jour. Sci.) 4 31:353-378	†Epideigmatidae Handlirsch, 1911								
1220000	typeGenus	Huang, D.Y. & Nel. 2007. A new Middle Jurassic "grylloblattodean" family from China (Insecta: Juraperlidae fam. n.). European Journal of Entomology 104(4):837-840	†Juraperlidae Huang & Nel, 2007								
1220018	typeGenus	Rasnitsyn. 1976. Grylloblattidae: modern representatives of the order Protoblattodea (lnsecta). Proceedings of the USSR Academy of Sciences (Proc. USSR Academy of Sciences) 228:273-275	†Blattogryllidae Rasnitsyn, 1976								
1220019	typeGenus	Sharov. 1961. In Rohdendorf, Becker-Migdisova, Martynova & Sharov. Paleozojskie nasekomye kuznetskogo bassejna [Paleozoic insects of the Kuznetsk basin]. Otryad Paraplecoptera [Order Paraplecoptera]. Trudy Paleontologicheskogo Instituta Akademii Nauk, SSSR (Tr. Paleont. Inst. Akad. Nauk, SSSR) 85:164-224	†Megakhosaridae Sharov, 1961								
1220020	typeGenus	Martynov. 1937. Wings of termites and phylogeny of Isoptera and of allied groups of insects. [In Russian with English summary.]. Academicien NV Nasov Acad Sci URSS Moscow (?) 83-150	†Permotermopsidae Martynov, 1937								
1220021	typeGenus	Zalessky, G. 1929. O novykh nasekomykh iz permskikh otlozhenij bassejnov rek kamy, vyatki i beloj [On new Permian insects from the basins of the Kama, Viatka, and Belaia rivers]. Trudy Obshchestva Estestvoispytatelej pri Kazanskom Universitet (Trudy Obsch. Est. Kazan. Univ.) 52(1):1-30	†Ideliidae Zalessky, 1929								
1220022	typeGenus	Storozhenko. 1997. System and phylogeny of the order Grylloblattida (Insecta). Chteniya Pamyati Alekseya Ivanovicha Kurentsova 7:21-56	†Kortshakoliidae Storozhenko, 1997								
1220023	typeGenus	Tillyard. 1916. Mesozoic and tertiary insects of Queensland and New South, Wales. Queensland Geological Survey 253:1-47	†Mesorthopteridae Tillyard, 1916								
1220024	typeGenus	Handlirsch. 1906. Die Fossilen Insecten und die Phylogenie der rezenten Formen: Ein Handbuch fur Palaontologen und Zoologen. Engelman	†Geinitziidae Handlirsch, 1906								
1220025	typeGenus	Ansorge. 1996. The Upper Liassic insects of Grimmen (Pomerania, north Germany). Neue Palaeontologische Abhandlungen 2:1-132	Neleidae Ansorge, 1996								
1220027	typeGenus	Storozhenko & Vrsansky. 1995. New fossil family of the order Grylloblattida (Insecta: Plecopteroidea) from Asia. Far Eastern Entomologist 19:1-4	†Tunguskapteridae Storozhenko & Vrsansky, 1995								
1220028	typeGenus	Lin. 1978. Upper Permian and Triassic fossil insects of Guizhou. Acta Palaeontologica Sinica (APS) 17(3):313-317	Tomiidae Lin, 1978								
