id	description	type
1207953	Terrestrial.	habitat
1207954	Terrestrial.	habitat
1207956	Terrestrial.	habitat
1207957	Terrestrial.	habitat
1207958	Terrestrial.	habitat
1207961	Terrestrial.	habitat
1207962	Terrestrial.	habitat
1207963	Terrestrial.	habitat
1207964	Terrestrial.	habitat
1207965	Terrestrial.	habitat
1207966	Terrestrial.	habitat
1207967	Terrestrial.	habitat
1207968	Terrestrial.	habitat
1207969	Terrestrial.	habitat
1207970	Terrestrial.	habitat
1207971	Terrestrial.	habitat
1207972	Terrestrial.	habitat
1207973	Terrestrial.	habitat
1207974	Terrestrial.	habitat
1207975	Terrestrial.	habitat
1207976	Terrestrial.	habitat
1207977	Terrestrial.	habitat
1207978	Terrestrial.	habitat
1207979	Terrestrial.	habitat
1207980	Terrestrial.	habitat
1207981	Terrestrial.	habitat
1207982	Terrestrial.	habitat
1207983	Terrestrial.	habitat
1207984	Terrestrial.	habitat
1207985	Terrestrial.	habitat
1207986	Terrestrial.	habitat
1207987	Terrestrial.	habitat
1207988	Terrestrial.	habitat
1207989	Terrestrial.	habitat
1207990	Terrestrial.	habitat
1207991	Terrestrial.	habitat
1207992	Terrestrial.	habitat
1207993	Terrestrial.	habitat
1207994	Terrestrial.	habitat
1207995	Terrestrial.	habitat
1208005	Terrestrial.	habitat
1208006	Terrestrial.	habitat
1208007	Terrestrial.	habitat
1208008	Terrestrial.	habitat
1208009	Terrestrial.	habitat
1208010	Terrestrial.	habitat
1208012	Terrestrial.	habitat
1208013	Terrestrial.	habitat
1208014	Terrestrial.	habitat
1208015	Terrestrial.	habitat
1208016	Terrestrial.	habitat
1208017	Terrestrial.	habitat
1208018	Terrestrial.	habitat
1208019	Terrestrial.	habitat
1208020	Terrestrial.	habitat
1208021	Terrestrial.	habitat
1208022	Terrestrial.	habitat
1208023	Terrestrial.	habitat
1208024	Terrestrial.	habitat
1208025	Terrestrial.	habitat
1208026	Terrestrial.	habitat
1208027	Terrestrial.	habitat
1208028	Terrestrial.	habitat
1208029	Terrestrial.	habitat
1208030	Terrestrial.	habitat
1208031	Terrestrial.	habitat
1208032	Terrestrial.	habitat
1208033	Terrestrial.	habitat
1208034	Terrestrial.	habitat
1208035	Terrestrial.	habitat
1208036	Terrestrial.	habitat
1208037	Terrestrial.	habitat
1208038	Terrestrial.	habitat
1208039	Terrestrial.	habitat
1208040	Terrestrial.	habitat
1208042	Terrestrial.	habitat
1208043	Terrestrial.	habitat
1208045	Terrestrial.	habitat
1208046	Terrestrial.	habitat
1208047	Terrestrial.	habitat
1208048	Terrestrial.	habitat
1208049	Terrestrial.	habitat
1208050	Terrestrial.	habitat
1208051	Terrestrial.	habitat
1208052	Terrestrial.	habitat
1208053	Terrestrial.	habitat
1208054	Terrestrial.	habitat
1208055	Terrestrial.	habitat
1208056	Terrestrial.	habitat
1208057	Terrestrial.	habitat
1208058	Terrestrial.	habitat
1208059	Terrestrial.	habitat
1208060	Terrestrial.	habitat
1208061	Terrestrial.	habitat
1208062	Terrestrial.	habitat
1208063	Terrestrial.	habitat
1208064	Terrestrial.	habitat
1208065	Terrestrial.	habitat
1208066	Terrestrial.	habitat
1208067	Terrestrial.	habitat
1208115	Terrestrial.	habitat
1208116	Terrestrial.	habitat
1208117	Terrestrial.	habitat
1208118	Terrestrial.	habitat
1208119	Terrestrial.	habitat
1208120	Terrestrial.	habitat
1208121	Terrestrial.	habitat
1208122	Terrestrial.	habitat
1208123	Terrestrial.	habitat
1208124	Terrestrial.	habitat
1208125	Terrestrial.	habitat
1208126	Terrestrial.	habitat
1208127	Terrestrial.	habitat
1208128	Terrestrial.	habitat
1208129	Terrestrial.	habitat
1208130	Terrestrial.	habitat
1208131	Terrestrial.	habitat
1208132	Terrestrial.	habitat
1208133	Terrestrial.	habitat
1208134	Terrestrial.	habitat
1208135	Terrestrial.	habitat
1208136	Terrestrial.	habitat
1208137	Terrestrial.	habitat
1208138	Terrestrial.	habitat
1208139	Terrestrial.	habitat
1208140	Terrestrial.	habitat
1208144	Terrestrial.	habitat
1208145	Terrestrial.	habitat
1208146	Terrestrial.	habitat
1208147	Terrestrial.	habitat
1208149	Terrestrial.	habitat
1208150	Terrestrial.	habitat
1208151	Terrestrial.	habitat
1208155	Terrestrial.	habitat
1208157	Terrestrial.	habitat
1208159	Terrestrial.	habitat
1208160	Terrestrial.	habitat
1208161	Terrestrial.	habitat
1208162	Terrestrial.	habitat
1208163	Terrestrial.	habitat
1208164	Terrestrial.	habitat
1208165	Terrestrial.	habitat
1208166	Terrestrial.	habitat
1208167	Terrestrial.	habitat
1208168	Terrestrial.	habitat
1208169	Terrestrial.	habitat
1208170	Terrestrial.	habitat
1208171	Terrestrial.	habitat
1208172	Terrestrial.	habitat
1208175	Terrestrial.	habitat
1208176	Terrestrial.	habitat
1208177	Terrestrial.	habitat
1208178	Terrestrial.	habitat
1208179	Terrestrial.	habitat
1208180	Terrestrial.	habitat
1208181	Terrestrial.	habitat
1208182	Terrestrial.	habitat
1208183	Terrestrial.	habitat
1208184	Terrestrial.	habitat
1208185	Terrestrial.	habitat
1208186	Terrestrial.	habitat
1208187	Terrestrial.	habitat
1208188	Terrestrial.	habitat
1208189	Terrestrial.	habitat
1208190	Terrestrial.	habitat
1208191	Terrestrial.	habitat
1208192	Terrestrial.	habitat
1208193	Terrestrial.	habitat
1208194	Terrestrial.	habitat
1208195	Terrestrial.	habitat
1208196	Terrestrial.	habitat
1208197	Terrestrial.	habitat
1208198	Terrestrial.	habitat
1208199	Terrestrial.	habitat
1208201	Terrestrial.	habitat
1208237	Terrestrial.	habitat
1208241	Terrestrial.	habitat
1208243	Terrestrial.	habitat
1208244	Terrestrial.	habitat
1208245	Terrestrial.	habitat
1208246	Terrestrial.	habitat
1208247	Terrestrial.	habitat
1208248	Terrestrial.	habitat
1208249	Terrestrial.	habitat
1208250	Terrestrial.	habitat
1208251	Terrestrial.	habitat
1208252	Terrestrial.	habitat
1208253	Terrestrial.	habitat
1208254	Terrestrial.	habitat
1208255	Terrestrial.	habitat
1208256	Terrestrial.	habitat
1208257	Terrestrial.	habitat
1208258	Terrestrial.	habitat
1208259	Terrestrial.	habitat
1208260	Terrestrial.	habitat
1208261	Terrestrial.	habitat
1208262	Terrestrial.	habitat
1208263	Terrestrial.	habitat
1208264	Terrestrial.	habitat
1208265	Terrestrial.	habitat
1208266	Terrestrial.	habitat
1208267	Terrestrial.	habitat
1208268	Terrestrial.	habitat
1208269	Terrestrial.	habitat
1208270	Terrestrial.	habitat
1208272	Terrestrial.	habitat
1208273	Terrestrial.	habitat
1208274	Terrestrial.	habitat
1208275	Terrestrial.	habitat
1208276	Terrestrial.	habitat
1208277	Terrestrial.	habitat
1208278	Terrestrial.	habitat
1208279	Terrestrial.	habitat
1208280	Terrestrial.	habitat
1208283	Terrestrial.	habitat
1208284	Terrestrial.	habitat
1208285	Terrestrial.	habitat
1208286	Terrestrial.	habitat
1208287	Terrestrial.	habitat
1208288	Terrestrial.	habitat
1208289	Terrestrial.	habitat
1208294	Terrestrial.	habitat
1208295	Terrestrial.	habitat
1208296	Terrestrial.	habitat
1208297	Terrestrial.	habitat
1208298	Terrestrial.	habitat
1208299	Terrestrial.	habitat
1208300	Terrestrial.	habitat
1208301	Terrestrial.	habitat
1208302	Terrestrial.	habitat
1208303	Terrestrial.	habitat
1208304	Terrestrial.	habitat
1208305	Terrestrial.	habitat
1208306	Terrestrial.	habitat
1208307	Terrestrial.	habitat
1208308	Terrestrial.	habitat
1208309	Terrestrial.	habitat
1208312	Terrestrial.	habitat
1208313	Terrestrial.	habitat
1208314	Terrestrial.	habitat
1208315	Terrestrial.	habitat
1208316	Terrestrial.	habitat
1208317	Terrestrial.	habitat
1208318	Terrestrial.	habitat
1208319	Terrestrial.	habitat
1208320	Terrestrial.	habitat
1208321	Terrestrial.	habitat
1208322	Terrestrial.	habitat
1208323	Terrestrial.	habitat
1208324	Terrestrial.	habitat
1208325	Terrestrial.	habitat
1208326	Terrestrial.	habitat
1208327	Terrestrial.	habitat
1208328	Terrestrial.	habitat
1208329	Terrestrial.	habitat
1208330	Terrestrial.	habitat
1208331	Terrestrial.	habitat
1208332	Terrestrial.	habitat
1208333	Terrestrial.	habitat
1208334	Terrestrial.	habitat
1208335	Terrestrial.	habitat
1208336	Terrestrial.	habitat
1208337	Terrestrial.	habitat
1208338	Terrestrial.	habitat
1208339	Terrestrial.	habitat
1208340	Terrestrial.	habitat
1208341	Terrestrial.	habitat
1208342	Terrestrial.	habitat
1208343	Terrestrial.	habitat
1208344	Terrestrial.	habitat
1208345	Terrestrial.	habitat
1208346	Terrestrial.	habitat
1208347	Terrestrial.	habitat
1208349	Terrestrial.	habitat
1208350	Terrestrial.	habitat
1208351	Terrestrial.	habitat
1208352	Terrestrial.	habitat
1208353	Terrestrial.	habitat
1208354	Terrestrial.	habitat
1208355	Terrestrial.	habitat
1208364	Terrestrial.	habitat
1208366	Terrestrial.	habitat
1208367	Terrestrial.	habitat
1208368	Terrestrial.	habitat
1208369	Terrestrial.	habitat
1208370	Terrestrial.	habitat
1208371	Terrestrial.	habitat
1208372	Terrestrial.	habitat
1208373	Terrestrial.	habitat
1208374	Terrestrial.	habitat
1208375	Terrestrial.	habitat
1208376	Terrestrial.	habitat
1208377	Terrestrial.	habitat
1208378	Terrestrial.	habitat
1208379	Terrestrial.	habitat
1208380	Terrestrial.	habitat
1208381	Terrestrial.	habitat
1208382	Terrestrial.	habitat
1208383	Terrestrial.	habitat
1208384	Terrestrial.	habitat
1208385	Terrestrial.	habitat
1208386	Terrestrial.	habitat
1208387	Terrestrial.	habitat
1208388	Terrestrial.	habitat
1208389	Terrestrial.	habitat
1208390	Terrestrial.	habitat
1208391	Terrestrial.	habitat
1208392	Terrestrial.	habitat
1208393	Terrestrial.	habitat
1208394	Terrestrial.	habitat
1208395	Terrestrial.	habitat
1208396	Terrestrial.	habitat
1208397	Terrestrial.	habitat
1208398	Terrestrial.	habitat
1208399	Terrestrial.	habitat
1208400	Terrestrial.	habitat
1208401	Terrestrial.	habitat
1208402	Terrestrial.	habitat
1208403	Terrestrial.	habitat
1208404	Terrestrial.	habitat
1208405	Terrestrial.	habitat
1208406	Terrestrial.	habitat
1208407	Terrestrial.	habitat
1208408	Terrestrial.	habitat
1208409	Terrestrial.	habitat
1208411	Terrestrial.	habitat
1208412	Terrestrial.	habitat
1208413	Terrestrial.	habitat
1208414	Terrestrial.	habitat
1208415	Terrestrial.	habitat
1208416	Terrestrial.	habitat
