uid	|	name	|	type	|	rank	|	
1207988	|	Hyginus consputus	|	synonym	|		|	
1207988	|	Hyginus semperi	|	synonym	|		|	
1208006	|	Heterogaster waltlii	|	synonym	|		|	
1208035	|	Heterogaster notatipes	|	synonym	|		|	
1208042	|	Phygas nepetae	|	synonym	|		|	
1208042	|	Heterogaster rufescens	|	synonym	|		|	
1208048	|	Heterogaster coronillae	|	synonym	|		|	
1208054	|	Phygas semicolon	|	synonym	|		|	
1208053	|	Heterogaster albidus	|	synonym	|		|	
1207970	|	Tamasanka	|	synonym	|		|	
1208131	|	Dinomachus nitidiusculus	|	synonym	|		|	
1208155	|	Ischnodemus strigatus	|	synonym	|		|	
1208196	|	Ischnodemus obsoletus	|	synonym	|		|	
1208198	|	Dimorphopterus thoracicus	|	synonym	|		|	
1208196	|	Micropus signoreti	|	synonym	|		|	
1208198	|	Pachymerus brevicornis	|	synonym	|		|	
1208192	|	Stenoblissus	|	synonym	|		|	
1208237	|	Dimorphopterus obscurus	|	synonym	|		|	
1208294	|	Micaredemus decolor	|	synonym	|		|	
1208530	|	Geoblissus rotundatus	|	synonym	|		|	
1208590	|	Ischnocoridella	|	synonym	|		|	
1208591	|	Ischnocoridella picipes	|	synonym	|		|	
1208192	|	Caenoblissus	|	synonym	|		|	
1208394	|	Ischnodemus punctiger	|	synonym	|		|	
1208400	|	Rhyparochromus punctatus	|	synonym	|		|	
1208462	|	Ischnodemus longus	|	synonym	|		|	
1208433	|	Ischnodemus macrotomus	|	synonym	|		|	
1208419	|	Ischnodemus macer	|	synonym	|		|	
1208419	|	Ischnodemus cahabonensis	|	synonym	|		|	
1208425	|	Pachymerus decurtatus	|	synonym	|		|	
1208441	|	Ischnodemus atlanticus	|	synonym	|		|	
1208441	|	Pachymerus parallelus	|	synonym	|		|	
1208453	|	Ischnodemus championi	|	synonym	|		|	
1208455	|	Ischnodemus pusillus	|	synonym	|		|	
1208457	|	Ischnodemus brevicornis	|	synonym	|		|	
1208506	|	Ischnodemus sauteri	|	synonym	|		|	
1208445	|	Ischnodemus atramedius	|	synonym	|		|	
1208459	|	[ ? ] flavitarsus	|	synonym	|		|	
1208390	|	Micropus	|	synonym	|		|	
1208506	|	Blissus kyushuensis	|	synonym	|		|	
1208545	|	Blissus validus	|	synonym	|		|	
1208545	|	Micropus leucopterus melanosus	|	synonym	|		|	
1208545	|	Rhyparochromus devastator	|	synonym	|		|	
1208545	|	Blissus albipennis	|	synonym	|		|	
1208192	|	Euhemerus	|	synonym	|		|	
1208192	|	Esmun	|	synonym	|		|	
1208593	|	Macropes humboldti	|	synonym	|		|	
1208607	|	Macropes fossor	|	synonym	|		|	
1208612	|	Ischnodemus centralis	|	synonym	|		|	
1208631	|	Macropes privus	|	synonym	|		|	
1208382	|	Macropes anthropophagorum	|	synonym	|		|	
1208604	|	Macropes fasciatus	|	synonym	|		|	
1208612	|	Macropes leucodermus	|	synonym	|		|	
1208631	|	Macropes abbreviatus	|	synonym	|		|	
1208612	|	Macropes singularis	|	synonym	|		|	
1220425	|	Macropes annamitus	|	synonym	|		|	
1208612	|	Macropes sinhalanus	|	synonym	|		|	
1208431	|	Macropes hedini	|	synonym	|		|	
1208596	|	Ischnomorphus	|	synonym	|		|	
1208663	|	Bochrus hoabinhensis	|	synonym	|		|	
1208663	|	Bochrus tonkinensis	|	synonym	|		|	
1208664	|	Anisosoma	|	synonym	|		|	
1208503	|	Neoblissus	|	synonym	|		|	
1208503	|	Mendocinia	|	synonym	|		|	
1208605	|	Rhabdomorphus	|	synonym	|		|	
1208697	|	Ischnodemus velutinus	|	synonym	|		|	
1208756	|	Engistus marmoratus	|	synonym	|		|	
