id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1207953	1207953	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:479751	1207953		Lygaeoidea		Animalia	superfamily		ICZN	valid			2016-11-17T07:09:00
1207954	1207954	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489687	1207954	1207953	Heterogastridae		Animalia	family		ICZN	valid			2016-11-18T07:57:00
1207956	1207956	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489862	1207956	1207954	Equatobursa	Zou. 1985.	Animalia	genus	Zou, 1985	ICZN	valid			2016-11-08T15:20:00
1207957	1207957	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489863	1207957	1207956	Equatobursa nigra	Zou, H.G. 1985. A new genus and species of Heterogastrinae from China (Hemiptera: Lygaeidae). Act. Scient. Nat. Univ. Nankaiensis	Animalia	species	Zou, 1985	ICZN	valid			2016-11-08T15:20:00
1207958	1207958	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489859	1207958	1207954	Walkothignus	Scudder, G.G.E. 1968. A new genus of Heterogastrinae (Hem. Lyg.) for Rhyparochromus strictus Walker, 1872. Entomol. Monthly Mag.	Animalia	genus	Scudder, 1968	ICZN	valid			2016-11-08T15:20:00
1207961	1207961	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489857	1207961	1207954	Woodwardothignus	Slater, J.A. 1981. Two new genera of Lygaeidae from Northern Australia including the first member of the Pamphantini from the Eastern Hemisphere (Hemiptera: Heteroptera). J. Aust. Entomol. Soc.	Animalia	genus	Slater, 1981	ICZN	valid			2016-11-08T15:20:00
1207962	1207962	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489858	1207962	1207961	Woodwardothignus gracilis	Slater, J.A. 1981. Two new genera of Lygaeidae from Northern Australia including the first member of the Pamphantini from the Eastern Hemisphere (Hemiptera: Heteroptera). J. Aust. Entomol. Soc.	Animalia	species	Slater, 1981	ICZN	valid			2016-11-08T15:20:00
1207963	1207963	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489853	1207963	1207954	Eranchiellus	Scudder, G.G.E. 1957. New genera and species of Heterogastrinae (Hemiptera, Lygaeidae) with a revision of the genus Dinomachus. Opusc. Ent.	Animalia	genus	Scudder, 1957	ICZN	valid			2016-11-08T15:20:00
1207964	1207964	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489856	1207964	1207963	Eranchiellus signandus	Scudder, G.G.E. 1957. New genera and species of Heterogastrinae (Hemiptera, Lygaeidae) with a revision of the genus Dinomachus. Opusc. Ent.	Animalia	species	Scudder, 1957	ICZN	valid			2016-11-08T15:20:00
1207965	1207965	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:489855	1207965	1207963	Eranchiellus slateri	Scudder, G.G.E. 1957. New genera and species of Heterogastrinae (Hemiptera, Lygaeidae) with a revision of the genus Dinomachus. Opusc. Ent.	Animalia	species	Scudder, 1957	ICZN	valid			2016-11-08T15:20:00
