uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1207953	|		|	Lygaeoidea	|	superfamily	|		|	
1207954	|	1207953	|	Heterogastridae	|	family	|		|	
1207956	|	1207954	|	Equatobursa	|	genus	|		|	
1207957	|	1207956	|	Equatobursa nigra	|	species	|		|	
1207958	|	1207954	|	Walkothignus	|	genus	|		|	
1207961	|	1207954	|	Woodwardothignus	|	genus	|		|	
1207962	|	1207961	|	Woodwardothignus gracilis	|	species	|		|	
1207963	|	1207954	|	Eranchiellus	|	genus	|		|	
1207964	|	1207963	|	Eranchiellus signandus	|	species	|		|	
1207965	|	1207963	|	Eranchiellus slateri	|	species	|		|	
1207966	|	1207954	|	Boccharis	|	genus	|		|	
1207967	|	1207966	|	Boccharis significatus	|	species	|		|	
1207968	|	1207954	|	Thyrothanus	|	genus	|		|	
1207969	|	1207968	|	Thyrothanus niger	|	species	|		|	
1207970	|	1207954	|	Masoas	|	genus	|		|	
1207971	|	1207970	|	Masoas transvaaliensis	|	species	|		|	
1207972	|	1207954	|	Heteropynellus	|	genus	|		|	
1207973	|	1207972	|	Heteropynellus tropicus	|	species	|		|	
1207974	|	1207954	|	Artemidorus	|	genus	|		|	
1207975	|	1207974	|	Artemidorus sobrinus	|	species	|		|	
1207976	|	1207974	|	Artemidorus myrmecodes	|	species	|		|	
1207977	|	1207974	|	Artemidorus pressus	|	species	|		|	
1207978	|	1207974	|	Artemidorus ornatus	|	species	|		|	
1207979	|	1207974	|	Artemidorus noctis	|	species	|		|	
1207980	|	1215251	|	Cholula	|	genus	|		|	
1207981	|	1207980	|	Cholula variegata	|	species	|		|	
1207982	|	1207980	|	Cholula bicolor	|	species	|		|	
1207983	|	1207980	|	Cholula discoloria	|	species	|		|	
1207984	|	1207980	|	Cholula triguttata	|	species	|		|	
1207985	|	1207954	|	Trinithignus	|	genus	|		|	
1207986	|	1207985	|	Trinithignus brevirostris	|	species	|		|	
1207987	|	1207954	|	Hyginus	|	genus	|		|	
1207988	|	1207987	|	Hyginus kinbergi	|	species	|		|	
1207991	|	1207987	|	Hyginus auricomus	|	species	|		|	
1207992	|	1207987	|	Hyginus guinensis	|	species	|		|	
1207993	|	1207987	|	Hyginus divisus	|	species	|		|	
1207994	|	1207987	|	Hyginus africanus	|	species	|		|	
1207995	|	1208023	|	Nerthus taivanicus	|	species	|		|	
1208005	|	1207954	|	Platyplax	|	genus	|		|	
1208006	|	1208005	|	Platyplax salviae	|	species	|		|	
1208008	|	1216656	|	Platyplax inermis inermis	|	subspecies	|		|	
1208009	|	1216656	|	Platyplax inermis meridionalis	|	subspecies	|		|	
1208012	|	1207954	|	Sadoletus	|	genus	|		|	
1208013	|	1208012	|	Sadoletus montanellus	|	species	|		|	
1208014	|	1208012	|	Sadoletus pallescens	|	species	|		|	
1208015	|	1208012	|	Sadoletus valdezi	|	species	|		|	
1208016	|	1208012	|	Sadoletus izzardi	|	species	|		|	
1208017	|	1208012	|	Sadoletus vulvatus	|	species	|		|	
1208018	|	1208012	|	Sadoletus montivagus	|	species	|		|	
1208019	|	1208012	|	Sadoletus voluptarius	|	species	|		|	
1208020	|	1208012	|	Sadoletus bakeri	|	species	|		|	
1208021	|	1208012	|	Sadoletus validus	|	species	|		|	
1208022	|	1208012	|	Sadoletus corvus	|	species	|		|	
1208023	|	1207954	|	Nerthus	|	genus	|		|	
1208024	|	1208023	|	Nerthus dudgeoni	|	species	|		|	
1208025	|	1208023	|	Nerthus kempi	|	species	|		|	
1208026	|	1207954	|	Parathyginus	|	genus	|		|	
1208027	|	1208026	|	Parathyginus doddi	|	species	|		|	
1208028	|	1208026	|	Parathyginus kurandae	|	species	|		|	
1208029	|	1208026	|	Parathyginus annulicornis	|	species	|		|	
1208030	|	1208026	|	Parathyginus signifer	|	species	|		|	
1208031	|	1208026	|	Parathyginus lugens	|	species	|		|	
1208032	|	1208026	|	Parathyginus comis	|	species	|		|	
1208033	|	1207954	|	Heterogaster	|	genus	|		|	
1208034	|	1211919	|	Pylorgus semicruciatus	|	species	|		|	
1208035	|	1208033	|	Heterogaster urticae	|	species	|		|	
1208037	|	1208033	|	Heterogaster canariensis	|	species	|		|	
1208038	|	1208033	|	Heterogaster parens	|	species	|		|	
1208039	|	1208033	|	Heterogaster cymoides	|	species	|		|	
1208040	|	1208033	|	Heterogaster flavicostus	|	species	|		|	
1208042	|	1216657	|	Heterogaster cathariae cathariae	|	subspecies	|		|	
1208043	|	1216657	|	Heterogaster cathariae bicolor	|	subspecies	|		|	
1208045	|	1216657	|	Heterogaster cathariae cinnamomeus	|	subspecies	|		|	
1208048	|	1208033	|	Heterogaster artemisiae	|	species	|		|	
1208050	|	1208033	|	Heterogaster behrensii	|	species	|		|	
1208051	|	1208033	|	Heterogaster nasutus	|	species	|		|	
1208052	|	1208033	|	Heterogaster longirostris	|	species	|		|	
1208053	|	1208033	|	Heterogaster distinctus	|	species	|		|	
1208054	|	1220423	|	Heterogaster affinis affinis	|	subspecies	|		|	
1208055	|	1220423	|	Heterogaster affinis rubricatus	|	subspecies	|		|	
1208058	|	1208033	|	Heterogaster antiquus	|	species	|		|	
1208059	|	1208033	|	Heterogaster breviscutatus	|	species	|		|	
1208060	|	1208033	|	Heterogaster famosus	|	species	|		|	
1208061	|	1208033	|	Heterogaster pumilio	|	species	|		|	
1208062	|	1208033	|	Heterogaster radobojanus	|	species	|		|	
1208063	|	1208033	|	Heterogaster redivivus	|	species	|		|	
1208064	|	1208033	|	Heterogaster tristis	|	species	|		|	
1208065	|	1208033	|	Heterogaster troglodytes	|	species	|		|	
1208067	|	1208033	|	Heterogaster muscorum	|	species	|		|	
1208115	|	1207954	|	Minigellus	|	genus	|		|	
1208116	|	1208115	|	Minigellus cheesmani	|	species	|		|	
1208117	|	1207954	|	Depressignus	|	genus	|		|	
1208118	|	1208117	|	Depressignus browni	|	species	|		|	
1208119	|	1207954	|	Hyginellus	|	genus	|		|	
1208120	|	1208119	|	Hyginellus fasciatus	|	species	|		|	
1208121	|	1208119	|	Hyginellus gayei	|	species	|		|	
1208123	|	1207970	|	Masoas limbata	|	species	|		|	
1208124	|	1207954	|	Dinomachus	|	genus	|		|	
1208125	|	1208124	|	Dinomachus majusculus	|	species	|		|	
1208126	|	1208124	|	Dinomachus ruandanus	|	species	|		|	
1208127	|	1208124	|	Dinomachus marshalli	|	species	|		|	
1208128	|	1208124	|	Dinomachus capeneri	|	species	|		|	
1208129	|	1208124	|	Dinomachus sikhimensis	|	species	|		|	
