id	locationID	locality
1182267	TDWG:IND	India
1182267	TDWG:NEP	Nepal
1182267	TDWG:SRL	Sri Lanka
1182267	TDWG:CBD	Cambodia
1182267	TDWG:MYA	Myanmar
1182267	TDWG:VIE	Vietnam
1182267	TDWG:BOR	Borneo
1182267	TDWG:SUM	Sumatera
1182267	TDWG:FIJ	Fiji
1182267	TDWG:BOL	Bolivia
1182267	TDWG:CLM	Colombia
1182267	TDWG:ECU	Ecuador
1182267	TDWG:PER	Peru
1182267	TDWG:80	Central America
1182267	TDWG:81	Caribbean
1182267	TDWG:82	Northern South America
1182267	TDWG:84	Brazil
1182267	TDWG:85	Southern South America
1182267	TDWG:1	Europe
1182267	TDWG:2	Africa
1182267	TDWG:3	Asia-Temperate
1182267	TDWG:5	Australasia
1182267	TDWG:7	Northern America
1182267	TDWG:43	Papuasia
1182268	TDWG:20	Northern Africa
1182269	TDWG:20	Northern Africa
1182270	TDWG:20	Northern Africa
1182274	TDWG:20	Northern Africa
1182275	TDWG:20	Northern Africa
1182380	TDWG:3	Asia-Temperate
1182380	TDWG:EGY	Egypt
1182381	TDWG:EGY	Egypt
1182381	TDWG:3	Asia-Temperate
1182382	TDWG:3	Asia-Temperate
1182382	TDWG:EGY	Egypt
1182385	TDWG:EGY	Egypt
1182386	TDWG:3	Asia-Temperate
1182387	TDWG:PAL	Palestine
1182388	TDWG:EGY	Egypt
1182473	TDWG:MOR	Morocco
1182473	TDWG:IVO	Ivory Coast
1182473	TDWG:TOG	Togo
1182473	TDWG:KEN	Kenya
1182473	TDWG:IND	India
1182473	TDWG:BOR	Borneo
1182473	TDWG:VIE	Vietnam
1182473	TDWG:SRL	Sri Lanka
1182473	TDWG:36	China
1182473	TDWG:23	West-Central Tropical Africa
1182473	TDWG:24	Northeast Tropical Africa
1182473	TDWG:26	South Tropical Africa
1182473	TDWG:27	Southern Africa
1182473	TDWG:43	Papuasia
1182474	TDWG:43	Papuasia
1182474	TDWG:27	Southern Africa
1182474	TDWG:SRL	Sri Lanka
1182474	TDWG:IND	India
1182474	TDWG:ANG	Angola
1182474	TDWG:MLW	Malawi
1182474	TDWG:ZAM	Zambia
1182474	TDWG:ZIM	Zimbabwe
1182474	TDWG:SOM	Somalia
1182474	TDWG:CAF	Central African Republic
1182474	TDWG:KEN	Kenya
1182474	TDWG:TOG	Togo
1182474	TDWG:IVO	Ivory Coast
1182474	TDWG:MOR	Morocco
1182475	TDWG:IND	India
1182475	TDWG:SRL	Sri Lanka
1182475	TDWG:43	Papuasia
1182476	TDWG:43	Papuasia
1182491	TDWG:43	Papuasia
1182534	TDWG:MOR	Morocco
1182534	TDWG:IVO	Ivory Coast
1182534	TDWG:TOG	Togo
1182534	TDWG:CAF	Central African Republic
1182534	TDWG:SOM	Somalia
1182534	TDWG:ZIM	Zimbabwe
1182535	TDWG:SOM	Somalia
1182535	TDWG:ZIM	Zimbabwe
1182535	TDWG:NAM	Namibia
1182535	TDWG:MLW	Malawi
1182535	TDWG:ANG	Angola
1182535	TDWG:TOG	Togo
1182535	TDWG:CAF	Central African Republic
1182535	TDWG:MOR	Morocco
1182535	TDWG:IVO	Ivory Coast
1182597	TDWG:SRL	Sri Lanka
1182597	TDWG:IND	India
1182598	TDWG:IND	India
1182599	TDWG:SRL	Sri Lanka
1182600	TDWG:36	China
1182619	TDWG:36	China
1182630	TDWG:27	Southern Africa
1182630	TDWG:KEN	Kenya
1182630	TDWG:ZAM	Zambia
1182646	TDWG:IND	India
1182647	TDWG:IND	India
1182655	TDWG:DOM	Dominican Republic
1182659	TDWG:DOM	Dominican Republic
1182660	TDWG:VIE	Vietnam
1182661	TDWG:VIE	Vietnam
1182663	TDWG:VIE	Vietnam
1182668	TDWG:36	China
1182669	TDWG:CHC	China South-central
1182718	TDWG:25	East Tropical Africa
1182737	TDWG:CHC	China South-central
1182739	TDWG:CHC	China South-central
1182785	TDWG:KEN	Kenya
1182785	TDWG:4	Asia-Tropical
1182785	TDWG:23	West-Central Tropical Africa
1182785	TDWG:24	Northeast Tropical Africa
1182785	TDWG:26	South Tropical Africa
1182785	TDWG:27	Southern Africa
1182787	TDWG:4	Asia-Tropical
1182790	TDWG:4	Asia-Tropical
1182791	TDWG:IND	India
1182792	TDWG:4	Asia-Tropical
1182793	TDWG:23	West-Central Tropical Africa
1182793	TDWG:24	Northeast Tropical Africa
1182793	TDWG:26	South Tropical Africa
1182793	TDWG:27	Southern Africa
1182793	TDWG:KEN	Kenya
1182805	TDWG:27	Southern Africa
1182806	TDWG:KEN	Kenya
1182807	TDWG:KEN	Kenya
1182840	TDWG:BOR	Borneo
1182848	TDWG:NEP	Nepal
1182848	TDWG:MDG	Madagascar
1182936	TDWG:NEP	Nepal
1182980	TDWG:NEP	Nepal
1182994	TDWG:NEP	Nepal
1182995	TDWG:NEP	Nepal
1182999	TDWG:MDG	Madagascar
1183000	TDWG:MDG	Madagascar
1183007	TDWG:MDG	Madagascar
1183010	TDWG:MDG	Madagascar
1183011	TDWG:MDG	Madagascar
1183012	TDWG:MDG	Madagascar
1183038	TDWG:MDG	Madagascar
1183043	TDWG:MDG	Madagascar
1183044	TDWG:MDG	Madagascar
1183045	TDWG:MDG	Madagascar
1183080	TDWG:50	Australia
1183080	TDWG:8	Southern America
1183081	TDWG:8	Southern America
1183081	TDWG:50	Australia
1183082	TDWG:50	Australia
1183082	TDWG:8	Southern America
1183083	TDWG:50	Australia
1183087	TDWG:QLD	Queensland
1183088	TDWG:QLD	Queensland
1183089	TDWG:50	Australia
