id	bibliographicCitation	title	creator	date	source	type
1182267	Fischer. 1853. Orthop. Europ. 118		Fischer	1853	Orthop. Europ.	publication
1182267	Stal. 1871. Ofvers. K. VetensAkad. Forh. Stockh. 28:382		Stal	1871	Ofvers. K. VetensAkad. Forh. Stockh.	publication
1182267	Bolivar. 1876. Sin. Orth. Espana 53		Bolivar	1876	Sin. Orth. Espana	publication
1182267	Brunner von Wattenwyl. 1882. Prodr. Eur. Orth. 54		Brunner von Wattenwyl	1882	Prodr. Eur. Orth.	publication
1182267	Wood-Mason. 1889. Cat. Mant. 1		Wood-Mason	1889	Cat. Mant.	publication
1182267	Brunner von Wattenwyl. 1893. Revis. Syst. Orth. 54		Brunner von Wattenwyl	1893	Revis. Syst. Orth.	publication
1182267	Saussure & Zehntner. 1895. Hist. Madag. 23:155		Saussure & Zehntner	1895	Hist. Madag.	publication
1182267	Tumpel. 1901. Geradfl. Mitteleur. Tumpel, Geradfl. Mitteleurop. 235		Tumpel	1901	Geradfl. Mitteleur. Tumpel, Geradfl. Mitteleurop.	publication
1182267	Jacobson & Bianki. 1905. Prem. i Lozhn. Ross. Imp. 144		Jacobson & Bianki	1905	Prem. i Lozhn. Ross. Imp.	publication
1182267	Giglio-Tos. 1914. Bull. Soc. ent. Ital. 45:5		Giglio-Tos	1914	Bull. Soc. ent. Ital.	publication
1182267	Handlirsch. 1925. Handb. Ent., Schröder 3:493		Handlirsch	1925	Handb. Ent., Schröder	publication
1182267	Giglio-Tos. 1927. Tierreich 50:9		Giglio-Tos	1927	Tierreich	publication
1182267	Hebard. 1935. Trans. Amer. Ent. Soc. 61:114		Hebard	1935	Trans. Amer. Ent. Soc.	publication
1182267	Werner. 1936. Zool. Anz. 114:14		Werner	1936	Zool. Anz.	publication
1182267	Hebard. 1950. Ent. News 48:219		Hebard	1950	Ent. News	publication
1182267	Kevan. 1953. Ann. Mag. nat. Hist. 12:809		Kevan	1953	Ann. Mag. nat. Hist.	publication
1182267	Chopard. 1954. Mem. Inst. fond. Afr. noire 40:17		Chopard	1954	Mem. Inst. fond. Afr. noire	publication
1182267	Knetchtel & et al. 1959. Fauna Repub. pop. rom. 7(4):318		Knetchtel & et al.	1959	Fauna Repub. pop. rom.	publication
