uid	|	name	|	type	|	rank	|	
1182270	|	Phlaebarodes	|	synonym	|		|	
1182272	|	kotschyi	|	synonym	|		|	
1182279	|	Blepharis	|	synonym	|		|	
1182282	|	marmorata	|	synonym	|		|	
1182285	|	Idolum	|	synonym	|		|	
1182287	|	diabroticum	|	synonym	|		|	
1182296	|	dilaticollis	|	synonym	|		|	
1182296	|	megalocephala	|	synonym	|		|	
1182296	|	murati	|	synonym	|		|	
1182300	|	Ampusa	|	synonym	|		|	
1182300	|	Phantoma	|	synonym	|		|	
1182305	|	Empusa dolosa	|	synonym	|		|	
1182307	|	Empusa pectinicornis	|	synonym	|		|	
1182307	|	hyalina	|	synonym	|		|	
1182311	|	Empusa pectinata	|	synonym	|		|	
1182311	|	Empusa brachyptera	|	synonym	|		|	
1182311	|	Empusa clavata	|	synonym	|		|	
1182311	|	Empusa egena	|	synonym	|		|	
1182311	|	Empusa europaea	|	synonym	|		|	
1182311	|	Empusa humbertiana	|	synonym	|		|	
1182311	|	Empusa occidentalis	|	synonym	|		|	
1182311	|	Empusa pauperata	|	synonym	|		|	
1182311	|	Empusa servillii	|	synonym	|		|	
1182311	|	Empusa spuria	|	synonym	|		|	
1182311	|	Empusa tricornis	|	synonym	|		|	
1182311	|	Empusa unicornis	|	synonym	|		|	
1182311	|	Empusa variabilis	|	synonym	|		|	
1182326	|	Empusa pennicornis attenuata	|	synonym	|		|	
1182326	|	Empusa pennicornis marginatus	|	synonym	|		|	
1182326	|	Mantis pallasiana	|	synonym	|		|	
1182326	|	Empusa pennicornis stolli	|	synonym	|		|	
1182340	|	Empusa pennicornis orientalis	|	synonym	|		|	
1182351	|	Empusa fronticornis	|	synonym	|		|	
1182351	|	Empusa nympha	|	synonym	|		|	
1182351	|	Empusa purpuripennis	|	synonym	|		|	
1182351	|	Empusa wahlbergi	|	synonym	|		|	
1182358	|	Gongylus flabellicornis	|	synonym	|		|	
1182363	|	Hypsicorypha guichardi	|	synonym	|		|	
1182363	|	Hypsicorypha juliae	|	synonym	|		|	
1182363	|	Hypsicorypha longifrons	|	synonym	|		|	
1182371	|	Hemiempusa phantasma	|	synonym	|		|	
1182375	|	Idolomorpha defoliata	|	synonym	|		|	
1182375	|	Idolomorpha spinifrons	|	synonym	|		|	
1182382	|	Centromantis	|	synonym	|		|	
1182382	|	Eremophila	|	synonym	|		|	
1182390	|	Eremiaphila dawydowi	|	synonym	|		|	
1182397	|	Eremiaphila laevifrons	|	synonym	|		|	
1182400	|	Eremiaphila sacra	|	synonym	|		|	
1182400	|	Eremiaphila hauensteini	|	synonym	|		|	
1182414	|	Eremiaphila burmeisteri	|	synonym	|		|	
1182414	|	Eremiaphila laevipennis	|	synonym	|		|	
1182419	|	Eremiaphila hralil	|	synonym	|		|	
1182419	|	Eremiaphila libyca	|	synonym	|		|	
1182426	|	Eremiaphila gracilis	|	synonym	|		|	
1182428	|	Eremiaphila sabulosa	|	synonym	|		|	
1182458	|	Eremiaphila ehrenbergi	|	synonym	|		|	
1182466	|	Heteronychotarsus	|	synonym	|		|	
1182466	|	Heteronytarsus	|	synonym	|		|	
1182487	|	Acromantis javana	|	synonym	|		|	
1182491	|	Acromantis westwoodi	|	synonym	|		|	
1182494	|	Acromantis formosa	|	synonym	|		|	
1182494	|	Acromantis parvula	|	synonym	|		|	
1182501	|	Phylloharpax	|	synonym	|		|	
1182507	|	Anasigerpes alluaudi	|	synonym	|		|	
1182507	|	Anasigerpes crassipes	|	synonym	|		|	
1182507	|	Anasigerpes modesta	|	synonym	|		|	
1182507	|	Anasigerpes roemeri	|	synonym	|		|	
1182512	|	Anasigerpes coxalis	|	synonym	|		|	
1182512	|	Anasigerpes punctata	|	synonym	|		|	
1182517	|	Anaxandra	|	synonym	|		|	
1182517	|	Parastatilia	|	synonym	|		|	
1182521	|	Anaxarcha grammica	|	synonym	|		|	
1182525	|	Anaxarcha parallela	|	synonym	|		|	
1182554	|	Anoplosigerpes	|	synonym	|		|	
1182534	|	Oxypiloidea Sigerpes	|	synonym	|		|	
1182539	|	Oxypiloidea (Oxypiloidea) erlangeri	|	synonym	|		|	
1182544	|	Oxypiloidea (Catasigerpes) niloticus	|	synonym	|		|	
1182552	|	Oxypiloidea (Oxypiloidea) subcornuta	|	synonym	|		|	
1182549	|	Oxypiloidea (Catasigerpes) toganus	|	synonym	|		|	
1182554	|	Uvarovmantis	|	synonym	|		|	
1182562	|	Chrysomantis centralis	|	synonym	|		|	
1182562	|	Chrysomantis cervoides	|	synonym	|		|	
1182533	|	Chrysomantis tristis	|	synonym	|		|	
1183155	|	Ephippiomantis	|	synonym	|		|	
1182568	|	Deiroharpax	|	synonym	|		|	
1182568	|	Paraspilota	|	synonym	|		|	
1182571	|	Heliomantis viridis	|	synonym	|		|	
1182574	|	Catestiasula	|	synonym	|		|	
1182574	|	Hestias	|	synonym	|		|	
1182591	|	Hestiasula sarawaca	|	synonym	|		|	
1182606	|	Odontomantis javana	|	synonym	|		|	
1182608	|	Odontomantis caffraria	|	synonym	|		|	
1182608	|	Odontomantis flavicincta	|	synonym	|		|	
1182608	|	Odontomantis marginalis	|	synonym	|		|	
1182600	|	Antissa	|	synonym	|		|	
1182600	|	Euantissa	|	synonym	|		|	
1182632	|	Otomantis xenocentrus	|	synonym	|		|	
1182636	|	Otomantis africana	|	synonym	|		|	
1182630	|	Acanthomantis	|	synonym	|		|	
1182646	|	Parahestiasula	|	synonym	|		|	
1182656	|	Epaphrodita dentifrons	|	synonym	|		|	
1182718	|	Attalia	|	synonym	|		|	
1182675	|	Chlidonoptera lunata	|	synonym	|		|	
1182672	|	Anabomistria	|	synonym	|		|	
1182672	|	Bomistria	|	synonym	|		|	
1182681	|	Chloroharpax ocellifer	|	synonym	|		|	
1182684	|	Congoharpax lobipes	|	synonym	|		|	
1182712	|	Congoharpax brunneri	|	synonym	|		|	
1182712	|	Creobroter sumatrana	|	synonym	|		|	
1182693	|	Creobroter inornatus	|	synonym	|		|	
1182695	|	Creobroter lobatus	|	synonym	|		|	
1182691	|	Creoboter	|	synonym	|		|	
1182691	|	Creobotra	|	synonym	|		|	
1182691	|	Creobrotra	|	synonym	|		|	
1182719	|	Galinthias hyalina	|	synonym	|		|	
1182719	|	Galinthias usambarica	|	synonym	|		|	
1182727	|	Harpagomantis cornuta	|	synonym	|		|	
1182727	|	Harpagomantis lobata	|	synonym	|		|	
1182727	|	Harpagomantis paradoxa	|	synonym	|		|	
1182727	|	Harpagomantis quadricornis	|	synonym	|		|	
1182727	|	Harpagomantis spinocula	|	synonym	|		|	
1182724	|	Australomantis	|	synonym	|		|	
1182724	|	Harpax	|	synonym	|		|	
1182737	|	Hymenopa	|	synonym	|		|	
1182742	|	Mystipola	|	synonym	|		|	
1182742	|	Propanurgica	|	synonym	|		|	
1182757	|	Pseudocreobotra ocellaria	|	synonym	|		|	
1182755	|	Theomantis	|	synonym	|		|	
1182770	|	Pseudoharpax laticollis	|	synonym	|		|	
1182778	|	Theopropus flavicans	|	synonym	|		|	
1182778	|	Theopropus praecontatrix	|	synonym	|		|	
1182735	|	Parymenopus	|	synonym	|		|	
1182736	|	Helvia davisoni	|	synonym	|		|	
1182735	|	Parhymenopus	|	synonym	|		|	
1182796	|	Junodia maculata	|	synonym	|		|	
1182799	|	Junodia olseni	|	synonym	|		|	
1182793	|	Euoxypilus	|	synonym	|		|	
1182810	|	Oxypilus (Oxypilus) distinctus	|	synonym	|		|	
1182829	|	Oxypilus (Anoxypilus) basilewskyi	|	synonym	|		|	
1182828	|	Oxypilus Setoxypilus	|	synonym	|		|	
1182835	|	Mantis nasutus	|	synonym	|		|	
1182837	|	Oxypilus (Anoxypilus) nigericus	|	synonym	|		|	
1182840	|	Echinomastoharpax	|	synonym	|		|	
1182846	|	Pseudoxypilus neuroptera	|	synonym	|		|	
1182875	|	Hapalomantis (Hapalomantis) meridionalis	|	synonym	|		|	
1182873	|	Hapalomantis Eubolbe	|	synonym	|		|	
1182895	|	Tarachina nana	|	synonym	|		|	
1182899	|	Tarachina australis	|	synonym	|		|	
1182923	|	Hapalopezella bispinosa	|	synonym	|		|	
1182923	|	Hapalopezella ceylonica	|	synonym	|		|	
1182922	|	Diacanthomantis	|	synonym	|		|	
1182931	|	Tricondylomimus	|	synonym	|		|	
1182940	|	Calofulcinia chloeon	|	synonym	|		|	
1182946	|	Calofulcinia affinis	|	synonym	|		|	
1182938	|	Burgersia	|	synonym	|		|	
1182938	|	Rawarena	|	synonym	|		|	
1182951	|	Fulcinia variegata	|	synonym	|		|	
1182950	|	Fulcinea	|	synonym	|		|	
1182950	|	Oxyfulcinia	|	synonym	|		|	
1182950	|	Papupopa	|	synonym	|		|	
1182963	|	Fulciniella viduus	|	synonym	|		|	
1182963	|	Fulciniella minor	|	synonym	|		|	
1182961	|	Diafulcinia	|	synonym	|		|	
1182969	|	Fulciniola variipennis	|	synonym	|		|	
1182985	|	Gyrothespis	|	synonym	|		|	
1182985	|	Profulcinia	|	synonym	|		|	
1183008	|	Hyalomantis punctata	|	synonym	|		|	
1183021	|	Miromantis miranda	|	synonym	|		|	
1183019	|	Ormomantis	|	synonym	|		|	
1183026	|	Luteomantis	|	synonym	|		|	
1183038	|	Ichromantis	|	synonym	|		|	
1183049	|	Tropidomantis (Tropidomantis) perla	|	synonym	|		|	
1183055	|	Oligocanthopus	|	synonym	|		|	
1183055	|	Pliacanthopus	|	synonym	|		|	
1183055	|	Polyacanthopus	|	synonym	|		|	
