id	description	type
1220572	Terrestrial.	habitat
1220573	Terrestrial.	habitat
1220574	Terrestrial.	habitat
1220575	Terrestrial.	habitat
1220576	Terrestrial.	habitat
1220577	Terrestrial.	habitat
1220578	Terrestrial.	habitat
1220579	Terrestrial.	habitat
1220580	Terrestrial.	habitat
1220581	Terrestrial.	habitat
1220582	Terrestrial.	habitat
1220583	Terrestrial.	habitat
1220584	Terrestrial.	habitat
1220585	Terrestrial.	habitat
1220586	Terrestrial.	habitat
1220587	Terrestrial.	habitat
1220588	Terrestrial.	habitat
1220589	Terrestrial.	habitat
1220590	Terrestrial.	habitat
1220591	Terrestrial.	habitat
1220592	Terrestrial.	habitat
1220593	Terrestrial.	habitat
1220594	Terrestrial.	habitat
1220595	Terrestrial.	habitat
1220596	Terrestrial.	habitat
1220597	Terrestrial.	habitat
1220598	Terrestrial.	habitat
1220599	Terrestrial.	habitat
1220600	Terrestrial.	habitat
1220601	Terrestrial.	habitat
1220602	Terrestrial.	habitat
1220603	Terrestrial.	habitat
1220604	Terrestrial.	habitat
1220605	Terrestrial.	habitat
1220606	Terrestrial.	habitat
1220607	Terrestrial.	habitat
1220608	Terrestrial.	habitat
1220609	Terrestrial.	habitat
1220610	Terrestrial.	habitat
1220611	Terrestrial.	habitat
1220612	Terrestrial.	habitat
1220613	Terrestrial.	habitat
1220614	Terrestrial.	habitat
1220615	Terrestrial.	habitat
1220616	Terrestrial.	habitat
1220689	Terrestrial.	habitat
1220690	Terrestrial.	habitat
1220694	Terrestrial.	habitat
1220695	Terrestrial.	habitat
1220696	Terrestrial.	habitat
1220699	Terrestrial.	habitat
1220700	Terrestrial.	habitat
1220701	Terrestrial.	habitat
1223802	Terrestrial.	habitat
1220586	Holotype.	typematerial
1220587	Holotype.	typematerial
1220588	Holotype.	typematerial
1220589	Holotype.	typematerial
1220600	Holotype.	typematerial
1220602	Holotype.	typematerial
1220603	Holotype.	typematerial
1220604	Holotype.	typematerial
1220605	Holotype.	typematerial
1220606	Holotype.	typematerial
1220607	Holotype.	typematerial
1220609	Holotype.	typematerial
1220610	Holotype.	typematerial
1220611	Holotype.	typematerial
1220612	Holotype.	typematerial
1220613	Holotype.	typematerial
1220614	Holotype.	typematerial
1220615	Holotype.	typematerial
1220616	Holotype.	typematerial
1220690	Holotype.	typematerial
1220699	Holotype.	typematerial
1220701	Holotype.	typematerial
