id	isExtinct	livingPeriod
1220572	FALSE	
1220573	FALSE	
1220574	TRUE	Fossil
1220575	FALSE	
1220576	FALSE	
1220577	TRUE	Fossil
1220578	TRUE	Cenozoic
1220579	TRUE	Fossil
1220580	FALSE	
1220581	FALSE	
1220582	FALSE	
1220583	FALSE	
1220584	FALSE	
1220585	TRUE	Fossil
1220586	TRUE	Cenozoic
1220587	TRUE	Fossil
1220588	TRUE	Fossil
1220589	FALSE	
1220590	FALSE	
1220591	FALSE	
1220592	FALSE	
1220593	FALSE	
1220594	FALSE	
1220595	FALSE	
1220596	FALSE	
1220597	FALSE	
1220598	FALSE	
1220599	FALSE	
1220600	TRUE	Fossil
1220601	TRUE	unspecified
1220602	FALSE	
1220603	FALSE	
1220604	FALSE	
1220605	FALSE	
1220606	FALSE	
1220607	FALSE	
1220608	FALSE	
1220609	FALSE	
1220610	FALSE	
1220611	FALSE	
1220612	FALSE	
1220613	FALSE	
1220614	FALSE	
1220615	FALSE	
1220616	FALSE	
1220689	TRUE	Fossil
1220690	TRUE	Fossil
1220694	FALSE	
1220695	FALSE	
1220696	FALSE	
1220699	FALSE	
1220700	FALSE	
1220701	FALSE	
1223802	FALSE	
