id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1220572	1220572	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469037	1220572		Mantophasmatodea		Animalia	order		ICZN	valid			2015-12-02T11:43:00
1220573	1220573	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469041	1220573	1220572	Mantophasmatidae	Zompro, Klass, Kristensen & Adis. 2002. In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics. Science 296	Animalia	family	Zompro, Klass, Kristensen & Adis, 2002	ICZN	valid			2015-12-02T11:43:00
1220574	1220574	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469038	1220574	1220572	Ensiferophasmatidae	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116	Animalia	family	Zompro, 2005	ICZN	valid			2014-12-16T16:02:00
1220575	1220575	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469087	1220575	1220573	Tanzaniophasmatinae	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	subfamily	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220576	1220576	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469051	1220576	1220573	Mantophasmatinae	Zompro, Klass, Kristensen & Adis. 2002. In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics. Science 296	Animalia	subfamily	Zompro, Klass, Kristensen & Adis, 2002	ICZN	valid		Author of subfamily should be Zompro, 2005 (?)	2015-12-02T11:43:00
1220577	1220577	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469045	1220577	1220573	Raptophasmatinae	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116	Animalia	subfamily	Zompro, 2005	ICZN	valid			2014-12-17T12:00:00
1220578	1220578	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469042	1220578	1220573	Adicophasma	Engel & Grimaldi. 2004. A New Rock Crawler in Baltic Amber, with Comments on the Order (Mantophasmatodea: Mantophasmatidae). American Museum Novitates 3431:11 pp., 4 figs., 1 tbl.	Animalia	genus	Engel & Grimaldi, 2004	ICZN	valid			2014-12-17T13:24:00
1220579	1220579	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469039	1220579	1220574	Ensiferophasma	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116	Animalia	genus	Zompro, 2005	ICZN	valid			2015-01-12T12:12:00
1220580	1220580	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469091	1220575	1220573	Tanzaniophasmatidae	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	family	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	junior synonym			2015-12-02T11:43:00
1220581	1220581	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469088	1220581	1220575	Tanzaniophasma	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	genus	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
