id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1220573	typeGenus	Zompro, Klass, Kristensen & Adis. 2002. In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics. Science 296	Mantophasmatidae Zompro, Klass, Kristensen & Adis, 2002								
1220574	typeGenus	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116	†Ensiferophasmatidae Zompro, 2005								
1220577	typeGenus	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116	†Raptophasmatinae Zompro, 2005								
1220580	typeGenus	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Tanzaniophasmatidae Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220583	typeGenus	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116	Tyrannophasmatini Zompro, 2005								
1220594	typeGenus	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Austrophasmatidae Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220578	typeSpecies	Engel & Grimaldi. 2004. A New Rock Crawler in Baltic Amber, with Comments on the Order (Mantophasmatodea: Mantophasmatidae). American Museum Novitates 3431:4	Adicophasma spinosa Engel & Grimaldi, 2004								
1220579	typeSpecies	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:91	Ensiferophasma velociraptor Zompro, 2005								
1220581	typeSpecies	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):1456	Mantophasma subsolana Zompro, Klass, Kristensen & Adis, 2002								
1220585	typeSpecies	Zompro. 2001. The Phasmatodea and Raptophasma n. gen., Orthoptera incertae sedis, in Baltic Amber (Insecta: Orthoptera). Mitteilungen des Geologisch-Paläontologischen Institutes der Universität Hamburg (Mitt. Geol. Paläont. Inst. Univ. Hamb.) 85:257	Raptophasma kerneggeri Zompro, 2001								
1220590	typeSpecies	Zompro, Klass, Kristensen & Adis. 2002. In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics. Science 296:1456	Mantophasma zephyra Zompro, Klass, Kristensen & Adis, 2002								
1220591	typeSpecies	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):50	Sclerophasma paresisensis Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220592	typeSpecies	Zompro & Adis. 2002. In Zompro, Adis & Weitschat. A Review of the Order Mantophasmatodea (Insecta). Zoologischer Anzeiger (Zool. Anz.) 241:274	Praedatophasma maraisi Zompro & Adis, 2002								
1220593	typeSpecies	Zompro. 2003. In Zompro, Adis, Bragg, Naskrecki, Meakin, Wittneben & Saxe. A new genus and species of Mantophasmatidae (Insecta: Mantophasmatodea) from the Brandberg Massif, Namibia, with notes on behaviour. Cimbebasia 19(December):17	Tyrannophasma gladiator Zompro, 2003								
1220595	typeSpecies	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):28	Austrophasma caledonensis Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220596	typeSpecies	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):35	Lobophasma redelinghuysensis Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220597	typeSpecies	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):39	Hemilobophasma montaguensis Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220598	typeSpecies	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):41	Karoophasma biedouwensis Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220599	typeSpecies	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):46	Namaquaphasma ookiepensis Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220689	typeSpecies	Huang, Nel, Zompro & Waller. 2008. Mantophasmatodea now in the Jurassic. Naturwissenschaften 95(10):948	Juramantophasma sinica Huang, Nel, Zompro & Waller, 2008								
1220694	typeSpecies	Eberhard, M. J. B., Picker & Klass. 2011. Sympatry in Mantophasmatodea, with the description of a new species and phylogenetic considerations. Organisms Diversity & Evolution (ODE) 11(1):46	Viridiphasma clanwilliamense Eberhard, Picker & Klass, 2011								
1220696	typeSpecies	Wipfler, Pohl & Predel. 2012. Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia. Zookeys 166:78-87, Figs. 2-10	Striatophasma naukluftense Wipfler, Pohl & Predel, 2012								
1220700	typeSpecies	Wipfler, Pohl & Predel. 2012. Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia. Zookeys 166:87-94, Figs. 11-18	Pachyphasma brandbergense Wipfler, Pohl & Predel, 2012								
1223802	typeSpecies	Damgaard, Klass, Picker & Buder. 2008. Phylogeny of the Heelwalkers (Insecta: Mantophasmatodea) based on mtDNA sequences, with evidence for additional taxa in South Africa. Molecular Phylogenetics and Evolution (MPE) 47(2):35	Lobophasma redelinghuysensis Klass, Picker, Damgaard, van Noort & Tojo, 2003								
1220586	holotype	Engel & Grimaldi. 2004. A New Rock Crawler in Baltic Amber, with Comments on the Order (Mantophasmatodea: Mantophasmatidae). American Museum Novitates 3431:11 pp., 4 figs., 1 tbl.	Adicophasma spinosa Engel & Grimaldi, 2004	AMNH	Blau Erde (B-1025)	Europe, East Europe: Baltic Amber	female				
1220587	holotype	Arillo & Engel. 2006. Rock Crawlers in Baltic Amber (Notoptera: Mantophasmatodea). American Museum Novitates 3539:10 pp. 5 figs., 2 tbls.	Adicophasma grylloblattoides Arillo & Engel, 2006	MCNA	MCNA 10686		female				
1220588	holotype	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116	Ensiferophasma velociraptor Zompro, 2005	GMUH	4272		male				
1220589	holotype	Zompro, Klass, Kristensen & Adis. 2002. In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics. Science 296	Mantophasma subsolana Zompro, Klass, Kristensen & Adis, 2002	MZLU		East Tropical Africa, Tanzania: Tanganyika [Tanzania] Ufipa Dish, L. Zwela	male	H.O. Backlund	March 22, 1950		
1220600	holotype	Zompro. 2001. The Phasmatodea and Raptophasma n. gen., Orthoptera incertae sedis, in Baltic Amber (Insecta: Orthoptera). Mitteilungen des Geologisch-Paläontologischen Institutes der Universität Hamburg (Mitt. Geol. Paläont. Inst. Univ. Hamb.) 85:229-261	Raptophasma kerneggeri Zompro, 2001	GPIH	4299	East Europe, Baltic States: Baltic Amber	female	Kernegger			
