uid	|	name	|	type	|	rank	|	
1100049	|	Acridioidea	|	synonym	|		|	
1100052	|	Tridactyliens	|	synonym	|		|	
1100052	|	Tridactyloides	|	synonym	|		|	
1100074	|	Mirhipipteryx pronotumpunctata	|	synonym	|		|	
1100099	|	Gryrhipipteryx	|	synonym	|		|	
1100099	|	Rhipipteryx	|	synonym	|		|	
1100099	|	Rhipipterix	|	synonym	|		|	
1100126	|	Rhipipteryx circumcincta	|	synonym	|		|	
1100128	|	Ripipteryx brullei	|	synonym	|		|	
1100128	|	Ripipteryx chopardi	|	synonym	|		|	
1100128	|	Tridactylus marginatus	|	synonym	|		|	
1100147	|	Ripipteryx schunkei	|	synonym	|		|	
1100150	|	Rhipipteryx biolleyi intermedia	|	synonym	|		|	
1100153	|	Ripipteryx fraterna	|	synonym	|		|	
1100153	|	Ripipteryx fraterna rufescens	|	synonym	|		|	
1100099	|	Ripipterix	|	synonym	|		|	
1100056	|	Rhipipteryginae	|	synonym	|		|	
1100055	|	Rhipipterygidae	|	synonym	|		|	
1100164	|	Cylindrodites	|	synonym	|		|	
1100164	|	Cylindrodidae	|	synonym	|		|	
1100167	|	Cylindrodes	|	synonym	|		|	
1100179	|	Cylindracheta psammophila	|	synonym	|		|	
1100182	|	Cylindraustralia parakochia minor	|	synonym	|		|	
1100164	|	Cylindrachetidea	|	synonym	|		|	
1100223	|	Monodactylus	|	synonym	|		|	
1100230	|	Afrotridactylus flavidorsum	|	synonym	|		|	
1100242	|	Tridactylus savignyi major	|	synonym	|		|	
1100242	|	Tridactylus savignyi	|	synonym	|		|	
1100266	|	Ellipes muticus	|	synonym	|		|	
1218031	|	Ellipes minutus floridanus	|	synonym	|		|	
1218031	|	Tridactylus (Heteropus) histrio	|	synonym	|		|	
1100278	|	Ellipes gurneyi alamellata	|	synonym	|		|	
1100278	|	Ellipes gurneyi nigrofemurata	|	synonym	|		|	
1100261	|	Ellipes gambardellai	|	synonym	|		|	
1100286	|	Xya apicalis	|	synonym	|		|	
1100286	|	Tridactylus fissipes	|	synonym	|		|	
1100286	|	Tridactylus illinoiensis	|	synonym	|		|	
1100286	|	Tridactylus incertus	|	synonym	|		|	
1100286	|	Xya mixta	|	synonym	|		|	
1100286	|	Tridactylus terminalis	|	synonym	|		|	
1100286	|	Tridactylus tibialis	|	synonym	|		|	
1100295	|	Tridactylus atratus	|	synonym	|		|	
1100295	|	Tridactylus latipes	|	synonym	|		|	
1100313	|	Tridactylus musicus	|	synonym	|		|	
1100313	|	Tridactylus tantillus	|	synonym	|		|	
1100319	|	Acheta digitata	|	synonym	|		|	
1100319	|	Heteropus africanus	|	synonym	|		|	
1100311	|	Heteropus	|	synonym	|		|	
1100311	|	Trydactylus	|	synonym	|		|	
1100342	|	Xya dreyfus	|	synonym	|		|	
1100357	|	Xya obscura	|	synonym	|		|	
1100366	|	Tridactylus ceylonica	|	synonym	|		|	
1100368	|	Tridactylus flavomaculatus	|	synonym	|		|	
1100379	|	Tridactylus indistinctus	|	synonym	|		|	
1100379	|	Tridactylus musicus	|	synonym	|		|	
1100379	|	Xya pfaendleri palaestinae	|	synonym	|		|	
1100398	|	Cratodactyus	|	synonym	|		|	
1100228	|	Tridactyinae	|	synonym	|		|	
1100190	|	Tridactylites	|	synonym	|		|	
1100190	|	Tridactyles	|	synonym	|		|	
1100422	|	Tetrigidea	|	synonym	|		|	
1100424	|	Tettigidae	|	synonym	|		|	
1100424	|	Tettiginae	|	synonym	|		|	
1100424	|	Acrydiinae	|	synonym	|		|	
1100428	|	Cassitettinae	|	synonym	|		|	
1100441	|	Apteropedon	|	synonym	|		|	
1100443	|	Apteropedon apicale	|	synonym	|		|	
1100436	|	Tettigidea gracilicornis	|	synonym	|		|	
1100436	|	Batrachidea notata	|	synonym	|		|	
1100432	|	Bathachidea	|	synonym	|		|	
1100450	|	Paurotarsus rugosus	|	synonym	|		|	
1100450	|	Paurotarsus amazonus	|	synonym	|		|	
1100470	|	Cassitettix	|	synonym	|		|	
1100473	|	Saussurella brunneri	|	synonym	|		|	
1100473	|	Tettix cucullifera	|	synonym	|		|	
1100477	|	Saussurella cornifrons	|	synonym	|		|	
1100477	|	Saussurella sumatrensis	|	synonym	|		|	
1100489	|	Scaria laeta	|	synonym	|		|	
1100503	|	Tettigidea apiculata	|	synonym	|		|	
1100503	|	Tettigidea spicata	|	synonym	|		|	
1100508	|	Tettigidea parvula	|	synonym	|		|	
1100523	|	Tettigidea prorsa elongata	|	synonym	|		|	
1100532	|	Tettigidea chichimeca australis	|	synonym	|		|	
1100535	|	Tettigidea lateralis medialis	|	synonym	|		|	
1100535	|	Tetrix parvipennis	|	synonym	|		|	
1100535	|	Tettigidea parvipennis pennata	|	synonym	|		|	
1100535	|	Tetrix polymorpha	|	synonym	|		|	
1100542	|	Tettigidea jalapa	|	synonym	|		|	
1100545	|	Tettigidea davisi	|	synonym	|		|	
1100545	|	Tettigidea armata depressa	|	synonym	|		|	
1100557	|	Lophotettix	|	synonym	|		|	
1100561	|	Palaioscaria calosoma intermedia	|	synonym	|		|	
1100563	|	Palaioscaria buergersi	|	synonym	|		|	
1100567	|	Ascetotettix helwigi	|	synonym	|		|	
1100572	|	Phloeonotus carinata	|	synonym	|		|	
1100572	|	Tettix jugata	|	synonym	|		|	
1100572	|	Phloeonotus sinuatus	|	synonym	|		|	
1100572	|	Phloeonotus natalensis	|	synonym	|		|	
1100569	|	Phloenotus	|	synonym	|		|	
1100428	|	Batrachinae	|	synonym	|		|	
1100428	|	Cassitettiginae	|	synonym	|		|	
1100428	|	Cassitettinini	|	synonym	|		|	
1100428	|	Batrachideae	|	synonym	|		|	
1100428	|	Batrachidinae	|	synonym	|		|	
1100428	|	Batrachideidae	|	synonym	|		|	
1100594	|	Paraxelpa	|	synonym	|		|	
1100598	|	Phyllonotus westwoodi	|	synonym	|		|	
1100598	|	Choriphyllum westwoodi	|	synonym	|		|	
1100597	|	Zaphyllonotum	|	synonym	|		|	
1100597	|	Phyllonotus	|	synonym	|		|	
1100612	|	Pseudohancockia	|	synonym	|		|	
1100629	|	Chorophyllum	|	synonym	|		|	
1100629	|	Chloriphyllum	|	synonym	|		|	
1100637	|	Cladonotella insulana	|	synonym	|		|	
1100650	|	Bantutettix	|	synonym	|		|	
1100653	|	Tettix alienus	|	synonym	|		|	
1100653	|	Dasyleurotettix curriei	|	synonym	|		|	
1100653	|	Tettix impressus	|	synonym	|		|	
1100653	|	Prototettix umbripennis	|	synonym	|		|	
1100658	|	Prototettix fossulatus	|	synonym	|		|	
1100650	|	Liotettix	|	synonym	|		|	
1100650	|	Prototettix	|	synonym	|		|	
1100650	|	Rytinatettix	|	synonym	|		|	
1100670	|	Deltonotus tectiformis	|	synonym	|		|	
1100665	|	Poecilotettix	|	synonym	|		|	
1100673	|	Formosatettix tianlinensis	|	synonym	|		|	
1218367	|	Piezotettix truncatus	|	synonym	|		|	
1100705	|	Plagiocephalus	|	synonym	|		|	
1100708	|	Gestroa	|	synonym	|		|	
1100713	|	Broukus	|	synonym	|		|	
1100713	|	Hancockia	|	synonym	|		|	
1100724	|	Hymenotes bolivari	|	synonym	|		|	
1100730	|	Pelusca neavei	|	synonym	|		|	
1101076	|	Pseudogignotettix	|	synonym	|		|	
1100752	|	Tettilobus spinifrons	|	synonym	|		|	
1100750	|	Mnema	|	synonym	|		|	
1100785	|	Cladonotus appendiculatus	|	synonym	|		|	
1100792	|	Tettix cultatrix	|	synonym	|		|	
1100800	|	Misythus histrionicus	|	synonym	|		|	
1100778	|	Mysithus	|	synonym	|		|	
1100829	|	Haitianotettix monstruosus	|	synonym	|		|	
1100584	|	Cladonotae	|	synonym	|		|	
1100584	|	Cladonotidae	|	synonym	|		|	
1232121	|	Cleostratinae	|	synonym	|		|	
1232121	|	Cleostratae	|	synonym	|		|	
1100999	|	Phelene	|	synonym	|		|	
1100999	|	Gladiotettix	|	synonym	|		|	
1100999	|	Nephele	|	synonym	|		|	
1100860	|	Gladiotettix unicristata	|	synonym	|		|	
1100851	|	Lophotettigiae	|	synonym	|		|	
1100864	|	Amorphopinae	|	synonym	|		|	
1100870	|	Hyboella siebersi	|	synonym	|		|	
1100892	|	Mazarredia indotata	|	synonym	|		|	
1100894	|	Mazarredia latifrons	|	synonym	|		|	
1100894	|	Hedotettix rugulosus	|	synonym	|		|	
1100958	|	Allotettix chipmani	|	synonym	|		|	
1100955	|	Aliotettix	|	synonym	|		|	
1100970	|	Tetrix cnemidotus	|	synonym	|		|	
1100970	|	Amorphopus caiman	|	synonym	|		|	
1100967	|	Amorphopa	|	synonym	|		|	
1101269	|	Corystotettix	|	synonym	|		|	
1101270	|	Corystotettix javanicus	|	synonym	|		|	
1101018	|	Sclerotettix	|	synonym	|		|	
1101031	|	Sclerotettix abbreviatus	|	synonym	|		|	
1101059	|	Mazarredia bürgersi	|	synonym	|		|	
1101068	|	Mitrariella	|	synonym	|		|	
1101071	|	Thymoites	|	synonym	|		|	
1101071	|	Molucasia	|	synonym	|		|	
1101071	|	Thymoitus	|	synonym	|		|	
1101076	|	Clivitettix	|	synonym	|		|	
1101076	|	Xistrelia	|	synonym	|		|	
1101099	|	Macromotettix sukitsuense	|	synonym	|		|	
1101096	|	Mactomotettix	|	synonym	|		|	
1101160	|	Prosoaltus oculatus	|	synonym	|		|	
1101171	|	Platytettix	|	synonym	|		|	
1101171	|	Tylotettix	|	synonym	|		|	
1101187	|	Mitraria	|	synonym	|		|	
1101187	|	Mitritettix	|	synonym	|		|	
