uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1100048	|		|	Orthoptera	|	order	|		|	
1100049	|	1100048	|	Caelifera	|	suborder	|		|	
1100051	|	1100049	|	Tridactylidea	|	infraorder	|		|	
1100052	|	1100051	|	Tridactyloidea	|	superfamily	|		|	
1100055	|	1100052	|	Ripipterygidae	|	family	|		|	
1100056	|	1100055	|	Ripipteryginae	|	subfamily	|		|	
1100057	|	1100056	|	Mirhipipteryx	|	genus	|		|	
1100058	|	1100057	|	Mirhipipteryx acuminata	|	species	|		|	
1100059	|	1100057	|	Mirhipipteryx andensis	|	species	|		|	
1100060	|	1100057	|	Mirhipipteryx disparilobata	|	species	|		|	
1100061	|	1100057	|	Mirhipipteryx hebardi	|	species	|		|	
1100062	|	1100057	|	Mirhipipteryx hondurica	|	species	|		|	
1100063	|	1100057	|	Mirhipipteryx hubbelli	|	species	|		|	
1100064	|	1100057	|	Mirhipipteryx imperfecta	|	species	|		|	
1100065	|	1100057	|	Mirhipipteryx lineata	|	species	|		|	
1100066	|	1100065	|	Mirhipipteryx lineata lineata	|	subspecies	|		|	
1100067	|	1100065	|	Mirhipipteryx lineata anchicayensis	|	subspecies	|		|	
1100068	|	1100057	|	Mirhipipteryx lobata	|	species	|		|	
1100069	|	1100057	|	Mirhipipteryx lucieni	|	species	|		|	
1100070	|	1100057	|	Mirhipipteryx magdalenensis	|	species	|		|	
1100071	|	1100057	|	Mirhipipteryx panamica	|	species	|		|	
1100072	|	1100057	|	Mirhipipteryx peruviana	|	species	|		|	
1100073	|	1100057	|	Mirhipipteryx phallica	|	species	|		|	
1100074	|	1100057	|	Mirhipipteryx pronotopunctata	|	species	|		|	
1100076	|	1100057	|	Mirhipipteryx schuchmanni	|	species	|		|	
1100077	|	1100057	|	Mirhipipteryx striatipes	|	species	|		|	
1100078	|	1100057	|	Mirhipipteryx triangulata	|	species	|		|	
1100079	|	1100057	|	Mirhipipteryx unispinosa	|	species	|		|	
1100080	|	1100057	|	Mirhipipteryx variabilis	|	species	|		|	
1100081	|	1100057	|	Mirhipipteryx venezuelensis	|	species	|		|	
1100082	|	1100057	|	Mirhipipteryx biloba	|	species	|		|	
1100083	|	1100082	|	Mirhipipteryx biloba biloba	|	subspecies	|		|	
1100084	|	1100082	|	Mirhipipteryx biloba aberrans	|	subspecies	|		|	
1100085	|	1100082	|	Mirhipipteryx biloba chiriquensis	|	subspecies	|		|	
1100086	|	1100082	|	Mirhipipteryx biloba incurvata	|	subspecies	|		|	
1100087	|	1100082	|	Mirhipipteryx biloba riofriensis	|	subspecies	|		|	
1100088	|	1100082	|	Mirhipipteryx biloba sevillensis	|	subspecies	|		|	
1100089	|	1100057	|	Mirhipipteryx columbiana	|	species	|		|	
1100090	|	1100089	|	Mirhipipteryx columbiana columbiana	|	subspecies	|		|	
1100091	|	1100089	|	Mirhipipteryx columbiana tenaensis	|	subspecies	|		|	
1100092	|	1100057	|	Mirhipipteryx lilo	|	species	|		|	
1100093	|	1100092	|	Mirhipipteryx lilo lilo	|	subspecies	|		|	
1100094	|	1100092	|	Mirhipipteryx lilo granchacensis	|	subspecies	|		|	
1100095	|	1100057	|	Mirhipipteryx pulicaria	|	species	|		|	
1100096	|	1100095	|	Mirhipipteryx pulicaria pulicaria	|	subspecies	|		|	
1100097	|	1100095	|	Mirhipipteryx pulicaria interposita	|	subspecies	|		|	
1100098	|	1100057	|	Mirhipipteryx antillarum	|	species	|		|	
1100099	|	1100056	|	Ripipteryx	|	genus	|		|	
