id	description	type
1199534	Found under stones in the nival belt of the Pico Espejo. This peak is  part of the granite chain of the Sierra Nevada and close to the Pico Bolivar (5008 m), the highest point of the  Cordillera de Mérida. The habitat of this insect is rather cold and wet, the vegetation consisting of mosses,  lichens and a few vascular plants in wind shelters of stones and rocks	ecology
1199998	Chaparral, often in grass. Foodplants include Eriogonum and Lotus	ecology
1201525	Pandanus plants, often in coastal areas	ecology
1201575	Associated with Blue Latan Palm (Latania loddigesii)	ecology
1201746	Found on Mangifera indica (Anacardiaceae)	ecology
1203302	Rainforest	ecology
1203432	Rainforest	ecology
1203433	Rainforest	ecology
1203435	Rainforest	ecology
1203519	Temperate rainforest	ecology
1203531	Rainforest	ecology
1203532	Rainforest	ecology
1199226	Terrestrial.	habitat
1199227	Terrestrial.	habitat
1199228	Terrestrial.	habitat
1199229	Terrestrial.	habitat
1199230	Terrestrial.	habitat
1199231	Terrestrial.	habitat
1199232	Terrestrial.	habitat
1199233	Terrestrial.	habitat
1199234	Terrestrial.	habitat
1199235	Terrestrial.	habitat
1199236	Terrestrial.	habitat
1199237	Terrestrial.	habitat
1199238	Terrestrial.	habitat
1199239	Terrestrial.	habitat
1199240	Terrestrial.	habitat
1199241	Terrestrial.	habitat
1199242	Terrestrial.	habitat
1199243	Terrestrial.	habitat
1199244	Terrestrial.	habitat
1199245	Terrestrial.	habitat
1199246	Terrestrial.	habitat
1199247	Terrestrial.	habitat
1199248	Terrestrial.	habitat
1199249	Terrestrial.	habitat
1199250	Terrestrial.	habitat
1199251	Terrestrial.	habitat
1199252	Terrestrial.	habitat
1199253	Terrestrial.	habitat
1199254	Terrestrial.	habitat
1199255	Terrestrial.	habitat
1199256	Terrestrial.	habitat
1199257	Terrestrial.	habitat
1199258	Terrestrial.	habitat
1199259	Terrestrial.	habitat
1199260	Terrestrial.	habitat
1199261	Terrestrial.	habitat
1199262	Terrestrial.	habitat
1199263	Terrestrial.	habitat
1199264	Terrestrial.	habitat
1199265	Terrestrial.	habitat
1199266	Terrestrial.	habitat
1199267	Terrestrial.	habitat
1199268	Terrestrial.	habitat
1199269	Terrestrial.	habitat
