uid	|	name	|	type	|	rank	|	
1199233	|	Perisceles	|	synonym	|		|	
1199233	|	Prosceles	|	synonym	|		|	
1199239	|	Perisceles modestus	|	synonym	|		|	
1199256	|	Ascepasma	|	synonym	|		|	
1199256	|	Perlamorphus	|	synonym	|		|	
1199259	|	Perlamorphus hieroglyphicus	|	synonym	|		|	
1199256	|	Aschipasma	|	synonym	|		|	
1199256	|	Ascephasma	|	synonym	|		|	
1199256	|	Perlamorpha	|	synonym	|		|	
1199274	|	Xylobistus	|	synonym	|		|	
1199274	|	Dina	|	synonym	|		|	
1199298	|	Pinnispinus	|	synonym	|		|	
1199303	|	Parabrosoma bigibbum	|	synonym	|		|	
1199313	|	Presbistus ridleyi	|	synonym	|		|	
1199305	|	Presbitus	|	synonym	|		|	
1199322	|	Aschipasma servilleanum	|	synonym	|		|	
1199232	|	Xylobistini	|	synonym	|		|	
1199348	|	Aschipasma catadromus	|	synonym	|		|	
1199360	|	Phaeophasma	|	synonym	|		|	
1199231	|	Xylobistinae	|	synonym	|		|	
1199230	|	Aschipasmidae	|	synonym	|		|	
1199376	|	Damasippoides spinicollis	|	synonym	|		|	
1199381	|	Damasippoides sykorai	|	synonym	|		|	
1199388	|	Kalocorinnis calopteryx	|	synonym	|		|	
1199411	|	Damasippus intermedius	|	synonym	|		|	
1199420	|	Platytelus	|	synonym	|		|	
1199424	|	Prisopus mexicanus	|	synonym	|		|	
1199429	|	Prisopus incertus	|	synonym	|		|	
1199432	|	Prisopus fisheri	|	synonym	|		|	
1199432	|	Prisopus horstokki	|	synonym	|		|	
1199440	|	Phasma dracunculus	|	synonym	|		|	
1199440	|	Phasma flabelliformis	|	synonym	|		|	
1199463	|	Spectrum bivittatum	|	synonym	|		|	
1199463	|	Spectrum palmeus	|	synonym	|		|	
1199463	|	Phasma vermicularis	|	synonym	|		|	
1199463	|	Spectrum vittata	|	synonym	|		|	
1199463	|	Bacteria calamus	|	synonym	|		|	
1199470	|	Anisomorpha monstrosa	|	synonym	|		|	
1199485	|	Brachyelena	|	synonym	|		|	
1199488	|	Brachyelena hirsuta	|	synonym	|		|	
1199494	|	Alloeophasma	|	synonym	|		|	
1199494	|	Pseudolcyphides	|	synonym	|		|	
1199497	|	Phasma cubensis	|	synonym	|		|	
1199501	|	Phasma graveolens	|	synonym	|		|	
1199494	|	Olcyphides	|	synonym	|		|	
1199521	|	Autolyca riveti	|	synonym	|		|	
1199523	|	Bacteria bogotensis	|	synonym	|		|	
1199538	|	Anisomorpha lurida	|	synonym	|		|	
1199559	|	Pseudophasma	|	synonym	|		|	
1199561	|	Ignacia lobatipes	|	synonym	|		|	
1199564	|	Neophasma	|	synonym	|		|	
1199564	|	Reticulonigrum	|	synonym	|		|	
1199586	|	Phasma castaneum	|	synonym	|		|	
1199586	|	Phasma reticulatum	|	synonym	|		|	
1199589	|	Phasma bioculata	|	synonym	|		|	
1199589	|	Gryllus (Mantis) necydaloides	|	synonym	|		|	
1199598	|	Pseudophasma eupeplum	|	synonym	|		|	
1199625	|	Phasma lineolatum	|	synonym	|		|	
1199625	|	Phasma ornatum	|	synonym	|		|	
1199460	|	Pseudophasminae	|	synonym	|		|	
1199636	|	Euphasma bicorne	|	synonym	|		|	
1199669	|	Holcoides	|	synonym	|		|	
1199669	|	Phocylides	|	synonym	|		|	
1199674	|	Mantis chloropus	|	synonym	|		|	
1199677	|	Phasma lineolatum	|	synonym	|		|	
1199687	|	Phasma acanthophora	|	synonym	|		|	
1199687	|	Phasma linearis	|	synonym	|		|	
1199687	|	Phasma umbretta	|	synonym	|		|	
1199691	|	Pseudophasma xanthotaenidium	|	synonym	|		|	
1199712	|	Mantis lateralis	|	synonym	|		|	
1199719	|	Phasma variegatus	|	synonym	|		|	
1199719	|	Phasma variegata	|	synonym	|		|	
1199728	|	Citrina	|	synonym	|		|	
1199730	|	Phasma prasina	|	synonym	|		|	
1199737	|	Pygirhynchus thomae	|	synonym	|		|	
1199740	|	Phantasis	|	synonym	|		|	
1199749	|	Ocnophila strumosa	|	synonym	|		|	
1199751	|	Hypocyrtus substrumosus	|	synonym	|		|	
1199753	|	Anophelepis vittatus	|	synonym	|		|	
1199757	|	Antillophilus	|	synonym	|		|	
1199760	|	Ocnophila adulterina	|	synonym	|		|	
1199760	|	Lamponius dominicae	|	synonym	|		|	
1199760	|	Antillophilus brevitarsus	|	synonym	|		|	
1199766	|	Lamponius klugi	|	synonym	|		|	
1199772	|	Pterinoxylus difformipes	|	synonym	|		|	
1199775	|	Pseudoceroys	|	synonym	|		|	
1199786	|	Dicranoclonia	|	synonym	|		|	
1199809	|	Phasma corniceps	|	synonym	|		|	
1199819	|	Harpuna	|	synonym	|		|	
1199821	|	Dinelytron neptuna	|	synonym	|		|	
1199868	|	Phasma lichenale	|	synonym	|		|	
1199868	|	Phasma obscurum	|	synonym	|		|	
1199897	|	Isagoras obscurus	|	synonym	|		|	
1199904	|	Metriotes	|	synonym	|		|	
1199915	|	Phasma reticulata	|	synonym	|		|	
1199921	|	Metriotes servillei	|	synonym	|		|	
1199924	|	Phasma perspicillaris	|	synonym	|		|	
1199929	|	Phasma annulata	|	synonym	|		|	
1199929	|	Phasma servillii	|	synonym	|		|	
1199936	|	Phasma acanthopterum	|	synonym	|		|	
1199943	|	Bacillidium	|	synonym	|		|	
1199943	|	Bactridium	|	synonym	|		|	
1199943	|	Bacteria (Bacunculus)	|	synonym	|		|	
1199943	|	Donusa	|	synonym	|		|	
1199963	|	Donusa glabriuscula	|	synonym	|		|	
1199963	|	Bactridium coulonianum	|	synonym	|		|	
1199963	|	Bacteria foliacea	|	synonym	|		|	
1199963	|	Bacteria (Bacunculus) phyllopoda	|	synonym	|		|	
1199963	|	Prisomera phyllopus	|	synonym	|		|	
1199963	|	Donusa prolixa	|	synonym	|		|	
1199963	|	Bacteria (Bacunculus) spatulata	|	synonym	|		|	
1199976	|	Ocnophila bolivari	|	synonym	|		|	
1199976	|	Xeropsis sicca	|	synonym	|		|	
1199976	|	Bacteria unifoliata	|	synonym	|		|	
1199984	|	Bacunculus blanchardi	|	synonym	|		|	
1199984	|	Bacteria collaris	|	synonym	|		|	
1199984	|	Bacteria cornutus	|	synonym	|		|	
1199984	|	Bacunculus spatulata	|	synonym	|		|	
1199996	|	Bacillus carinatus	|	synonym	|		|	
