id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1199226	1199226	urn:lsid:Phasmida.speciesfile.org:TaxonName:1	1199226		Phasmida		order		valid		Phylogenetic research is leading to various proposals for restructuring the order. See Bradler 2009, which has some interesting suggestions for future researchers to consider - but is not comprehensive enough to warrant changes to conventional taxonomy in PSF, at this stage	2016-10-31T03:41:00
1199227	1199227	urn:lsid:Phasmida.speciesfile.org:TaxonName:71	1199227	1199226	Verophasmatodea		suborder		valid			2016-09-29T02:41:00
1199228	1199228	urn:lsid:Phasmida.speciesfile.org:TaxonName:6967	1199228	1199227	Areolatae		infraorder		valid			2016-09-29T02:58:00
1199229	1199229	urn:lsid:Phasmida.speciesfile.org:TaxonName:9084	1199229	1199228	Aschiphasmatoidea	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	superfamily	Brunner von Wattenwyl, 1893	valid			2016-02-07T08:14:00
1199230	1199230	urn:lsid:Phasmida.speciesfile.org:TaxonName:9211	1199230	1199229	Aschiphasmatidae	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	family	Brunner von Wattenwyl, 1893	valid			2016-07-10T08:07:00
1199231	1199231	urn:lsid:Phasmida.speciesfile.org:TaxonName:9213	1199231	1199230	Aschiphasmatinae	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	subfamily	Brunner von Wattenwyl, 1893	valid			2016-02-07T08:14:00
1199232	1199232	urn:lsid:Phasmida.speciesfile.org:TaxonName:9227	1199232	1199231	Aschiphasmatini	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	tribe	Brunner von Wattenwyl, 1893	valid			2016-07-10T08:08:00
1199233	1199233	urn:lsid:Phasmida.speciesfile.org:TaxonName:9442	1199233	1199232	Abrosoma	Redtenbacher. 1906. Phasmidae Areolatae. Die Insektenfamilie der Phasmiden 1:1-180, pls 1-6	genus	Redtenbacher, 1906	valid			2016-07-10T08:09:00
1199234	1199234	urn:lsid:Phasmida.speciesfile.org:TaxonName:9470	1199233	1199232	Perisceles	Redtenbacher. 1908. Die Insektenfamilie der Phasmiden. III. Phasmidae Anareolatae (Phibalosomini, Acrophyllini, Necrosciini)., Verlag Engelmann, Leipzig 3:339-589, pls 16-27	genus	Redtenbacher, 1908	synonym	nudum; invalidum		2016-08-10T07:59:00
1199235	1199235	urn:lsid:Phasmida.speciesfile.org:TaxonName:9468	1199233	1199232	Prosceles	Uvarov. 1940. Twenty four new generic names in Orthoptera. Annals and Magazine of Natural History, London (Ann. Mag. Nat. Hist.) 11(6):112-117	genus	Uvarov, 1940	junior synonym	novum		2016-08-10T07:59:00
