uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1199226	|		|	Phasmida	|	order	|		|	
1199227	|	1199226	|	Verophasmatodea	|	suborder	|		|	
1199228	|	1199227	|	Areolatae	|	infraorder	|		|	
1199229	|	1199228	|	Aschiphasmatoidea	|	superfamily	|		|	
1199230	|	1199229	|	Aschiphasmatidae	|	family	|		|	
1199231	|	1199230	|	Aschiphasmatinae	|	subfamily	|		|	
1199232	|	1199231	|	Aschiphasmatini	|	tribe	|		|	
1199233	|	1199232	|	Abrosoma	|	genus	|		|	
1199236	|	1199233	|	Abrosoma apterum	|	species	|		|	
1199237	|	1199233	|	Abrosoma carinulatum	|	species	|		|	
1199238	|	1199233	|	Abrosoma exiguum	|	species	|		|	
1199239	|	1199233	|	Abrosoma festinatum	|	species	|		|	
1199241	|	1199233	|	Abrosoma flavoguttatum	|	species	|		|	
1199242	|	1199233	|	Abrosoma gibberum	|	species	|		|	
1199243	|	1199233	|	Abrosoma integer	|	species	|		|	
1199244	|	1199233	|	Abrosoma johorense	|	species	|		|	
1199245	|	1199233	|	Abrosoma modestum	|	species	|		|	
1199246	|	1199233	|	Abrosoma nebulosum	|	species	|		|	
1199247	|	1199233	|	Abrosoma sericeum	|	species	|		|	
1199248	|	1199233	|	Abrosoma simplex	|	species	|		|	
1199249	|	1199233	|	Abrosoma singulare	|	species	|		|	
1199250	|	1199233	|	Abrosoma virescens	|	species	|		|	
1199251	|	1199233	|	Abrosoma xiuyuae	|	species	|		|	
1199252	|	1202871	|	Lopaphus balteatus	|	species	|		|	
1199253	|	1202871	|	Lopaphus guangxiensis	|	species	|		|	
1199254	|	1199232	|	Anoplobistus	|	genus	|		|	
1199255	|	1199254	|	Anoplobistus siebersi	|	species	|		|	
1199256	|	1199232	|	Aschiphasma	|	genus	|		|	
1199259	|	1199256	|	Aschiphasma annulipes	|	species	|		|	
1199261	|	1199256	|	Aschiphasma piceum	|	species	|		|	
1199263	|	1199256	|	Aschiphasma modestum	|	species	|		|	
1199264	|	1199256	|	Aschiphasma viridilineatum	|	species	|		|	
1199267	|	1199232	|	Chlorobistus	|	genus	|		|	
1199268	|	1199267	|	Chlorobistus eryx	|	species	|		|	
1199269	|	1199267	|	Chlorobistus fulvipennis	|	species	|		|	
1199270	|	1199267	|	Chlorobistus hamatus	|	species	|		|	
1199271	|	1199267	|	Chlorobistus iridescens	|	species	|		|	
1199272	|	1199267	|	Chlorobistus macroelytron	|	species	|		|	
1199273	|	1199267	|	Chlorobistus redtenbacheri	|	species	|		|	
1199274	|	1199232	|	Dinophasma	|	genus	|		|	
1199277	|	1199274	|	Dinophasma kinabaluense	|	species	|		|	
1199278	|	1199274	|	Dinophasma mjobergi	|	species	|		|	
1199279	|	1199274	|	Dinophasma nathani	|	species	|		|	
1199280	|	1199274	|	Dinophasma ruficornis	|	species	|		|	
1199281	|	1199274	|	Dinophasma saginatum	|	species	|		|	
1199282	|	1199274	|	Dinophasma guttigerum	|	species	|		|	
1199283	|	1199274	|	Dinophasma viridis	|	species	|		|	
1199284	|	1199274	|	Dinophasma braggi	|	species	|		|	
1199285	|	1199274	|	Dinophasma maalon	|	species	|		|	
1199286	|	1199232	|	Eurybistus	|	genus	|		|	
1199287	|	1199286	|	Eurybistus belalongensis	|	species	|		|	
1199288	|	1199286	|	Eurybistus fallax	|	species	|		|	
1199289	|	1199286	|	Eurybistus fenestratus	|	species	|		|	
1199290	|	1199286	|	Eurybistus macrocerci	|	species	|		|	
