id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1199359	typeGenus	Bragg. 2001. Phasmids of Borneo, Natural History Publications, Kota Kinabalu, Sabah 1-771	Dajacini Bragg, 2001								
1199369	typeGenus	Zompro. 2004. Revision of the genera of the Areolatae, including the status of Timema and Agathemera (Insecta, Phasmatodea), Goecke & Evers, Keltern-Weiler, Germany 1-327	Xylobistinae Zompro, 2004								
1199370	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Aschipasmidae Brunner von Wattenwyl, 1893								
1199371	typeGenus	Zompro. 2004. Revision of the genera of the Areolatae, including the status of Timema and Agathemera (Insecta, Phasmatodea), Goecke & Evers, Keltern-Weiler, Germany 1-327	Damasippoididae Zompro, 2004								
1199385	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Korinninae Günther, 1953								
1199398	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Prisopodini Brunner von Wattenwyl, 1893								
1199448	typeGenus	Zompro. 2004. Revision of the genera of the Areolatae, including the status of Timema and Agathemera (Insecta, Phasmatodea), Goecke & Evers, Keltern-Weiler, Germany 1-327	Paraprisopodini Zompro, 2004								
1199460	typeGenus	Rehn, J.A.G. 1904. Studies in the Orthopterous family Phasmidae. Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Philad.) 56:38-107	Pseudophasmatinae Rehn, 1904								
1199630	typeGenus	Kirby. 1904. A synonymic catalogue of Orthoptera. 1. Orthoptera Euplexoptera, Cursoria et Gressoria. (Forficulidae, Hemimeridae, Blattidae, Mantidae, Phasmidae), The Trustees of the British Museum, London 1:1-501	Pseudophasminae Kirby, 1904								
1199940	typeGenus	Rehn, J.A.G. 1904. Studies in the Orthopterous family Phasmidae. Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Philad.) 56:38-107	Heteronemiidae Rehn, 1904								
1199994	typeGenus	Zompro. 2004. A key to the stick-insect genera of the 'Anareolatae' of the New World, with descriptions of several new taxa (Insecta: Phasmatodea). Studies on Neotropical Fauna and Environment 39(2):133-144	Paraleptyniini Zompro, 2004								
1200008	typeGenus	Redtenbacher. 1906. Phasmidae Areolatae. Die Insektenfamilie der Phasmiden 1:1-180, pls 1-6	Pygirhynchini Redtenbacher, 1906								
1200071	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Bacillidae Brunner von Wattenwyl, 1893								
1200112	typeGenus	Zompro. 2004. Revision of the genera of the Areolatae, including the status of Timema and Agathemera (Insecta, Phasmatodea), Goecke & Evers, Keltern-Weiler, Germany 1-327	Phalcini Zompro, 2004								
1200120	typeGenus	Zompro. 2004. Revision of the genera of the Areolatae, including the status of Timema and Agathemera (Insecta, Phasmatodea), Goecke & Evers, Keltern-Weiler, Germany 1-327	Macyniinae Zompro, 2004								
1200128	typeGenus	Zompro. 2004. Revision of the genera of the Areolatae, including the status of Timema and Agathemera (Insecta, Phasmatodea), Goecke & Evers, Keltern-Weiler, Germany 1-327	Antongiliinae Zompro, 2004								
1200150	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Xylicini Günther, 1953								
1200175	typeGenus	Zompro. 2004. Revision of the genera of the Areolatae, including the status of Timema and Agathemera (Insecta, Phasmatodea), Goecke & Evers, Keltern-Weiler, Germany 1-327	Pseudodatamini Zompro, 2004								
1200186	typeGenus	Cliquennois. 2006. Revision partielle des Antongiliinae fondee sur l'etude des oeufs, comprenant la definition d'une nouvelle tribu et de quatre nouveaux genres (Phasmatodea). [French]. Bulletin de la Société entomologique de France 111(1):157-172	Leprodini Cliquennois, 2006								
1200194	typeGenus	Zompro. 2005. Catalogue of type-material of the insect order Phasmatodea, housed in the Museum für Naturkunde der Humboldt-Universität zu Berlin, Germany and in the Institut für Zoologie der Martin-Luther-Universität zin Halle (Saale), Germany. Mitteilungen des Museums für Naturkunde Berlin, Deutsche Entomologische Zeitschr 52(2):251-290	Tuberculatocharacini Zompro, 2005								
