id	vernacularName	language
1199226	Walking sticks, stick insects, leaf insects	English
1199239	Fast-Moving Stick Insect	English
1199244	Winged Abrosoma	English
1199259	Black and Green Phasma	English
1199277	Kinabalu Dinophasma	English
1199301	Jasar Spiny	English
1199313	Green Striped Flying Stick	English
1199329	Brown Flying Stick	English
1199463	Florida Stick Insect	English
1199463	Two-Striped Walkingstick	English
1199469	Dark Walkingstick	English
1199469	Northern Two-Striped Walkingstick	English
1199470	Red-striped Stick Insect	English
1199501	Winged Jamaican Malacomorpha	English
1199503	Wingless Jamaican Malacomorpha	English
1199533	Golden-Eyed Stick Insect	English
1199581	Venezuela Stick Insect	English
1199585	Two-spined Ecuador Stick Insect	English
1199611	Orange-Winged Stick Insect	English
1199760	Guadeloupe Stick Insect	English
1199809	Trinidad Log Stick Insect	English
1199996	Colorado Short-Horned Walkingstick	English
1199998	Western Short-Horned Walkingstick	English
1200089	Mediterranean Stick Insect	English
1200105	French Stick Insect	English
1200114	Cape Stick Insect	English
1200123	Thunberg's Stick Insect	English
1200127	McGregor's Stick-insect	English
1200166	Tanzanian Stick Insect	English
1200254	De Haan's Haaniella	English
1200257	Prickly Haaniella	English
1200258	Gray's Haaniella	English
1200260	Jacobson’s Haaniella	English
1200261	Müller's Haaniella	English
1200262	Errington’s Haaniella	English
1200263	Smooth-bodied Haaniella	English
1200264	Mechel’s Haaniella	English
1200265	Rosenberg’s Haaniella	English
1200268	Saussure's Haaniella	English
1200272	Small Haaniella	English
1200275	Jungle Nymph	English
1200275	Malayan Jungle Nymph	English
1200285	Thorny Stick Insect	English
1200294	Samar Stick Insect	English
1200311	Sungay Stick Insect	English
1200330	Abercrombie's Stick Insect	English
1200333	Brunei Hoploclonia Stick Insect	English
1200335	Gecko Stick Insect	English
1200386	Spiny Ulula Stick Insect	English
1200390	Spiny Sabah Stick Insect	English
1200393	Touch Me Not Stick Insect	English
1200395	Small Cigar Stick Insect	English
1200406	Pygmy Stick	English
1200420	Hong Kong Pylaemenes Stick Insect	English
1200421	Money Plant Stick Insect	English
1200450	Lobed Leaf-insect	English
1200457	Monteith's Leaf-insect	English
1200462	Celebes Leaf Insect	English
1200467	Hausleithner's Stick Insect	English
1200472	Linnaeus' Leaf Insect	English
1200501	Javanese Leaf Insect	English
1200501	Gray's Leaf Insect	English
1200510	Giant Malaysian Leaf Insect	English
1200519	Pygmy Stick-insect	English
1200527	Plain Stick-insect	English
1200529	Black-spotted Stick-insect	English
1200539	Red Seychelles Stick Insect	English
1200546	Plain Stick Insect	English
1200553	Gardiner's Stick Insect	English
1200554	Bulb-End Stick Insect	English
1200568	Indian Stick Insect	English
1200568	Laboratory Stick Insect	English
1200569	Knob-Backed Stick Insect	English
1200578	Scott's Spiny Stick Insect	English
