id	description	type
1157150	This species has a Predator/Prey ecological relationship with tribe Animalia (Animals). Eats prey whole	associations
1157648	This species has a Host/Parasite ecological relationship with tribe Pheromermis.	associations
1152783	Scrapers, Shredders, Predators known	ecology
1152785	Scrapers of algae	ecology
1152786	Scrapers of algae	ecology
1152787	Scrapers of algae	ecology
1152788	Scrapers of algae	ecology
1152789	Scrapers of algae	ecology
1152790	Scrapers of algae	ecology
1152791	Scrapers of algae	ecology
1152792	Scrapers of algae	ecology
1152793	Scrapers of algae	ecology
1152794	Scrapers of algae	ecology
1152795	Scrapers of algae	ecology
1152796	Scrapers of algae	ecology
1152797	Scrapers of algae	ecology
1152798	Scrapers of algae	ecology
1152799	Scrapers of algae	ecology
1152800	Scrapers of algae	ecology
1152801	Scrapers of algae	ecology
1152802	Scrapers of algae	ecology
1152803	Scrapers of algae	ecology
1152804	Scrapers of algae	ecology
1152805	Scrapers of algae	ecology
1152806	Scrapers of algae	ecology
1152807	Scrapers of algae	ecology
1152808	Scrapers of algae	ecology
1152809	Scrapers of algae	ecology
1152810	Scrapers of algae	ecology
1152811	Scrapers of algae	ecology
1152812	Scrapers of algae	ecology
1152813	Scrapers of algae	ecology
1152814	Scrapers of algae	ecology
1152815	Scrapers of algae	ecology
1152816	Scrapers of algae	ecology
1152817	Scrapers of algae	ecology
1152818	Scrapers of algae	ecology
1152819	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152820	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152821	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152822	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152823	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152824	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152825	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152826	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152827	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152828	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152829	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152830	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152831	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152832	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152833	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152834	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152835	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152836	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152837	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152838	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152839	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152840	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152841	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152842	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152843	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152844	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152845	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152846	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152847	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152848	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152849	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152850	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152851	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152852	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152853	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152854	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152855	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152856	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152857	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152858	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152859	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152860	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152861	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152862	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152863	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152864	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152865	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152866	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152867	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152868	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152869	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152870	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152871	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152872	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152873	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152874	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152875	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152876	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152877	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152878	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152879	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152880	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152881	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152882	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152883	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152884	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152885	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152886	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152887	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152888	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152889	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152890	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152891	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152892	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152893	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152894	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152895	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152896	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152897	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152898	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152899	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152900	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152901	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152902	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152903	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152904	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152905	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152906	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152907	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152908	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152909	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152910	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152911	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152912	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152913	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152914	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152915	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152916	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152917	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152918	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152919	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152920	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152921	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152922	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152923	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152924	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152925	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152926	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152927	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152928	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152929	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152930	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152931	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152932	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152933	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152934	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152935	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152936	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152937	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152938	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152939	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152940	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152941	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152942	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152943	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152944	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152945	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152946	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152947	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152948	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152949	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152950	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152951	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152952	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152953	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152954	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152955	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152956	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152957	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152958	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152959	Scrapers of algae, Shredders of decayed tree leaves	ecology
1152960	Scrapers of algae, Shredders of decayed tree leaves	ecology
