id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1152749	1152749	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1	1152749		Plecoptera		order		valid		Some discrepency regarding the treatment of taxa proposed by Zwick with that presented in Species File is found. See Zwick's (2000) Figure 1. Note placement of Taeniopterygidae, Nemouromorpha, Leuctroidea.	2016-11-10T11:52:00
1152750	1152750	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7314	1152750	1152749	Thaumatophora	Riek. 1976. Fossil insects from the Middle Ecca (Lower Permian) of southern Africa. Paleontogia Africana (Paleont.Afr.) 19:145-148	genus	Riek, 1976	valid			2013-07-20T16:40:00
1152751	1152751	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7315	1152751	1152750	Thaumatophora pronotalis	Riek. 1976. Fossil insects from the Middle Ecca (Lower Permian) of southern Africa. Paleontogia Africana (Paleont.Afr.) 19:145-148	species	Riek, 1976	valid			2013-07-20T16:40:00
1152752	1152752	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7312	1152752	1152749	Marciperla	Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):112 pp. + 20 pls.	genus	Lin, 1986	valid		English p. 103	2013-07-20T16:40:00
1152753	1152753	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7313	1152753	1152752	Marciperla curta	Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):112 pp. + 20 pls.	species	Lin, 1986	valid			2013-07-20T16:40:00
1152754	1152754	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7310	1152754	1152749	Fluminiperla	Lin. 1980. In Unknown Author. Fossil insects. Fossils of mesozoic deposits of volcanic origin in Zhejiang and Anhui, Science Press, Peking 211-234	genus	Lin, 1980	valid		Ref nicht in Liste | Incertaesedis	2013-07-20T16:40:00
1152755	1152755	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7311	1152755	1152754	Fluminiperla hastis	Lin. 1980. In Unknown Author. Fossil insects. Fossils of mesozoic deposits of volcanic origin in Zhejiang and Anhui, Science Press, Peking 211-234	species	Lin, 1980	valid			2013-07-20T16:40:00
1152756	1152756	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7308	1152756	1152749	Idiastogyia	Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):112 pp. + 20 pls.	genus	Lin, 1986	valid		English p. 103	2013-07-20T16:40:00
1152757	1152757	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7309	1152757	1152756	Idiastogyia fatisca	Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):112 pp. + 20 pls.	species	Lin, 1986	valid			2013-07-20T16:40:00
1152758	1152758	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7316	1152758	1152749	Perlapsocidae	Pinto & Pineiro. 2000. In Pinto, Pineiro & Verde. First Permian insects from Uruguay. Universidade Federal do Rio Grande do Sul Instituto de Geociencias Pesquisas 27(1)	family	Pinto & Pineiro, 2000	valid			2013-07-20T16:40:00
1152759	1152759	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7317	1152759	1152758	Perlapsocus	Pinto & Pineiro. 2000. In Pinto, Pineiro & Verde. First Permian insects from Uruguay. Universidade Federal do Rio Grande do Sul Instituto de Geociencias Pesquisas 27(1)	genus	Pinto & Pineiro, 2000	valid			2016-10-19T10:55:00
1152760	1152760	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7318	1152760	1152759	Perlapsocus formosoi	Pinto & Pineiro. 2000. In Pinto, Pineiro & Verde. First Permian insects from Uruguay. Universidade Federal do Rio Grande do Sul Instituto de Geociencias Pesquisas 27(1)	species	Pinto & Pineiro, 2000	valid			2016-10-19T10:55:00
1152761	1152761	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7306	1152761	1152749	Kaptsheranga	Sinitshenkova. 1985. [Jurassic stoneflies of south Siberia and adjacent territories (Perlida = Plecoptera).]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 211:148-171	genus	Sinitshenkova, 1985	valid			2013-07-20T16:40:00
1152762	1152762	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7307	1152762	1152761	Kaptsheranga porrecta	Sinitshenkova. 1985. [Jurassic stoneflies of south Siberia and adjacent territories (Perlida = Plecoptera).]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 211:148-171	species	Sinitshenkova, 1985	valid			2013-07-20T16:40:00
