uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1152749	|		|	Plecoptera	|	order	|		|	
1152750	|	1152749	|	Thaumatophora	|	genus	|		|	
1152751	|	1152750	|	Thaumatophora pronotalis	|	species	|		|	
1152752	|	1152749	|	Marciperla	|	genus	|		|	
1152753	|	1152752	|	Marciperla curta	|	species	|		|	
1152754	|	1152749	|	Fluminiperla	|	genus	|		|	
1152755	|	1152754	|	Fluminiperla hastis	|	species	|		|	
1152756	|	1152749	|	Idiastogyia	|	genus	|		|	
1152757	|	1152756	|	Idiastogyia fatisca	|	species	|		|	
1152758	|	1152749	|	Perlapsocidae	|	family	|		|	
1152759	|	1152758	|	Perlapsocus	|	genus	|		|	
1152760	|	1152759	|	Perlapsocus formosoi	|	species	|		|	
1152761	|	1152749	|	Kaptsheranga	|	genus	|		|	
1152762	|	1152761	|	Kaptsheranga porrecta	|	species	|		|	
1152771	|	1152749	|	Perlopseidae	|	family	|		|	
1152773	|	1152771	|	Perlopsis	|	genus	|		|	
1152774	|	1152773	|	Perlopsis calamitosa	|	species	|		|	
1152775	|	1152773	|	Perlopsis oppressa	|	species	|		|	
1152776	|	1152773	|	Perlopsis filicornis	|	species	|		|	
1152778	|	1152749	|	Gulouidae	|	family	|		|	
1152779	|	1152778	|	Gulou	|	genus	|		|	
1152780	|	1152779	|	Gulou carpenteri	|	species	|		|	
1152781	|	1152749	|	Mesonotoperla	|	genus	|		|	
1152782	|	1152781	|	Mesonotoperla sinuata	|	species	|		|	
1152783	|	1152749	|	Antarctoperlaria	|	suborder	|		|	
1152784	|	1152783	|	Gripopterygoidea	|	superfamily	|		|	
1152785	|	1152784	|	Austroperlidae	|	family	|		|	
1152786	|	1152785	|	Andesobius	|	genus	|		|	
1152787	|	1152786	|	Andesobius barilochensis	|	species	|		|	
1152788	|	1152785	|	Acruroperla	|	genus	|		|	
1152789	|	1152788	|	Acruroperla atra	|	species	|		|	
1152791	|	1152785	|	Pseudoheptura	|	genus	|		|	
1152792	|	1152791	|	Pseudoheptura picta	|	species	|		|	
1152793	|	1152785	|	Austroheptura	|	genus	|		|	
1152794	|	1152793	|	Austroheptura neboissi	|	species	|		|	
1152795	|	1152793	|	Austroheptura campbelli	|	species	|		|	
1152796	|	1152793	|	Austroheptura illiesi	|	species	|		|	
1152797	|	1152785	|	Austropentura	|	genus	|		|	
1152798	|	1152797	|	Austropentura victoria	|	species	|		|	
1152799	|	1152797	|	Austropentura hynesorum	|	species	|		|	
1152800	|	1152785	|	Austroperla	|	genus	|		|	
1152802	|	1152800	|	Austroperla cyrene	|	species	|		|	
1152803	|	1152785	|	Crypturoperla	|	genus	|		|	
1152804	|	1152803	|	Crypturoperla paradoxa	|	species	|		|	
1152805	|	1152785	|	Klapopteryx	|	genus	|		|	
1152806	|	1152805	|	Klapopteryx armillata	|	species	|		|	
1152808	|	1152805	|	Klapopteryx kuscheli	|	species	|		|	
1152809	|	1152785	|	Penturoperla	|	genus	|		|	
1152810	|	1152809	|	Penturoperla barbata	|	species	|		|	
1152811	|	1152785	|	Tasmanoperla	|	genus	|		|	
1152813	|	1152811	|	Tasmanoperla thalia	|	species	|		|	
1152817	|	1152811	|	Tasmanoperla larvalis	|	species	|		|	
1152819	|	1152784	|	Gripopterygidae	|	family	|		|	
1152820	|	1152937	|	Guaranyperla	|	genus	|		|	
1152821	|	1152820	|	Guaranyperla guapiara	|	species	|		|	
1152822	|	1152820	|	Guaranyperla beckeri	|	species	|		|	
1152823	|	1152820	|	Guaranyperla nitens	|	species	|		|	
1152824	|	1153066	|	Kirrama	|	genus	|		|	
1152825	|	1152824	|	Kirrama abolos	|	species	|		|	
1152826	|	1152824	|	Kirrama naumanni	|	species	|		|	
1152827	|	1152819	|	Cardioperlisca	|	genus	|		|	
1152828	|	1152827	|	Cardioperlisca elongata	|	species	|		|	
1152829	|	1152827	|	Cardioperlisca tshitensis	|	species	|		|	
1152830	|	1152819	|	Eodinotoperla	|	genus	|		|	
1152831	|	1152830	|	Eodinotoperla duncanae	|	species	|		|	
1152832	|	1152840	|	Dundundra	|	genus	|		|	
1152833	|	1152832	|	Dundundra baiame	|	species	|		|	
1152834	|	1152840	|	Nescioperla	|	genus	|		|	
1152835	|	1152834	|	Nescioperla curtisae	|	species	|		|	
1152836	|	1152819	|	Nydyse	|	genus	|		|	
1152837	|	1152836	|	Nydyse luddermannia	|	species	|		|	
1152840	|	1152819	|	Dinotoperlinae	|	subfamily	|		|	
1152841	|	1152840	|	Dinotoperla	|	genus	|		|	
