id	locationID	locality
1191648	TDWG:IRN	Iran
1191648	TDWG:JAP	Japan
1191648	TDWG:NEP	Nepal
1191648	TDWG:THA	Thailand
1191648	TDWG:BOR	Borneo
1191648	TDWG:MLY	Malaya
1191648	TDWG:VIE	Vietnam
1191648	TDWG:QLD	Queensland
1191648	TDWG:ARI	Arizona
1191648	TDWG:CAL	California
1191648	TDWG:NWM	New Mexico
1191648	TDWG:TEX	Texas
1191648	TDWG:COS	Costa Rica
1191648	TDWG:GUA	Guatemala
1191648	TDWG:HON	Honduras
1191648	TDWG:NIC	Nicaragua
1191648	TDWG:PAN	Panamá
1191648	TDWG:BAH	Bahamas
1191648	TDWG:CUB	Cuba
1191648	TDWG:PUE	Puerto Rico
1191648	TDWG:WIN	Windward Is.
1191648	TDWG:VEN	Venezuela
1191648	TDWG:BOL	Bolivia
1191648	TDWG:CLM	Colombia
1191648	TDWG:ECU	Ecuador
1191648	TDWG:PER	Peru
1191648	TDWG:BZN	Brazil North
1191648	TDWG:BZE	Brazil Northeast
1191648	TDWG:BZL	Brazil Southeast
1191648	TDWG:BZS	Brazil South
1191648	TDWG:BZC	Brazil West-central
1191648	TDWG:PAR	Paraguay
1191648	TDWG:36	China
1191648	TDWG:CLS	Chile South
1191648	TDWG:79	Mexico
1191651	TDWG:CLS	Chile South
1191651	TDWG:BZL	Brazil Southeast
1191651	TDWG:BZE	Brazil Northeast
1191651	TDWG:BZN	Brazil North
1191651	TDWG:PUE	Puerto Rico
1191651	TDWG:BAH	Bahamas
1191651	TDWG:GUA	Guatemala
1191651	TDWG:MXS	Mexico Southwest
1191651	TDWG:MXG	Mexico Gulf
1191651	TDWG:MXE	Mexico Northeast
1191651	TDWG:TEX	Texas
1191651	TDWG:MXC	Mexico Central
1191651	TDWG:NWM	New Mexico
1191651	TDWG:CAL	California
1191651	TDWG:ARI	Arizona
1191651	TDWG:QLD	Queensland
1191651	TDWG:THA	Thailand
1191653	TDWG:THA	Thailand
1191653	TDWG:BZN	Brazil North
1191653	TDWG:BZE	Brazil Northeast
1191653	TDWG:BZL	Brazil Southeast
1191668	TDWG:THA	Thailand
