id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1191648	1191648	urn:lsid:Psocodea.speciesfile.org:TaxonName:1	1191648		Psocodea		order		valid			2016-07-29T12:17:00
1191649	1191649	urn:lsid:Psocodea.speciesfile.org:TaxonName:10719	1191649	1196728	Lacroixiella	Badonnel. 1943. Psocoptères. Faune de France 42:1-164	genus	Badonnel, 1943	valid			2015-12-02T11:44:00
1191650	1191650	urn:lsid:Psocodea.speciesfile.org:TaxonName:10720	1191650	1191649	Lacroixiella martini	Lacroix. 1919. Description d'un Psocide nouveau de France. Bulletin de la Société entomologique de France 1919	species	(Lacroix, 1919)	valid		NOTE: Badonnel (<I>in litt</I>.) suggested that this species may belong to the genus <I>Paracaecilius</I> (cf. Lienhard, 1998a: 208); (Mockford, 2000: 329) pointed out that it is unique among the members of the suborder Psocomorpha in the distribution of wing ciliation and in possession of two anal veins in the hindwing.	2015-12-02T11:44:00
1191651	1191651	urn:lsid:Psocodea.speciesfile.org:TaxonName:9860	1191651	1191648	Trogiomorpha		suborder		valid		New classification: Li Fasheng, 2002a: 4 (Table 1). The suborder is subdivided into the following superfamilies and families. (some names are misspelled in Table 1, their correct spelling is given here): Thylacelloidea: Thylacellidae. Perientomoidea: Lepidopsocidae, Perientomidae. Trogioidea: Anomocopeidae, Trogiidae. Psoquilloidea: Psoquillidae, Empheriidae. Prionoglaridoidea: Prionoglarididae. Speleketoroidea: Speleketoridae. Psyllipsocoidea: Psyllipsocidae, Psocathropidae.	2015-12-02T11:44:00
1191653	1191653	urn:lsid:Psocodea.speciesfile.org:TaxonName:10696	1191653	1223045	Prionoglarididae	Badonnel. 1951. In Grassé [Ed.]. Psocoptères. Traité de Zoologie., Paris 10, fasc. 2:1301-1340	family	Badonnel, 1951	valid			2015-12-02T11:44:00
1191654	1191654	urn:lsid:Psocodea.speciesfile.org:TaxonName:10711	1191654	1223047	Prionoglaris	Enderlein. 1909. Biospeologica. XI. Copeognathen (Erste Reihe). Archives de Zoologie expérimentale et générale (5)1	genus	Enderlein, 1909	valid			2015-12-02T11:44:00
1191655	1191655	urn:lsid:Psocodea.speciesfile.org:TaxonName:10717	1191654	1223047	Scoliopsyllopsis	Enderlein. 1912. Über einige hervorragende neue Copeognathen-Gattungen. Zoologischer Anzeiger 39	genus	Enderlein, 1912	junior synonym			2015-12-02T11:44:00
1191656	1191656	urn:lsid:Psocodea.speciesfile.org:TaxonName:10716	1191656	1191654	Prionoglaris dactyloides	Lienhard. 1988. Vorarbeiten zu einer Psocopteren-Fauna der Westpaläarktis. IV. Die Gattung Prionoglaris Enderlein (Psocoptera: Prionoglarididae). Mitteilungen der Schweizerischen Entomologischen Gesellschaft 61	species	Lienhard, 1988	valid			2015-12-02T11:44:00
1191657	1191657	urn:lsid:Psocodea.speciesfile.org:TaxonName:10715	1191657	1191654	Prionoglaris lindbergi	Badonnel. 1962. Contribution à l'étude de la faune d'Afghanistan. 36. Psocoptères. Kungliga fysiografiska Sällskapets i Lund Förhandlingar 32	species	Badonnel, 1962	valid			2015-12-02T11:44:00
1191658	1191658	urn:lsid:Psocodea.speciesfile.org:TaxonName:10712	1191658	1191654	Prionoglaris stygia	Enderlein. 1909. Biospeologica. XI. Copeognathen (Erste Reihe). Archives de Zoologie expérimentale et générale (5)1	species	Enderlein, 1909	valid			2015-12-02T11:44:00
1191659	1191659	urn:lsid:Psocodea.speciesfile.org:TaxonName:10713	1191658	1191654	Scoliopsyllopsis latreillei	Enderlein. 1912. Über einige hervorragende neue Copeognathen-Gattungen. Zoologischer Anzeiger 39	species	Enderlein, 1912	junior synonym			2015-12-02T11:44:00
1191660	1191660	urn:lsid:Psocodea.speciesfile.org:TaxonName:10707	1191660	1223913	Sensitibilla	Lienhard. 2000. A new genus of Prionoglarididae from a Namibian cave (Insecta: Psocoptera). Revue suisse de Zoologie 107(4)	genus	Lienhard, 2000	valid			2015-12-02T11:44:00
1191661	1191661	urn:lsid:Psocodea.speciesfile.org:TaxonName:10710	1191661	1191660	Sensitibilla brandbergensis	Lienhard. 2007. Description of a new African genus and a new tribe of Speleketorinae (Psocodea: 'Psocoptera': Prionoglarididae  ). Revue suisse de Zoologie 114(3)	species	Lienhard, 2007	valid			2015-12-02T11:44:00
1191662	1191662	urn:lsid:Psocodea.speciesfile.org:TaxonName:10709	1191662	1191660	Sensitibilla roessingensis	Lienhard. 2007. Description of a new African genus and a new tribe of Speleketorinae (Psocodea: 'Psocoptera': Prionoglarididae  ). Revue suisse de Zoologie 114(3)	species	Lienhard, 2007	valid			2015-12-02T11:44:00
1191663	1191663	urn:lsid:Psocodea.speciesfile.org:TaxonName:10708	1191663	1191660	Sensitibilla strinatii	Lienhard. 2000. A new genus of Prionoglarididae from a Namibian cave (Insecta: Psocoptera). Revue suisse de Zoologie 107(4)	species	Lienhard, 2000	valid			2015-12-02T11:44:00
1191664	1191664	urn:lsid:Psocodea.speciesfile.org:TaxonName:10703	1191664	1223915	Speleketor	Gurney, A. B. 1943. A synopsis of the psocids of the tribe Psyllipsocini, including the description of an unusual new genus from Arizona (Corrodentia: Empheriidae: Empheriinae). Annals of the Entomological Society of America 36	genus	Gurney, 1943	valid			2015-12-02T11:44:00
1191665	1191665	urn:lsid:Psocodea.speciesfile.org:TaxonName:10706	1191665	1191664	Speleketor flocki	Gurney, A. B. 1943. A synopsis of the psocids of the tribe Psyllipsocini, including the description of an unusual new genus from Arizona (Corrodentia: Empheriidae: Empheriinae). Annals of the Entomological Society of America 36	species	Gurney, 1943	valid			2015-12-02T11:44:00
1191666	1191666	urn:lsid:Psocodea.speciesfile.org:TaxonName:10705	1191666	1191664	Speleketor irwini	Mockford. 1984. Two new species of Speleketor from southern California with comments on the taxonomic position of the genus (Psocoptera: Prionoglaridae). Southwestern Naturalist 29(2)	species	Mockford, 1984	valid			2015-12-02T11:44:00
1191667	1191667	urn:lsid:Psocodea.speciesfile.org:TaxonName:10704	1191667	1191664	Speleketor pictus	Mockford. 1984. Two new species of Speleketor from southern California with comments on the taxonomic position of the genus (Psocoptera: Prionoglaridae). Southwestern Naturalist 29(2)	species	Mockford, 1984	valid			2015-12-02T11:44:00
1191668	1191668	urn:lsid:Psocodea.speciesfile.org:TaxonName:10701	1191668	1223047	Siamoglaris	Lienhard. 2004. Siamoglaris zebrina  gen. n., sp. n., the first representative of Prionoglarididae from the Oriental Region (Insecta: Psocoptera). Revue suisse de Zoologie 111(4):865-875	genus	Lienhard, 2004	valid			2015-12-02T11:44:00
1191669	1191669	urn:lsid:Psocodea.speciesfile.org:TaxonName:10702	1191669	1191668	Siamoglaris zebrina	Lienhard. 2004. Siamoglaris zebrina  gen. n., sp. n., the first representative of Prionoglarididae from the Oriental Region (Insecta: Psocoptera). Revue suisse de Zoologie 111(4):865-875	species	Lienhard, 2004	valid			2015-12-02T11:44:00
1191670	1191670	urn:lsid:Psocodea.speciesfile.org:TaxonName:10697	1191670	1223913	Afrotrogla	Lienhard. 2007. Description of a new African genus and a new tribe of Speleketorinae (Psocodea: 'Psocoptera': Prionoglarididae  ). Revue suisse de Zoologie 114(3)	genus	Lienhard, 2007	valid			2015-12-02T11:44:00
1191671	1191671	urn:lsid:Psocodea.speciesfile.org:TaxonName:10700	1191671	1191670	Afrotrogla fabella	Lienhard. 2007. Description of a new African genus and a new tribe of Speleketorinae (Psocodea: 'Psocoptera': Prionoglarididae  ). Revue suisse de Zoologie 114(3)	species	Lienhard, 2007	valid			2015-12-02T11:44:00
1191672	1191672	urn:lsid:Psocodea.speciesfile.org:TaxonName:10699	1191672	1191670	Afrotrogla maraisi	Lienhard. 2007. Description of a new African genus and a new tribe of Speleketorinae (Psocodea: 'Psocoptera': Prionoglarididae  ). Revue suisse de Zoologie 114(3)	species	Lienhard, 2007	valid			2015-12-02T11:44:00
1191673	1191673	urn:lsid:Psocodea.speciesfile.org:TaxonName:10698	1191673	1191670	Afrotrogla oryx	Lienhard. 2007. Description of a new African genus and a new tribe of Speleketorinae (Psocodea: 'Psocoptera': Prionoglarididae  ). Revue suisse de Zoologie 114(3)	species	Lienhard, 2007	valid			2015-12-02T11:44:00
1191674	1191674	urn:lsid:Psocodea.speciesfile.org:TaxonName:10543	1191674	1223046	Psyllipsocidae	Lienhard & Courtenay Smithers. 2002. Psocoptera (Insecta) World Catalogue and Bibliography. Psocoptera (Insecta) World Catalogue and Bibliography, Museum of Natural History, Geneva, Switzerland	family	Lienhard & Smithers, 2002	valid			2015-12-02T11:44:00
1191675	1191675	urn:lsid:Psocodea.speciesfile.org:TaxonName:10686	1191675	1191674	Dorypteryx	Aaron. 1883. Description of new Psocidae in the collection of the American Entomological Society. Transactions of the American Entomological Society 11(1884)	genus	Aaron, 1883	valid			2015-12-02T11:44:00
1191676	1191676	urn:lsid:Psocodea.speciesfile.org:TaxonName:10694	1191675	1191674	Dolopteryx	Smithers, Courtenay. 1958. A new genus and species of domestic psocid (Psocoptera) from Southern Rhodesia. Journal of the Entomological Society of Southern Africa 21(1)	genus	Smithers, 1958	junior synonym			2015-12-02T11:44:00
1191677	1191677	urn:lsid:Psocodea.speciesfile.org:TaxonName:10693	1191677	1191675	Dorypteryx yunnanica	Li, Fasheng & X. Liu. 2009. Discovery in China of  Dorypteryx  Aaron (Psocoptera: Trogiomorpha: Psyllipsocidae), with one new species. Zootaxa 1983	species	Li & Liu, 2009	valid			2015-12-02T11:44:00
1191678	1191678	urn:lsid:Psocodea.speciesfile.org:TaxonName:10691	1191678	1191675	Dorypteryx domestica	Smithers, Courtenay. 1958. A new genus and species of domestic psocid (Psocoptera) from Southern Rhodesia. Journal of the Entomological Society of Southern Africa 21(1)	species	(Smithers, 1958)	valid			2015-12-02T11:44:00
1191679	1191679	urn:lsid:Psocodea.speciesfile.org:TaxonName:10690	1191679	1191675	Dorypteryx longipennis	Smithers, Courtenay. 1991. A new species of Dorypteryx Aaron (Psocoptera: Psyllipsocidae) described from Australia. General and Applied Entomology 23	species	Smithers, 1991	valid			2015-12-02T11:44:00
1191680	1191680	urn:lsid:Psocodea.speciesfile.org:TaxonName:10687	1191680	1191675	Dorypteryx pallida	Aaron. 1883. Description of new Psocidae in the collection of the American Entomological Society. Transactions of the American Entomological Society 11(1884)	species	Aaron, 1883	valid			2015-12-02T11:44:00
1191681	1191681	urn:lsid:Psocodea.speciesfile.org:TaxonName:10688	1191680	1191675	Dorypteryx albicans	Ribaga. 1907. Copeognati nuovi. Redia 4	species	Ribaga, 1907	junior synonym			2015-12-02T11:44:00
1191682	1191682	urn:lsid:Psocodea.speciesfile.org:TaxonName:10684	1191682	1191674	Khatangia	Vishnyakova. 1975. Psocoptera in Late Cretaceous insect bearing resins of the Taimyr. Entomologicheskoe Obozrenie 54	genus	Vishnyakova, 1975	valid			2015-08-06T11:03:00
1191683	1191683	urn:lsid:Psocodea.speciesfile.org:TaxonName:10685	1191683	1191682	Khatangia inclusa	Vishnyakova. 1975. Psocoptera in Late Cretaceous insect bearing resins of the Taimyr. Entomologicheskoe Obozrenie 54	species	Vishnyakova, 1975	valid			2015-08-06T11:03:00
1191684	1191684	urn:lsid:Psocodea.speciesfile.org:TaxonName:10681	1191684	1191674	Pseudorypteryx	Garcia Aldrete. 1984. The Trogiomorpha (Psocoptera), of Chamela, Jalisco, Mexico. Folia Entomologica Mexicana 59	genus	Garcia Aldrete, 1984	valid			2015-12-02T11:44:00
1191685	1191685	urn:lsid:Psocodea.speciesfile.org:TaxonName:10682	1191685	1191684	Pseudorypteryx mexicana	Garcia Aldrete. 1984. The Trogiomorpha (Psocoptera), of Chamela, Jalisco, Mexico. Folia Entomologica Mexicana 59	species	Garcia Aldrete, 1984	valid			2015-12-02T11:44:00
1191686	1191686	urn:lsid:Psocodea.speciesfile.org:TaxonName:10636	1191686	1191674	Psocathropos	Ribaga. 1899. Descrizione di un nuovo genere e di una nuova specie di Psocidi trovato in Italia. Rivista di Patologia Vegetale 8	genus	Ribaga, 1899	valid			2015-12-02T11:44:00
1191687	1191687	urn:lsid:Psocodea.speciesfile.org:TaxonName:10679	1191686	1191674	Psocatropos	Ribaga. 1900. Contributo alla conoscenza dei Psocidi italiani. Rivista di Patologia Vegetale 8	genus	Ribaga, 1900	junior synonym			2015-12-02T11:44:00
1191688	1191688	urn:lsid:Psocodea.speciesfile.org:TaxonName:10677	1191686	1191674	Psocinella	Banks, N. 1900. A new genus of Atropidae. Entomological News 11	genus	Banks, 1900	junior synonym			2015-12-02T11:44:00
1191689	1191689	urn:lsid:Psocodea.speciesfile.org:TaxonName:10675	1191686	1191674	Axinopsocus	Enderlein. 1903. Neue Copeognathen aus Kamerun. Zoologische Jahrbücher (Abteilung Systematik) 19	genus	Enderlein, 1903	junior synonym			2015-12-02T11:44:00
1191690	1191690	urn:lsid:Psocodea.speciesfile.org:TaxonName:10673	1191686	1191674	Vulturops	Townsend, C. H. T. 1912. Vulturopinae, a new subfamily of the Psocidae; type Vulturops gen. nov. (Platyp., Corrod.). Entomological News 23	genus	Townsend, 1912	junior synonym			2015-12-02T11:44:00
1191691	1191691	urn:lsid:Psocodea.speciesfile.org:TaxonName:10671	1191686	1191674	Gambrella	Enderlein. 1931. "The Percy Sladen Trust Expedition to the Indian Ocean in 1905, under the leadership of Mr J. Stanley Gardiner, M.A. VIII. Die Copeognathen-Fauna der Seychellen.". Transactions of the Linnean Society of London, 2nd Series, Zoology 19(2)	genus	Enderlein, 1931	junior synonym			2015-12-02T11:44:00
1191692	1191692	urn:lsid:Psocodea.speciesfile.org:TaxonName:10669	1191686	1191674	Granthakita	Behura & Dash. 1968. A new genus of Psocatropidae (Copeognatha) from India. Prakruti. Utkal University Journal of Science 5(2)	genus	Behura & Dash, 1968	junior synonym			2015-12-02T11:44:00
1191693	1191693	urn:lsid:Psocodea.speciesfile.org:TaxonName:10668	1191693	1191686	Psocathropos cameriferus	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
