uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	
1191648	|		|	Psocodea	|	order	|		|	
1191649	|	1196728	|	Lacroixiella	|	genus	|		|	
1191650	|	1191649	|	Lacroixiella martini	|	species	|		|	
1191651	|	1191648	|	Trogiomorpha	|	suborder	|		|	
1191653	|	1223045	|	Prionoglarididae	|	family	|		|	
1191654	|	1223047	|	Prionoglaris	|	genus	|		|	
1191656	|	1191654	|	Prionoglaris dactyloides	|	species	|		|	
1191657	|	1191654	|	Prionoglaris lindbergi	|	species	|		|	
1191658	|	1191654	|	Prionoglaris stygia	|	species	|		|	
1191660	|	1223913	|	Sensitibilla	|	genus	|		|	
1191661	|	1191660	|	Sensitibilla brandbergensis	|	species	|		|	
1191662	|	1191660	|	Sensitibilla roessingensis	|	species	|		|	
1191663	|	1191660	|	Sensitibilla strinatii	|	species	|		|	
1191664	|	1223915	|	Speleketor	|	genus	|		|	
1191665	|	1191664	|	Speleketor flocki	|	species	|		|	
1191666	|	1191664	|	Speleketor irwini	|	species	|		|	
1191667	|	1191664	|	Speleketor pictus	|	species	|		|	
1191668	|	1223047	|	Siamoglaris	|	genus	|		|	
1191669	|	1191668	|	Siamoglaris zebrina	|	species	|		|	
1191670	|	1223913	|	Afrotrogla	|	genus	|		|	
1191671	|	1191670	|	Afrotrogla fabella	|	species	|		|	
1191672	|	1191670	|	Afrotrogla maraisi	|	species	|		|	
1191673	|	1191670	|	Afrotrogla oryx	|	species	|		|	
1191674	|	1223046	|	Psyllipsocidae	|	family	|		|	
1191675	|	1191674	|	Dorypteryx	|	genus	|		|	
1191677	|	1191675	|	Dorypteryx yunnanica	|	species	|		|	
1191678	|	1191675	|	Dorypteryx domestica	|	species	|		|	
1191679	|	1191675	|	Dorypteryx longipennis	|	species	|		|	
1191680	|	1191675	|	Dorypteryx pallida	|	species	|		|	
1191682	|	1191674	|	Khatangia	|	genus	|		|	
1191683	|	1191682	|	Khatangia inclusa	|	species	|		|	
1191684	|	1191674	|	Pseudorypteryx	|	genus	|		|	
1191685	|	1191684	|	Pseudorypteryx mexicana	|	species	|		|	
1191686	|	1191674	|	Psocathropos	|	genus	|		|	
1191693	|	1191686	|	Psocathropos cameriferus	|	species	|		|	
1191694	|	1191686	|	Psocathropos domesticus	|	species	|		|	
1191695	|	1191686	|	Psocathropos dyadoclemus	|	species	|		|	
1191696	|	1191686	|	Psocathropos pleurotaenus	|	species	|		|	
1191697	|	1191686	|	Psocathropos purpuripsarous	|	species	|		|	
1191698	|	1191686	|	Psocathropos tridymus	|	species	|		|	
1191700	|	1191686	|	Psocathropos cuttackae	|	species	|		|	
1191701	|	1191686	|	Psocathropos lachlani	|	species	|		|	
1191707	|	1191686	|	Psocathropos pilipennis	|	species	|		|	
1191708	|	1191686	|	Psocathropos sinensis	|	species	|		|	
1191710	|	1191674	|	Psyllipsocus	|	genus	|		|	
