id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1191653	typeGenus	Badonnel. 1951. In Grassé [Ed.]. Psocoptères. Traité de Zoologie., Paris 10, fasc. 2:1301-1340	Prionoglarididae Badonnel, 1951								
1191674	typeGenus	Lienhard & Courtenay Smithers. 2002. Psocoptera (Insecta) World Catalogue and Bibliography. Psocoptera (Insecta) World Catalogue and Bibliography, Museum of Natural History, Geneva, Switzerland	Psyllipsocidae Lienhard & Smithers, 2002								
1191769	typeGenus		Thylacellinae								
1191796	typeGenus	Enderlein. 1903. Die Copeognathen des indo-australischen Faunengebietes. Annales historico-naturales Musei nationalis Hungarici 1	Perientominae Enderlein, 1903								
1191868	typeGenus	Enderlein. 1903. Die Copeognathen des indo-australischen Faunengebietes. Annales historico-naturales Musei nationalis Hungarici 1	Lepidopsocinae Enderlein, 1903								
1192010	typeGenus	Enderlein. 1907. The scaly winged Copeognatha (Monograph of the Amphientomidae, Lepidopsocidae, and Lepidillidae in relation to their morphology and taxonomy). Spolia Zeylanica 4:39-122	Echinopsocinae Enderlein, 1907								
1192037	typeGenus		Lepolepidinae								
1192048	typeGenus	Mockford. 2005. A new genus of perientomine psocids (Psocoptera: Lepidopsocidae) with a review of the perientomine genera. Transactions of the American Entomological Society(131):201-215, 32 figs.	Parasoinae Mockford, 2005								
1192049	typeGenus	Lienhard & Courtenay Smithers. 2002. Psocoptera (Insecta) World Catalogue and Bibliography. Psocoptera (Insecta) World Catalogue and Bibliography, Museum of Natural History, Geneva, Switzerland	Psoquillidae Lienhard & Smithers, 2002								
1192099	typeGenus	Roesler. 1944. Die Gattungen der Copeognathen. Stettiner Entomologische Zeitung 105:117-166	Trogiidae Roesler, 1944								
1192204	typeGenus	Baz & Ortuño. 2000. Archaeatropidae, a new family of Psocoptera from the Cretaceous amber of Alava, Northern Spain. Annals of the Entomological Society of America 93(3):367-373	†Archaeatropidae Baz & Ortuño, 2000								
1192207	typeGenus	Baz & Ortuño. 2000. Archaeatropidae, a new family of Psocoptera from the Cretaceous amber of Alava, Northern Spain. Annals of the Entomological Society of America 93(3):367-373	†Empheriidae Baz & Ortuño, 2000								
1192241	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Epipsocidae Pearman, 1936								
1192482	typeGenus	Eertmoed, G. E. 1973. The phenetic relationships of the Epipsocetae (Psocoptera): the higher taxa and the species of two new families. Transactions of the American Entomological Society 99	Neurostigmatidae Eertmoed, 1973								
1192492	typeGenus	Eertmoed, G. E. 1973. The phenetic relationships of the Epipsocetae (Psocoptera): the higher taxa and the species of two new families. Transactions of the American Entomological Society 99	Dolabellopsocidae Eertmoed, 1973								
1192536	typeGenus	Smithers, Courtenay. 1972. The classification and phylogeny of the Psocoptera. Australian Museum Memoirs 14:1-349	Cladiopsocidae Smithers, 1972								
1192558	typeGenus	Roesler. 1940. Neue und wenig bekannte Copeognathengattungen. I. Zoologischer Anzeiger 129(9/10):225-243	Ptiloneuridae Roesler, 1940								
1192633	typeGenus	Casasola Gonzalez, J. A. 2006. Phylogenetic relationships of the genera of Epipsocetae (Psocoptera: Psocomorpha). Zootaxa(1194):1-32, 125 figs.	Spurostigmatidae Casasola Gonzalez, 2006								
1192648	typeGenus	Mockford & Garcia Aldrete. 1976. A new species and notes on the taxonomic position of Asiopsocus Günther (Psocoptera). Southwestern Naturalist 21(3):335-346	Asiopsocidae Mockford & Garcia Aldrete, 1976								
1192670	typeGenus	Mockford. 2000[1999]. A classification of the psocopteran family Caeciliusidae (Caeciliidae auct.). Transactions of the American Entomological Society 125(4):325-417	Caeciliusidae Mockford, 2000								
1192934	typeGenus	Yoshizawa. 2001. Systematic study of Amphipsocidae in Japan (Psocodea: 'Psocoptera': Caeciliusetae), with comments on higher classification within the family. Insecta Matsumurana New Series(58):1-25, 12 figs.	Austrocaeciliini Yoshizawa, 2001								
1193009	typeGenus	Mockford. 2000[1999]. A classification of the psocopteran family Caeciliusidae (Caeciliidae auct.). Transactions of the American Entomological Society 125(4):325-417	Maoripsocini Mockford, 2000								
1193039	typeGenus	Mockford. 2000[1999]. A classification of the psocopteran family Caeciliusidae (Caeciliidae auct.). Transactions of the American Entomological Society 125(4):325-417	Coryphacini Mockford, 2000								
1193469	typeGenus	Mockford. 2000[1999]. A classification of the psocopteran family Caeciliusidae (Caeciliidae auct.). Transactions of the American Entomological Society 125(4):325-417	Epicaeciliini Mockford, 2000								
1193476	typeGenus	Mockford. 1989[1988]. Xanthocaecilius (Psocoptera: Caeciliidae), a new genus from the Western Hemisphere: I. Description, species complexes, and species of the quillayute and granulosus complexes. Transactions of the American Entomological Society 114(3-4):265-293	Aphyopsocinae Mockford, 1989								
1193479	typeGenus	Mockford. 1989[1988]. Xanthocaecilius (Psocoptera: Caeciliidae), a new genus from the Western Hemisphere: I. Description, species complexes, and species of the quillayute and granulosus complexes. Transactions of the American Entomological Society 114(3-4):265-293	Paracaeciliidae Mockford, 1989								
1193605	typeGenus	Mockford. 1989[1988]. Xanthocaecilius (Psocoptera: Caeciliidae), a new genus from the Western Hemisphere: I. Description, species complexes, and species of the quillayute and granulosus complexes. Transactions of the American Entomological Society 114(3-4):265-293	Fuelleborniellinae Mockford, 1989								
1193641	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Stenopsocidae Pearman, 1936								
1193857	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Amphipsocidae Pearman, 1936								
1193870	typeGenus	Mockford. 2000[1999]. A classification of the psocopteran family Caeciliusidae (Caeciliidae auct.). Transactions of the American Entomological Society 125(4):325-417	Kodamaiinae Mockford, 2000								
1193872	typeGenus	Mockford. 1978. A generic classification of family Amphipsocidae (Psocoptera: Caecilietae). Transactions of the American Entomological Society 104(2):139-190	Kolbeini Mockford, 1978								
1193885	typeGenus	Mockford. 1978. A generic classification of family Amphipsocidae (Psocoptera: Caecilietae). Transactions of the American Entomological Society 104(2):139-190	Schizopechini Mockford, 1978								
1193888	typeGenus	Mockford. 1978. A generic classification of family Amphipsocidae (Psocoptera: Caecilietae). Transactions of the American Entomological Society 104(2):139-190	Capillopsocini Mockford, 1978								
1193891	typeGenus	Mockford. 1978. A generic classification of family Amphipsocidae (Psocoptera: Caecilietae). Transactions of the American Entomological Society 104(2):139-190	Dasypsocini Mockford, 1978								
1193905	typeGenus	Kolbe. 1882. Das phylogenetische Alter der europäischen Psocidengruppen. Jahresbericht des Westfälischen Provinzial-Vereins für Wissenschaft und Kunst 10:18-27	Polypsocini Kolbe, 1882								
1194143	typeGenus	Mockford. 1978. A generic classification of family Amphipsocidae (Psocoptera: Caecilietae). Transactions of the American Entomological Society 104(2):139-190	Calocaeciliinae Mockford, 1978								
1194148	typeGenus	Mockford. 1978. A generic classification of family Amphipsocidae (Psocoptera: Caecilietae). Transactions of the American Entomological Society 104(2):139-190	Dasydemellidae Mockford, 1978								
1194196	typeGenus	Lienhard & Courtenay Smithers. 2002. Psocoptera (Insecta) World Catalogue and Bibliography. Psocoptera (Insecta) World Catalogue and Bibliography, Museum of Natural History, Geneva, Switzerland	Ptenopsilinae Lienhard & Smithers, 2002								
1194205	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Philotarsidae Pearman, 1936								
1194281	typeGenus	Lienhard & Courtenay Smithers. 2002. Psocoptera (Insecta) World Catalogue and Bibliography. Psocoptera (Insecta) World Catalogue and Bibliography, Museum of Natural History, Geneva, Switzerland	Aaroniellinae Lienhard & Smithers, 2002								
1194377	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Archipsocidae Pearman, 1936								
1194454	typeGenus	Badonnel, Mockford & Garcia Aldrete. 1984. Pararchipsocinae, nouvelle subdivision des Archipsocidae (Insecta, Psocoptera), avec description de Pararchipsocus n. g. et de onze espèces inédites de cette sous-famille. Bulletin du Muséum national d'Histoire naturelle 6(3):741-768	Pararchipsocinae Badonnel, Mockford & Garcia Aldrete, 1984								
1194474	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Lachesillidae Pearman, 1936								
1194509	typeGenus	Mockford & Sullivan. 1986. Systematics of the Graphocaeciliine psocids with a proposed higher classification of the family Lachesillidae (Psocoptera). Transactions of the American Entomological Society 112	Graphocaeciliini Mockford & Sullivan, 1986								
1194557	typeGenus	Mockford & Sullivan. 1986. Systematics of the Graphocaeciliine psocids with a proposed higher classification of the family Lachesillidae (Psocoptera). Transactions of the American Entomological Society 112	Eolachesillini Mockford & Sullivan, 1986								
1194906	typeGenus	Roesler. 1944. Die Gattungen der Copeognathen. Stettiner Entomologische Zeitung 105:117-166	Ectopsocidae Roesler, 1944								
1195182	typeGenus	Roesler. 1944. Die Gattungen der Copeognathen. Stettiner Entomologische Zeitung 105:117-166	Peripsocidae Roesler, 1944								
1195565	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Calopsocidae Pearman, 1936								
1195566	typeGenus	Smithers, Courtenay. 1972. The classification and phylogeny of the Psocoptera. Australian Museum Memoirs 14:1-349	Callistopterinae Smithers, 1972								
1195614	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Trichopsocidae Pearman, 1936								
1195638	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Pseudocaeciliidae Pearman, 1936								
1196013	typeGenus	Thornton. 1981. The systematics, phylogeny and biogeography of the psocopteran family Philotarsidae. Systematic Entomology 6	Zelandopsocinae Thornton, 1981								
1196084	typeGenus	Roesler. 1944. Die Gattungen der Copeognathen. Stettiner Entomologische Zeitung 105:117-166	†Electropsocinae Roesler, 1944								
1196087	typeGenus	Mockford. 1984. Relationships among Philotarsid and Pseudocaeciliid genera and a proposed new family Bryopsocidae (Psocoptera). Psyche 91((3-4))	Bryopsocidae Mockford, 1984								
1196091	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Elipsocidae Pearman, 1936								
1196092	typeGenus	Smithers, Courtenay. 1997. An apterous, possibly phragmotic new species representing a new genus and subfamily of Elipsocidae (Psocoptera) from South Australia. Entomologica scandinavica 28(1):97-101	Yuntapsocinae Smithers, 1997								
1196243	typeGenus	Smithers, Courtenay. 1964. Notes on the relationships of the genera of Elipsocidae (Psocoptera). Transactions of the Royal Entomological Society of London 116(9):211-224	Pseudopsocinae Smithers, 1964								
1196269	typeGenus	Smithers, Courtenay. 1964. Notes on the relationships of the genera of Elipsocidae (Psocoptera). Transactions of the Royal Entomological Society of London 116(9):211-224	Propsocinae Smithers, 1964								
1196298	typeGenus	Smithers, Courtenay. 1964. Notes on the relationships of the genera of Elipsocidae (Psocoptera). Transactions of the Royal Entomological Society of London 116(9):211-224	Nepiomorphinae Smithers, 1964								
1196323	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Mesopsocidae Pearman, 1936								
1196470	typeGenus	Schmidt, E. R. & New. 2004. A systematic and phylogenetic revision of the family Elipsocidae (Insecta: Psocoptera), with the erection of two new families: Lesneiidae and Sabulopsocidae. Invertebrate Systematics 18:157-213	Sabulopsocidae Schmidt & New, 2004								
1196475	typeGenus	Azar, A. Nel & Néraudeau. 2009. A new Cretaceous psocodean family from the Charente-Maritime amber (France) (Insecta, Psocodea, Psocomorpha). Geodiversitas 31(1):117-127, 11 figs.	Arcantipsocidae Azar, Nel & Néraudeau, 2009								
1196478	typeGenus	Schmidt, E. R. & New. 2004. A systematic and phylogenetic revision of the family Elipsocidae (Insecta: Psocoptera), with the erection of two new families: Lesneiidae and Sabulopsocidae. Invertebrate Systematics 18:157-213	Lesneiidae Schmidt & New, 2004								
1196484	typeGenus	Azar, Hajar, Indary & A. Nel. 2009. Paramesopsocidae, a new Mesozoic psocid family (Insecta: Psocodea &quot;Psocotpera&quot;: Psocomorpha). Annales de la Société entomologique de France 44(4)	Paramesopsocidae Azar, Hajar, Indary & Nel, 2009								
1196489	typeGenus	Roesler. 1944. Die Gattungen der Copeognathen. Stettiner Entomologische Zeitung 105:117-166	Psilopsocidae Roesler, 1944								
1196499	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Myopsocidae Pearman, 1936								
1196728	typeGenus	Hagen. 1865. Synopsis of the Psocina without ocelli. Entomologist's Monthly Magazine 2:121-124	Psocidae Hagen, 1865								
1196729	typeGenus		Amphigerontiinae								
1197042	typeGenus	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	Stylatopsocini Li, 2002								
1197044	typeGenus	Roesler. 1940. Neue Copeognathen. Arbeiten über morphologische und taxonomische Entomologie 7(3):236-244	Cerastipsocini Roesler, 1940								
1197313	typeGenus	Roesler. 1940. Neue Copeognathen. Arbeiten über morphologische und taxonomische Entomologie 7(3):236-244	Cycetini Roesler, 1940								
1197319	typeGenus	Roesler. 1943. Über einige Copeognathengenera. Stettiner Entomologische Zeitung 104:1-14	Metylophorini Roesler, 1943								
1197500	typeGenus	Mockford. 1993. North American Psocoptera (Insecta). North American Psocoptera (Insecta)., Flora and Fauna Handbook, Sandhill Crane Press, Gainesville, Florida 10:XVIII+455 pp., 953 figs.	Ptyctini Mockford, 1993								
1198309	typeGenus	Yoshizawa & Kevin P. Johnson. 2008. Molecular systematics of the barklouse family Psocidae (Insecta:  Psocodea: 'Psocoptera') and implications for morphological and behavioral evolution. Molecular Phylogenetics and Evolution 46	Atrichodenotecnini Yoshizawa & Johnson, 2008								
1198319	typeGenus	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	Sigmatoneurini Li, 2002								
1198325	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Thyrsophorinae Pearman, 1936								
1198369	typeGenus	Pearman, J. V. 1936. The taxonomy of the Psocoptera: preliminary sketch. Proceedings Royal Entomological Society of London (B) 5:58-62	Hemipsocidae Pearman, 1936								
1198448	typeGenus	Mockford. 1967. The Electrentomoid psocids (Psocoptera). Psyche 74(2):118-165	Compsocidae Mockford, 1967								
1198455	typeGenus	Smithers, Courtenay. 1972. The classification and phylogeny of the Psocoptera. Australian Museum Memoirs 14:1-349	Protroctopsocidae Smithers, 1972								
