id	locationID	locality
1218728	TDWG:GHA	Ghana
1218728	TDWG:GUI	Guinea
1218728	TDWG:IVO	Ivory Coast
1218728	TDWG:ZAI	Zaire
1218728	TDWG:MDG	Madagascar
1218728	TDWG:MAU	Mauritius
1218728	TDWG:SEY	Seychelles
1218728	TDWG:CHH	Hainan
1218728	TDWG:CHT	Tibet
1218728	TDWG:TAI	Taiwan
1218728	TDWG:SRL	Sri Lanka
1218728	TDWG:XMS	Christmas I.
1218728	TDWG:MLY	Malaya
1218728	TDWG:JAW	Jawa
1218728	TDWG:PHI	Philippines
1218728	TDWG:SUM	Sumatera
1218728	TDWG:NWG	New Guinea
1218728	TDWG:FIJ	Fiji
1218728	TDWG:SAM	Samoa
1218728	TDWG:HAW	Hawaii
1218728	TDWG:TEX	Texas
1218728	TDWG:DEL	Delaware
1218728	TDWG:FLA	Florida
1218728	TDWG:CPI	Central American Pacific Is.
1218728	TDWG:COS	Costa Rica
1218728	TDWG:GUA	Guatemala
1218728	TDWG:PAN	Panamá
1218728	TDWG:DOM	Dominican Republic
1218728	TDWG:JAM	Jamaica
1218728	TDWG:TRT	Trinidad-Tobago
1218728	TDWG:FRG	French Guiana
1218728	TDWG:GUY	Guyana
1218728	TDWG:VEN	Venezuela
1218728	TDWG:BOL	Bolivia
1218728	TDWG:CLM	Colombia
1218728	TDWG:ECU	Ecuador
1218728	TDWG:PER	Peru
1218728	TDWG:GAL	Galápagos
1218728	TDWG:84	Brazil
1218728	TDWG:79	Mexico
1218730	TDWG:79	Mexico
1218730	TDWG:84	Brazil
1218730	TDWG:GAL	Galápagos
1218730	TDWG:PER	Peru
1218730	TDWG:ECU	Ecuador
1218730	TDWG:CLM	Colombia
1218730	TDWG:BOL	Bolivia
1218730	TDWG:VEN	Venezuela
1218730	TDWG:GUY	Guyana
1218730	TDWG:FRG	French Guiana
1218730	TDWG:TRT	Trinidad-Tobago
1218730	TDWG:JAM	Jamaica
1218730	TDWG:DOM	Dominican Republic
1218730	TDWG:PAN	Panamá
1218730	TDWG:GUA	Guatemala
1218730	TDWG:COS	Costa Rica
1218730	TDWG:CPI	Central American Pacific Is.
1218730	TDWG:FLA	Florida
1218730	TDWG:DEL	Delaware
