id	bibliographicCitation	title	creator	date	source	type
1218728	Silvestri. 1913. Descrizione di un nuovo ordine di insetti. Bolletino del Laboratorio di Zoologia Generale e Agraria della R. Scuola Superiore d' Agricoltura in Portici (Boll. Lab. Zool. gen. agr. Portici) 7:195	Descrizione di un nuovo ordine di insetti	Silvestri	1913	Bolletino del Laboratorio di Zoologia Generale e Agraria della R. Scuola Superiore d' Agricoltura in Portici (Boll. Lab. Zool. gen. agr. Portici)	publication
1218728	Caudell. 1920. Zoraptera not an apterous order. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 22:84-97	Zoraptera not an apterous order	Caudell	1920	Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington)	publication
1218728	New. 1978. Notes on Neotropical Zoraptera, with descriptions of two new species. Systematic Entomology 3:361-370	Notes on Neotropical Zoraptera, with descriptions of two new species	New	1978	Systematic Entomology	publication
1218728	Hubbard. 1990. A catalog of the Order Zoraptera (Insecta). Insecta Mundi 4:49-66	A catalog of the Order Zoraptera (Insecta)	Hubbard	1990	Insecta Mundi	publication
1218728	Carpenter, F. M. 1992. In Kaesler [Ed.]. Part R Arthropoda 4. Volume 3: Superclass Hexapoda. Treatise on Invertebrate Paleontology, The Geological Society of America and The University of Kansas, Boulder, Colorado and Lawrence, Kansas 200	Volume 3: Superclass Hexapoda	Carpenter, F. M.	1992	Treatise on Invertebrate Paleontology, The Geological Society of America and The University of Kansas, Boulder, Colorado and Lawrence, Kansas	publication
1218728	Choe. 1992. In Quintero & Aiello [Ed.]. Zoraptera of Panama with a review of the morphology, systematics, and biology of the order. Insects of Panama and Mesoamerica: selected studies, Oxford University Press, Oxford 249-256	Zoraptera of Panama with a review of the morphology, systematics, and biology of the order.	Choe	1992	Insects of Panama and Mesoamerica: selected studies, Oxford University Press, Oxford	publication
1218728	Kukalova-Peck & Peck. 1993. Zoraptera wing structures: evidence for new genera and relationship with blattoid orders (Insecta: Blattoneoptera). Systematic Entomology 18(4):333-350	Zoraptera wing structures: evidence for new genera and relationship with blattoid orders (Insecta: Blattoneoptera)	Kukalova-Peck & Peck	1993	Systematic Entomology	publication
1218728	Labandeira. 1994. A Compendium of Fossil Insect Families. Milwaukee Public Museum Contributions in Biology and Geology 88:24	A Compendium of Fossil Insect Families	Labandeira	1994	Milwaukee Public Museum Contributions in Biology and Geology	publication
1218728	Choe. 1997. In Choe & Crespi [Ed.]. The evolution of mating systems in insects and arachnids. The evolution of mating systems in the Zoraptera: mating variations and sexual conflicts 130-145	The evolution of mating systems in the Zoraptera: mating variations and sexual conflicts	Choe	1997		publication
1218728	Rasnitsyn. 1998. On the Taxonomic Position of the Insect Order Zortypida = Zoraptera. Zoologischer Anzeiger (Zool. Anz.) 237:185-194	On the Taxonomic Position of the Insect Order Zortypida = Zoraptera	Rasnitsyn	1998	Zoologischer Anzeiger (Zool. Anz.)	publication
1218728	New. 1998. Zoraptera. Zoological Catalogue of Australia (Zoo. Cat. of Aust.) 23:393-396, 459	Zoraptera	New	1998	Zoological Catalogue of Australia (Zoo. Cat. of Aust.)	publication
1218728	Engel & Grimaldi. 2000. A Winged Zorotypus in Miocene Amber  from the Dominican Republic (Zoraptera: Zorotypidae),  with Discussion on Relationships of and within the Order. Acta Geologica Hispanica 35(1):149-164	A Winged Zorotypus in Miocene Amber  from the Dominican Republic (Zoraptera: Zorotypidae),  with Discussion on Relationships of and within the Order	Engel & Grimaldi	2000	Acta Geologica Hispanica	publication
1218728	Wheeler, W. C., Whiting, Q. D. Wheeler & J. M. Carpenter. 2001. The phylogeny of the extant hexapod orders. Cladistics (Clad) 17(2):113-169	The phylogeny of the extant hexapod orders	Wheeler, W. C., Whiting, Q. D. Wheeler & J. M. Carpenter	2001	Cladistics (Clad)	publication
1218728	Engel & Grimaldi. 2002. The first Mesozoic Zoraptera (Insecta). American Museum Novitates 3362:1-20	The first Mesozoic Zoraptera (Insecta)	Engel & Grimaldi	2002	American Museum Novitates	publication
