id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1218728	1218728	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467374	1218728		Zoraptera		Animalia	order		ICZN	valid			2015-12-02T11:45:00
1218729	1218729	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467452	1218728		Zorotypida		Animalia	order		ICZN	synonym			2015-12-02T11:45:00
1218730	1218730	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467375	1218730	1218728	Zorotypidae	Silvestri. 1913. Descrizione di un nuovo ordine di insetti. Bolletino del Laboratorio di Zoologia Generale e Agraria della R. Scuola Superiore d' Agricoltura in Portici (Boll. Lab. Zool. gen. agr. Portici) 7:193-209	Animalia	family	Silvestri, 1913	ICZN	valid			2015-12-02T11:45:00
1218731	1218731	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467486	1218731	1218730	Zorotypus	Silvestri. 1913. Descrizione di un nuovo ordine di insetti. Bolletino del Laboratorio di Zoologia Generale e Agraria della R. Scuola Superiore d' Agricoltura in Portici (Boll. Lab. Zool. gen. agr. Portici) 7:193-209	Animalia	genus	Silvestri, 1913	ICZN	valid			2015-12-02T11:45:00
1218732	1218732	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467508	1218732	1218730	Xenozorotypus	Engel & Grimaldi. 2002. The first Mesozoic Zoraptera (Insecta). American Museum Novitates 3362:1-20	Animalia	genus	Engel & Grimaldi, 2002	ICZN	valid			2015-02-13T15:18:00
1218733	1218733	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467470	1218733	1218731	Zorotypus (Octozoros)	Engel. 2003. In Klass [Ed.]. Proceedings of the First Dresden meeting on insect phylogeny: "Phylogenetic Relationships within the Insect Orders" (Dresden, September 19-21, 2003). Phylogeny of the Zoraptera. Entomologische Abhandlungen 61(2):147-148	Animalia	subgenus	Engel, 2003	ICZN	valid			2015-02-14T11:59:00
1218734	1218734	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467489	1218734	1218731	Zorotypus cretatus	Engel & Grimaldi. 2002. The first Mesozoic Zoraptera (Insecta). American Museum Novitates 3362:1-20	Animalia	species	Engel & Grimaldi, 2002	ICZN	valid			2015-01-12T12:11:00
1218735	1218735	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467380	1218735	1218731	Zorotypus (Zorotypus)	Silvestri. 1913. Descrizione di un nuovo ordine di insetti. Bolletino del Laboratorio di Zoologia Generale e Agraria della R. Scuola Superiore d' Agricoltura in Portici (Boll. Lab. Zool. gen. agr. Portici) 7:193-209	Animalia	subgenus	Silvestri, 1913	ICZN	valid			2015-12-02T11:45:00
1218736	1218736	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467512	1218736	1218732	Xenozorotypus burmiticus	Engel & Grimaldi. 2002. The first Mesozoic Zoraptera (Insecta). American Museum Novitates 3362:1-20	Animalia	species	Engel & Grimaldi, 2002	ICZN	valid			2015-02-13T15:18:00
1218737	1218737	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467630	1218737	1218733	Zorotypus (Octozoros) acanthothorax	Engel & Grimaldi. 2002. The first Mesozoic Zoraptera (Insecta). American Museum Novitates 3362:1-20	Animalia	species	Engel & Grimaldi, 2002	ICZN	valid			2015-11-18T14:52:00
1218738	1218738	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467701	1218738	1218733	Zorotypus (Octozoros) nascimbenei	Engel & Grimaldi. 2002. The first Mesozoic Zoraptera (Insecta). American Museum Novitates 3362:1-20	Animalia	species	Engel & Grimaldi, 2002	ICZN	valid			2015-11-18T14:52:00
