id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1218730	typeGenus	Silvestri. 1913. Descrizione di un nuovo ordine di insetti. Bolletino del Laboratorio di Zoologia Generale e Agraria della R. Scuola Superiore d' Agricoltura in Portici (Boll. Lab. Zool. gen. agr. Portici) 7:193-209	Zorotypidae Silvestri, 1913								
1218732	typeSpecies	Engel & Grimaldi. 2002. The first Mesozoic Zoraptera (Insecta). American Museum Novitates 3362:13	Xenozorotypus burmiticus Engel & Grimaldi, 2002								
1218733	typeSpecies	Engel. 2003. In Klass [Ed.]. Proceedings of the First Dresden meeting on insect phylogeny: "Phylogenetic Relationships within the Insect Orders" (Dresden, September 19-21, 2003). Phylogeny of the Zoraptera. Entomologische Abhandlungen 61(2):7	Zorotypus nascimbenei Engel & Grimaldi, 2002								
1218735	typeSpecies	Silvestri. 1913. Descrizione di un nuovo ordine di insetti. Bolletino del Laboratorio di Zoologia Generale e Agraria della R. Scuola Superiore d' Agricoltura in Portici (Boll. Lab. Zool. gen. agr. Portici) 7:196	Zorotypus guineensi Silvestri, 1913								
1218775	typeSpecies	Kukalova-Peck & Peck. 1993. Zoraptera wing structures: evidence for new genera and relationship with blattoid orders (Insecta: Blattoneoptera). Systematic Entomology 18(4):70	Zorotypus barberi Gurney, 1938								
1218776	typeSpecies	Kukalova-Peck & Peck. 1993. Zoraptera wing structures: evidence for new genera and relationship with blattoid orders (Insecta: Blattoneoptera). Systematic Entomology 18(4):1	Zorotypus brasiliensis Silvestri, 1947								
1218777	typeSpecies	Kukalova-Peck & Peck. 1993. Zoraptera wing structures: evidence for new genera and relationship with blattoid orders (Insecta: Blattoneoptera). Systematic Entomology 18(4):149	Zorotypus gurneyi Choe, 1989								
1218778	typeSpecies	Kukalova-Peck & Peck. 1993. Zoraptera wing structures: evidence for new genera and relationship with blattoid orders (Insecta: Blattoneoptera). Systematic Entomology 18(4):333-350	Zorotypus hubbardi Caudell, 1918								
1218780	typeSpecies	Kukalova-Peck & Peck. 1993. Zoraptera wing structures: evidence for new genera and relationship with blattoid orders (Insecta: Blattoneoptera). Systematic Entomology 18(4):90	Zorotypus snyderi Caudell, 1920								
1218782	typeSpecies	Chao & Chen. 2000. Formosozoros newi, a new genus and species of Zoraptera (Insecta) from Taiwan. Pan-Pacific Entomologist (Pan-Pacific Ent.) 76(1):25	Formosozoros newi Chao & Chen, 2000								
1220646	typeSpecies	Kaddumi. 2005. Amber of Jordan: The Oldest Prehistoric Insects in Fossilized  Resin. 171	Paleospinosus hudae Kaddumi, 2005								
1218741	holotype	Engel. 2008. A new apterous Zorotypus in Miocene amber from the Dominican Republic (Zoraptera: Zorotypidae)     . Acta Entomologica Slovenica 16(2):127-136	Zorotypus (Zorotypus) mnemosyne Engel, 2008	AMNH	DR-10-1501	Caribbean, Dominican Republic	female				
1218742	holotype	Engel. 2008. A new apterous Zorotypus in Miocene amber from the Dominican Republic (Zoraptera: Zorotypidae)     . Acta Entomologica Slovenica 16(2):127-136	Zorotypus (Zorotypus) absonus Engel, 2008	Lebendige Vorwelt museum			male				
1218743	holotype	Engel & Grimaldi. 2000. A Winged Zorotypus in Miocene Amber  from the Dominican Republic (Zoraptera: Zorotypidae),  with Discussion on Relationships of and within the Order. Acta Geologica Hispanica 35(1):149-164	Zorotypus goeleti Engel & Grimaldi, 2000	AMNH	DR-14-34	Caribbean, Dominican Republic: "from northern mines (specific mine unknown)"	female				
1218744	type	Gurney. 1938. A synopsis of the order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 40(3):57-87	Zorotypus barberi Gurney, 1938	NMNH	52273	Central America, Central American Pacific Is., Cocos I.: "under . . . debris back of beach"	male	W. Schmidt	March 1, 1933		
1218746	type	Karny. 1932. Psocoptera. Insects of Samoa and other Samoan Terrestrial Arthropoda. Part VII. Other orders of insects. British Museum (Natural History) 7:117-129	Zorotypus buxtoni Karny, 1932	BMNH		Southwestern Pacific, Samoa, Samoa: Malololelei; 610 meters	undetermined	Buxton and Hopkins	June 25, 1924	W 171.750000	S 13.900000
1218749	holotype	Gurney. 1938. A synopsis of the order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 40(3):57-87	Zorotypus cramptoni Gurney, 1938	NMNH	52274	Central America, Guatemala, Guatemala	male	W. M. Mann	May 1, 1924		
1218749	allotype	Gurney. 1938. A synopsis of the order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 40(3):57-87	Zorotypus cramptoni Gurney, 1938	NMNH	52274	Central America, Guatemala, Guatemala	male	W. M. Mann	May 1, 1924		
1218749	paratype	Gurney. 1938. A synopsis of the order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 40(3):57-87	Zorotypus cramptoni Gurney, 1938	NMNH		Central America, Guatemala, Guatemala	male	W. M. Mann	May 1, 1924		
1218749	paratype	Gurney. 1938. A synopsis of the order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 40(3):57-87	Zorotypus cramptoni Gurney, 1938	NMNH		Central America, Guatemala, Guatemala	female	W. M. Mann	May 1, 1924		
1218749	paratype	Gurney. 1938. A synopsis of the order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 40(3):57-87	Zorotypus cramptoni Gurney, 1938	NMNH		Central America, Guatemala, Guatemala	undetermined	W. M. Mann	May 1, 1924		
1218751	holotype	Choe. 1989. Zorotypus gurneyi, new species, from Panama and redescription of Z. barberi Gurney (Zoraptera: Zorotypidae). Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 82:149-155	Zorotypus gurneyi Choe, 1989	NMNH		Central America, Panamá: Pipeline Road, Gamboa	male	J. C. Chloe	March 7, 1987		
1218752	holotype	New. 1978. Notes on Neotropical Zoraptera, with descriptions of two new species. Systematic Entomology 3:361-370	Zorotypus hamiltoni New, 1978	BMNH		Western South America, Colombia, Huila: under old dead bark of fallen log	male	W. D. Hamilton	March 30, 1976		
1218752	paratype	New. 1978. Notes on Neotropical Zoraptera, with descriptions of two new species. Systematic Entomology 3:361-370	Zorotypus hamiltoni New, 1978	INPA	ZORAP 002a	Western South America, Colombia, Huila: Purace	male	Leg. H.D. Hamilton	February 1, 1973		
1218752	paratype	New. 1978. Notes on Neotropical Zoraptera, with descriptions of two new species. Systematic Entomology 3:361-370	Zorotypus hamiltoni New, 1978	INPA	ZORAP 002b	Western South America, Colombia, Huila: Purace	female	Leg. H.D. Hamilton	February 1, 1973		
1218753	holotype	Caudell. 1918. Zorotypus hubbardi, a new species of the order Zoraptera from the United States. The Canadian Entomologist 50:375-381	Zorotypus hubbardi Caudell, 1918	NMNH	21835	Southeastern U.S.A., Florida, Dade County	male	T. E. Snyder	April 10, 1918		
1218753	allotype	Caudell. 1918. Zorotypus hubbardi, a new species of the order Zoraptera from the United States. The Canadian Entomologist 50:375-381	Zorotypus hubbardi Caudell, 1918	NMNH	21835	Southeastern U.S.A., Florida, Dade County	female	T. E. Snyder	April 10, 1918		
1218756	holotype	Engel. 2000. A new Zorotypus from Peru, with notes on related Neotropical species (Zoraptera: Zortypidae). Journal of the Kansas Entomological Society 73:11-20	Zorotypus juninensis Engel, 2000	AMNH		Western South America, Peru: Aguas Mellizas, Estancia Naranjal San Ramon; 1500 meters	female	P. and B. Wygodzinsky	July 23, 1965	W 74.066667	S 11.243333
1218759	holotype	Caudell. 1927. Zorotypus longicercatus, a new species of Zoraptera from Jamaica. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 29:144-145	Zorotypus longicercatus Caudell, 1927	NMNH	40496	Caribbean, Jamaica	undetermined		January 1, 1927		
1218760	holotype	Caudell. 1923. A new species of Zoraptera from Bolivia. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 25:60-62	Zoraptera manni Caudell, 1923	NMNH	25751	Western South America, Bolivia	female	W. M. Mann	February 1, 1922		
1218761	type	Huang. 1976. [A new species of Zoraptera]. Acta Entomologica Sinica 19:225-227	Zorotypus medoensis Huang, 1976	PIZ		China, Tibet: Medo, Hanmi, South-east Tibet	male	Scientific Survey Group in Medo District	January 1, 1974		
1218764	holotype	Chao & Chen. 2000. Formosozoros newi, a new genus and species of Zoraptera (Insecta) from Taiwan. Pan-Pacific Entomologist (Pan-Pacific Ent.) 76(1):24-27	Formosozoros newi Chao & Chen, 2000	TUT		Eastern Asia, Taiwan: Hualien Hsien, Nanan; 300 meters	female	R. F. Chao	August 25, 1994	E 121.250000	N 23.316667
1218765	holotype	Poinar. 1988. Zorotypus palaeus, new species, a fossil Zoraptera (Insecta) in Dominican Amber. Journal of the New York Entomological Society 96:253-259	Zorotypus palaeus Poinar, 1988	NMNH	7406	Caribbean, Dominican Republic: Mines from the Cordillera Septentrional	female				
1218766	type	Gurney. 1938. A synopsis of the order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 40(3):57-87	Zorotypus philippinensis Gurney, 1938	NMNH	52275	Malesia, Philippines	female	W. D. Pierce	April 12, 1929		
1218767	type	Gurney. 1938. A synopsis of the order Zoraptera, with notes on the biology of Zorotypus hubbardi Caudell. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 40(3):57-87	Zorotypus shannoni Gurney, 1938	NMNH	52272	Brazil West-central, Mato Grosso: West border	male	R. C. Shannon	May 1, 1931		
1218769	holotype	Huang. 1974. [Zorotypus sinensis, a new species from China]. Acta Entomologica Sinica 17:423-427	Zorotypus sinensis Huang, 1974	ASIZ		China, Tibet	male	Scientific Survey Group	January 1, 1973		
1218770	holotype	Caudell. 1920. Zoraptera not an apterous order. Proceedings of the Entomological Society of Washington (Proc. Ent. Soc. Washington) 22:84-97	Zorotypus snyderi Caudell, 1920	NMNH	22880	Southeastern U.S.A., Florida, Dade County: Miami Beach; 10 meters	female	T. E. Snyder	January 1, 1917		
