EOL-Earthworm-Patch-0	EOL-Earthworm-Patch-0	EOL-Earthworm-Patch-0	0	clade	Clitellata	accepted
EOL-Earthworm-Patch-1	EOL-Earthworm-Patch-1	EOL-Earthworm-Patch-1	EOL-Earthworm-Patch-0	order	Crassiclitellata	accepted
EOL-Earthworm-Patch-2	EOL-Earthworm-Patch-2	EOL-Earthworm-Patch-2	EOL-Earthworm-Patch-1	family	Acanthodrilidae  Claus, 1880	accepted
EOL-Earthworm-Patch-3	EOL-Earthworm-Patch-3	EOL-Earthworm-Patch-3	EOL-Earthworm-Patch-2	subfamily	Acanthodrilinae Claus, 1880	accepted
EOL-Earthworm-Patch-4	EOL-Earthworm-Patch-4	EOL-Earthworm-Patch-4	EOL-Earthworm-Patch-3	genus	Acanthodrilus Perrier, 1872	accepted
EOL-Earthworm-Patch-5	EOL-Earthworm-Patch-5	EOL-Earthworm-Patch-5	EOL-Earthworm-Patch-4	species	Acanthodrilus affinis Beddard, 1891	accepted
EOL-Earthworm-Patch-6	EOL-Earthworm-Patch-6	EOL-Earthworm-Patch-6	EOL-Earthworm-Patch-4	species	Acanthodrilus annectens Beddard, 1888	accepted
EOL-Earthworm-Patch-7	EOL-Earthworm-Patch-7	EOL-Earthworm-Patch-7	EOL-Earthworm-Patch-4	species	Acanthodrilus beddardi Horst, 1888	accepted
EOL-Earthworm-Patch-8	EOL-Earthworm-Patch-8	EOL-Earthworm-Patch-8	EOL-Earthworm-Patch-4	species	Acanthodrilus canalanus Michaelsen, 1913	accepted
EOL-Earthworm-Patch-9	EOL-Earthworm-Patch-9	EOL-Earthworm-Patch-9	EOL-Earthworm-Patch-4	species	Acanthodrilus capensis Beddard, 1885	accepted
EOL-Earthworm-Patch-10	EOL-Earthworm-Patch-10	EOL-Earthworm-Patch-10	EOL-Earthworm-Patch-4	species	Acanthodrilus cavaticus Michaelsen, 1913	accepted
EOL-Earthworm-Patch-11	EOL-Earthworm-Patch-11	EOL-Earthworm-Patch-11	EOL-Earthworm-Patch-4	species	Acanthodrilus chabaudi Jamieson and Bennett, 1979	accepted
EOL-Earthworm-Patch-12	EOL-Earthworm-Patch-12	EOL-Earthworm-Patch-12	EOL-Earthworm-Patch-4	species	Acanthodrilus chevalieri Jamieson and Bennett, 1979	accepted
EOL-Earthworm-Patch-13	EOL-Earthworm-Patch-13	EOL-Earthworm-Patch-13	EOL-Earthworm-Patch-4	species	Acanthodrilus coneensis Michaelsen, 1913	accepted
EOL-Earthworm-Patch-14	EOL-Earthworm-Patch-14	EOL-Earthworm-Patch-14	EOL-Earthworm-Patch-4	species	Acanthodrilus fabresi Jamieson and Bennett, 1979	accepted
EOL-Earthworm-Patch-15	EOL-Earthworm-Patch-15	EOL-Earthworm-Patch-15	EOL-Earthworm-Patch-4	species	Acanthodrilus foanus Michaelsen, 1913	accepted
EOL-Earthworm-Patch-16	EOL-Earthworm-Patch-16	EOL-Earthworm-Patch-16	EOL-Earthworm-Patch-4	species	Acanthodrilus georgianus Michaelsen, 1888	accepted
EOL-Earthworm-Patch-17	EOL-Earthworm-Patch-17	EOL-Earthworm-Patch-17	EOL-Earthworm-Patch-4	species	Acanthodrilus haplocystis Benham, 1901	accepted
EOL-Earthworm-Patch-18	EOL-Earthworm-Patch-18	EOL-Earthworm-Patch-18	EOL-Earthworm-Patch-4	species	Acanthodrilus humboldti Michaelsen, 1913	accepted
EOL-Earthworm-Patch-19	EOL-Earthworm-Patch-19	EOL-Earthworm-Patch-19	EOL-Earthworm-Patch-4	species	Acanthodrilus ignambii Michaelsen, 1913	accepted
EOL-Earthworm-Patch-20	EOL-Earthworm-Patch-20	EOL-Earthworm-Patch-20	EOL-Earthworm-Patch-4	species	Acanthodrilus kermadecensis Lee, 1953	accepted
EOL-Earthworm-Patch-21	EOL-Earthworm-Patch-21	EOL-Earthworm-Patch-21	EOL-Earthworm-Patch-4	species	Acanthodrilus koghis Jamieson and Bennett, 1979	accepted
EOL-Earthworm-Patch-22	EOL-Earthworm-Patch-22	EOL-Earthworm-Patch-22	EOL-Earthworm-Patch-4	species	Acanthodrilus lacuum Michaelsen, 1913	accepted
EOL-Earthworm-Patch-23	EOL-Earthworm-Patch-23	EOL-Earthworm-Patch-23	EOL-Earthworm-Patch-4	species	Acanthodrilus layardi Beddard, 1886	accepted
EOL-Earthworm-Patch-24	EOL-Earthworm-Patch-24	EOL-Earthworm-Patch-24	EOL-Earthworm-Patch-4	species	Acanthodrilus longicystis Jamieson and Bennett, 1979	accepted
EOL-Earthworm-Patch-25	EOL-Earthworm-Patch-25	EOL-Earthworm-Patch-25	EOL-Earthworm-Patch-4	species	Acanthodrilus macleayi Fletcher, 1890	accepted
EOL-Earthworm-Patch-26	EOL-Earthworm-Patch-26	EOL-Earthworm-Patch-26	EOL-Earthworm-Patch-4	species	Acanthodrilus maquariensis Beddard, 1896	accepted
EOL-Earthworm-Patch-27	EOL-Earthworm-Patch-27	EOL-Earthworm-Patch-27	EOL-Earthworm-Patch-4	species	Acanthodrilus natalicius Michaelsen, 1913	accepted
EOL-Earthworm-Patch-28	EOL-Earthworm-Patch-28	EOL-Earthworm-Patch-28	EOL-Earthworm-Patch-4	species	Acanthodrilus obtusus Perrier, 1872	accepted
EOL-Earthworm-Patch-29	EOL-Earthworm-Patch-29	EOL-Earthworm-Patch-29	EOL-Earthworm-Patch-4	species	Acanthodrilus oubatcheanus Michaelsen, 1913	accepted
EOL-Earthworm-Patch-30	EOL-Earthworm-Patch-30	EOL-Earthworm-Patch-30	EOL-Earthworm-Patch-4	species	Acanthodrilus paniensis Michaelsen, 1913	accepted
EOL-Earthworm-Patch-31	EOL-Earthworm-Patch-31	EOL-Earthworm-Patch-31	EOL-Earthworm-Patch-4	species	Acanthodrilus paripapillatus Jamieson and Bennett, 1979	accepted
EOL-Earthworm-Patch-32	EOL-Earthworm-Patch-32	EOL-Earthworm-Patch-32	EOL-Earthworm-Patch-4	species	Acanthodrilus perrieri Michaelsen, 1913	accepted
EOL-Earthworm-Patch-33	EOL-Earthworm-Patch-33	EOL-Earthworm-Patch-33	EOL-Earthworm-Patch-4	species	Acanthodrilus rouxi Michaelsen, 1913	accepted
EOL-Earthworm-Patch-34	EOL-Earthworm-Patch-34	EOL-Earthworm-Patch-34	EOL-Earthworm-Patch-4	species	Acanthodrilus ruber Jamieson and Bennett, 1979	accepted
EOL-Earthworm-Patch-35	EOL-Earthworm-Patch-35	EOL-Earthworm-Patch-35	EOL-Earthworm-Patch-4	species	Acanthodrilus sarasini Michaelsen, 1913	accepted
