EOL-Earthworm-Patch-0	EOL-Earthworm-Patch-0	EOL-Earthworm-Patch-0	0	clade	Clitellata	accepted
EOL-Earthworm-Patch-1	EOL-Earthworm-Patch-1	EOL-Earthworm-Patch-1	EOL-Earthworm-Patch-0	order	Crassiclitellata	accepted
EOL-Earthworm-Patch-2	EOL-Earthworm-Patch-2	EOL-Earthworm-Patch-2	EOL-Earthworm-Patch-1	family	Acanthodrilidae	accepted
EOL-Earthworm-Patch-3	EOL-Earthworm-Patch-3	EOL-Earthworm-Patch-3	EOL-Earthworm-Patch-2	subfamily	Acanthodrilinae	accepted
EOL-Earthworm-Patch-4	EOL-Earthworm-Patch-4	EOL-Earthworm-Patch-4	EOL-Earthworm-Patch-3	genus	Acanthodrilus	accepted
EOL-Earthworm-Patch-5	EOL-Earthworm-Patch-5	EOL-Earthworm-Patch-5	EOL-Earthworm-Patch-4	species	Acanthodrilus affinis	accepted
EOL-Earthworm-Patch-6	EOL-Earthworm-Patch-6	EOL-Earthworm-Patch-6	EOL-Earthworm-Patch-4	species	Acanthodrilus annectens	accepted
EOL-Earthworm-Patch-7	EOL-Earthworm-Patch-7	EOL-Earthworm-Patch-7	EOL-Earthworm-Patch-4	species	Acanthodrilus beddardi	accepted
EOL-Earthworm-Patch-8	EOL-Earthworm-Patch-8	EOL-Earthworm-Patch-8	EOL-Earthworm-Patch-4	species	Acanthodrilus canalanus	accepted
EOL-Earthworm-Patch-9	EOL-Earthworm-Patch-9	EOL-Earthworm-Patch-9	EOL-Earthworm-Patch-4	species	Acanthodrilus capensis	accepted
EOL-Earthworm-Patch-10	EOL-Earthworm-Patch-10	EOL-Earthworm-Patch-10	EOL-Earthworm-Patch-4	species	Acanthodrilus cavaticus	accepted
EOL-Earthworm-Patch-11	EOL-Earthworm-Patch-11	EOL-Earthworm-Patch-11	EOL-Earthworm-Patch-4	species	Acanthodrilus chabaudi	accepted
EOL-Earthworm-Patch-12	EOL-Earthworm-Patch-12	EOL-Earthworm-Patch-12	EOL-Earthworm-Patch-4	species	Acanthodrilus chevalieri	accepted
EOL-Earthworm-Patch-13	EOL-Earthworm-Patch-13	EOL-Earthworm-Patch-13	EOL-Earthworm-Patch-4	species	Acanthodrilus coneensis	accepted
EOL-Earthworm-Patch-14	EOL-Earthworm-Patch-14	EOL-Earthworm-Patch-14	EOL-Earthworm-Patch-4	species	Acanthodrilus fabresi	accepted
EOL-Earthworm-Patch-15	EOL-Earthworm-Patch-15	EOL-Earthworm-Patch-15	EOL-Earthworm-Patch-4	species	Acanthodrilus foanus	accepted
EOL-Earthworm-Patch-16	EOL-Earthworm-Patch-16	EOL-Earthworm-Patch-16	EOL-Earthworm-Patch-4	species	Acanthodrilus georgianus	accepted
EOL-Earthworm-Patch-17	EOL-Earthworm-Patch-17	EOL-Earthworm-Patch-17	EOL-Earthworm-Patch-4	species	Acanthodrilus haplocystis	accepted
EOL-Earthworm-Patch-18	EOL-Earthworm-Patch-18	EOL-Earthworm-Patch-18	EOL-Earthworm-Patch-4	species	Acanthodrilus humboldti	accepted
EOL-Earthworm-Patch-19	EOL-Earthworm-Patch-19	EOL-Earthworm-Patch-19	EOL-Earthworm-Patch-4	species	Acanthodrilus ignambii	accepted
EOL-Earthworm-Patch-20	EOL-Earthworm-Patch-20	EOL-Earthworm-Patch-20	EOL-Earthworm-Patch-4	species	Acanthodrilus kermadecensis	accepted
EOL-Earthworm-Patch-21	EOL-Earthworm-Patch-21	EOL-Earthworm-Patch-21	EOL-Earthworm-Patch-4	species	Acanthodrilus koghis	accepted
EOL-Earthworm-Patch-22	EOL-Earthworm-Patch-22	EOL-Earthworm-Patch-22	EOL-Earthworm-Patch-4	species	Acanthodrilus lacuum	accepted
EOL-Earthworm-Patch-23	EOL-Earthworm-Patch-23	EOL-Earthworm-Patch-23	EOL-Earthworm-Patch-4	species	Acanthodrilus layardi	accepted
EOL-Earthworm-Patch-24	EOL-Earthworm-Patch-24	EOL-Earthworm-Patch-24	EOL-Earthworm-Patch-4	species	Acanthodrilus longicystis	accepted
EOL-Earthworm-Patch-25	EOL-Earthworm-Patch-25	EOL-Earthworm-Patch-25	EOL-Earthworm-Patch-4	species	Acanthodrilus macleayi	accepted
EOL-Earthworm-Patch-26	EOL-Earthworm-Patch-26	EOL-Earthworm-Patch-26	EOL-Earthworm-Patch-4	species	Acanthodrilus maquariensis	accepted
EOL-Earthworm-Patch-27	EOL-Earthworm-Patch-27	EOL-Earthworm-Patch-27	EOL-Earthworm-Patch-4	species	Acanthodrilus natalicius	accepted
EOL-Earthworm-Patch-28	EOL-Earthworm-Patch-28	EOL-Earthworm-Patch-28	EOL-Earthworm-Patch-4	species	Acanthodrilus obtusus	accepted
EOL-Earthworm-Patch-29	EOL-Earthworm-Patch-29	EOL-Earthworm-Patch-29	EOL-Earthworm-Patch-4	species	Acanthodrilus oubatcheanus	accepted
EOL-Earthworm-Patch-30	EOL-Earthworm-Patch-30	EOL-Earthworm-Patch-30	EOL-Earthworm-Patch-4	species	Acanthodrilus paniensis	accepted
EOL-Earthworm-Patch-31	EOL-Earthworm-Patch-31	EOL-Earthworm-Patch-31	EOL-Earthworm-Patch-4	species	Acanthodrilus paripapillatus	accepted
EOL-Earthworm-Patch-32	EOL-Earthworm-Patch-32	EOL-Earthworm-Patch-32	EOL-Earthworm-Patch-4	species	Acanthodrilus perrieri	accepted
EOL-Earthworm-Patch-33	EOL-Earthworm-Patch-33	EOL-Earthworm-Patch-33	EOL-Earthworm-Patch-4	species	Acanthodrilus rouxi	accepted
EOL-Earthworm-Patch-34	EOL-Earthworm-Patch-34	EOL-Earthworm-Patch-34	EOL-Earthworm-Patch-4	species	Acanthodrilus ruber	accepted
EOL-Earthworm-Patch-35	EOL-Earthworm-Patch-35	EOL-Earthworm-Patch-35	EOL-Earthworm-Patch-4	species	Acanthodrilus sarasini	accepted
EOL-Earthworm-Patch-36	EOL-Earthworm-Patch-36	EOL-Earthworm-Patch-36	EOL-Earthworm-Patch-4	species	Acanthodrilus silvester	accepted
EOL-Earthworm-Patch-37	EOL-Earthworm-Patch-37	EOL-Earthworm-Patch-37	EOL-Earthworm-Patch-4	species	Acanthodrilus ungulatus	accepted
EOL-Earthworm-Patch-38	EOL-Earthworm-Patch-38	EOL-Earthworm-Patch-38	EOL-Earthworm-Patch-4	species	Acanthodrilus vasliti	accepted
EOL-Earthworm-Patch-39	EOL-Earthworm-Patch-39	EOL-Earthworm-Patch-39	EOL-Earthworm-Patch-4	species	Acanthodrilus yateensis	accepted
EOL-Earthworm-Patch-40	EOL-Earthworm-Patch-40	EOL-Earthworm-Patch-40	EOL-Earthworm-Patch-3	genus	Bahlia	accepted
EOL-Earthworm-Patch-41	EOL-Earthworm-Patch-41	EOL-Earthworm-Patch-41	EOL-Earthworm-Patch-40	species	Bahlia albida	accepted
EOL-Earthworm-Patch-42	EOL-Earthworm-Patch-42	EOL-Earthworm-Patch-42	EOL-Earthworm-Patch-3	genus	Barogaster	accepted
EOL-Earthworm-Patch-43	EOL-Earthworm-Patch-43	EOL-Earthworm-Patch-43	EOL-Earthworm-Patch-42	species	Barogaster annadalei	accepted
EOL-Earthworm-Patch-44	EOL-Earthworm-Patch-44	EOL-Earthworm-Patch-44	EOL-Earthworm-Patch-42	species	Barogaster barodensis	accepted
EOL-Earthworm-Patch-45	EOL-Earthworm-Patch-45	EOL-Earthworm-Patch-45	EOL-Earthworm-Patch-42	species	Barogaster prashadi	accepted
EOL-Earthworm-Patch-46	EOL-Earthworm-Patch-46	EOL-Earthworm-Patch-46	EOL-Earthworm-Patch-2	subfamily	Benhamiinae	accepted
EOL-Earthworm-Patch-47	EOL-Earthworm-Patch-47	EOL-Earthworm-Patch-47	EOL-Earthworm-Patch-46	genus	Agastrodrilus	accepted
EOL-Earthworm-Patch-48	EOL-Earthworm-Patch-48	EOL-Earthworm-Patch-48	EOL-Earthworm-Patch-47	species	Agastrodrilus dominicae	accepted
EOL-Earthworm-Patch-49	EOL-Earthworm-Patch-49	EOL-Earthworm-Patch-49	EOL-Earthworm-Patch-47	species	Agastrodrilus insolitus	accepted
EOL-Earthworm-Patch-50	EOL-Earthworm-Patch-50	EOL-Earthworm-Patch-50	EOL-Earthworm-Patch-47	species	Agastrodrilus lavellei	accepted
EOL-Earthworm-Patch-51	EOL-Earthworm-Patch-51	EOL-Earthworm-Patch-51	EOL-Earthworm-Patch-47	species	Agastrodrilus multivesiculatus	accepted
EOL-Earthworm-Patch-52	EOL-Earthworm-Patch-52	EOL-Earthworm-Patch-52	EOL-Earthworm-Patch-47	species	Agastrodrilus opisthogynous	accepted
EOL-Earthworm-Patch-53	EOL-Earthworm-Patch-53	EOL-Earthworm-Patch-53	EOL-Earthworm-Patch-46	genus	Balanteodrilus	accepted
